File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF399REE	tsv	tsv		microRNA quantifications	GRCh38	ENCSR272WXU	microRNA-seq	/human-donors/ENCDO528BHB/	UBERON:0002113	kidney	tissue	Homo sapiens											miRNA					unstranded	2020-09-24	ENCODE			<30	1	1_1							/files/ENCFF016SDK/, /files/ENCFF123QLG/, /files/ENCFF470CZH/	46662	ENCODE Processing Pipeline	f0844d162abff5d0f2950f8854055d73		https://www.encodeproject.org/files/ENCFF399REE/@@download/ENCFF399REE.tsv	V29			released	s3://encode-public/2020/09/15/4dbb4284-89c7-405d-9ec8-d27e23c7b73e/ENCFF399REE.tsv	https://datasetencode.blob.core.windows.net/dataset/2020/09/15/4dbb4284-89c7-405d-9ec8-d27e23c7b73e/ENCFF399REE.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released			
ENCFF517MBY	tsv	tsv		microRNA quantifications	GRCh38	ENCSR957UVO	microRNA-seq	/human-donors/ENCDO186XRB/	UBERON:0000992	ovary	tissue	Homo sapiens											miRNA					unstranded	2020-09-01	ENCODE			<30	1	1_1							/files/ENCFF123QLG/, /files/ENCFF191KBC/, /files/ENCFF470CZH/	46779	ENCODE Processing Pipeline	d10d559e492e5e2b73266f44c802489b		https://www.encodeproject.org/files/ENCFF517MBY/@@download/ENCFF517MBY.tsv	V29			released	s3://encode-public/2020/08/19/ae3ee3b1-454a-4958-909f-2d40c00f4189/ENCFF517MBY.tsv	https://datasetencode.blob.core.windows.net/dataset/2020/08/19/ae3ee3b1-454a-4958-909f-2d40c00f4189/ENCFF517MBY.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released			
ENCFF006ELI	tsv	tsv		microRNA quantifications	GRCh38	ENCSR026WQC	microRNA-seq	/human-donors/ENCDO520EJG/	NTR:0000491	Right ventricle myocardium inferior	tissue	Homo sapiens											miRNA					unstranded	2020-09-01	ENCODE			<30	1	1_1							/files/ENCFF123QLG/, /files/ENCFF470CZH/, /files/ENCFF610ABZ/	46646	ENCODE Processing Pipeline	d108872381d5ed5dfd2f66131775c437		https://www.encodeproject.org/files/ENCFF006ELI/@@download/ENCFF006ELI.tsv	V29			released	s3://encode-public/2020/08/19/0fab6628-ed48-471a-b307-431944b53b4d/ENCFF006ELI.tsv	https://datasetencode.blob.core.windows.net/dataset/2020/08/19/0fab6628-ed48-471a-b307-431944b53b4d/ENCFF006ELI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released			
ENCFF213QEV	tsv	tsv		microRNA quantifications	GRCh38	ENCSR151IFS	microRNA-seq	/human-donors/ENCDO791UJG/	CL:0000897	CD4-positive, alpha-beta memory T cell	primary cell	Homo sapiens											miRNA					unstranded	2021-06-01	ENCODE			<30	1	1_1							/files/ENCFF123QLG/, /files/ENCFF772FEA/, /files/ENCFF470CZH/	46378	ENCODE Processing Pipeline	c1c993e786625335901907d23e3e3d6d		https://www.encodeproject.org/files/ENCFF213QEV/@@download/ENCFF213QEV.tsv	V29			released	s3://encode-public/2021/02/09/5260c368-1062-4e08-aaba-e31c4d21a6dc/ENCFF213QEV.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/02/09/5260c368-1062-4e08-aaba-e31c4d21a6dc/ENCFF213QEV.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released	borderline microRNAs expressed, mixed read lengths, borderline number of aligned reads, borderline replicate concordance		
ENCFF656YPG	tsv	tsv		microRNA quantifications	GRCh38	ENCSR151IFS	microRNA-seq	/human-donors/ENCDO791UJG/	CL:0000897	CD4-positive, alpha-beta memory T cell	primary cell	Homo sapiens											miRNA					unstranded	2021-06-01	ENCODE			<30	2	2_1							/files/ENCFF883IFY/, /files/ENCFF123QLG/, /files/ENCFF470CZH/	46041	ENCODE Processing Pipeline	173fc9ee46768e823e62435bdf048bc0		https://www.encodeproject.org/files/ENCFF656YPG/@@download/ENCFF656YPG.tsv	V29			released	s3://encode-public/2021/02/09/c7b4e0c3-14aa-4cf7-967d-b5b29f19801d/ENCFF656YPG.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/02/09/c7b4e0c3-14aa-4cf7-967d-b5b29f19801d/ENCFF656YPG.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released	borderline microRNAs expressed, mixed read lengths, borderline number of aligned reads, borderline replicate concordance		
ENCFF800IDT	tsv	tsv		microRNA quantifications	GRCh38	ENCSR495VFH	microRNA-seq	/human-donors/ENCDO520EJG/	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens											miRNA					unstranded	2020-10-08	ENCODE			<30	1	1_1							/files/ENCFF123QLG/, /files/ENCFF308SEP/, /files/ENCFF470CZH/	46424	ENCODE Processing Pipeline	311254884785d69337d4eaa894cd47bd		https://www.encodeproject.org/files/ENCFF800IDT/@@download/ENCFF800IDT.tsv	V29			released	s3://encode-public/2020/09/30/fd552ed6-57c7-4c59-8ea4-9962339ae705/ENCFF800IDT.tsv	https://datasetencode.blob.core.windows.net/dataset/2020/09/30/fd552ed6-57c7-4c59-8ea4-9962339ae705/ENCFF800IDT.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released	borderline number of aligned reads		
ENCFF827OWX	tsv	tsv		microRNA quantifications	GRCh38	ENCSR249SPI	microRNA-seq	/human-donors/ENCDO392CRK/	UBERON:0002084	heart left ventricle	tissue	Homo sapiens											miRNA					unstranded	2020-09-01	ENCODE			<30	1	1_1							/files/ENCFF304DLX/, /files/ENCFF470CZH/, /files/ENCFF123QLG/	46467	ENCODE Processing Pipeline	459c4cebfe33bcc23efa09a5414e0551		https://www.encodeproject.org/files/ENCFF827OWX/@@download/ENCFF827OWX.tsv	V29			released	s3://encode-public/2020/08/19/91e7efd2-60aa-43d0-9ae1-3e97526e6342/ENCFF827OWX.tsv	https://datasetencode.blob.core.windows.net/dataset/2020/08/19/91e7efd2-60aa-43d0-9ae1-3e97526e6342/ENCFF827OWX.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released			
ENCFF992ZUY	tsv	tsv		microRNA quantifications	GRCh38	ENCSR341PLF	microRNA-seq	/human-donors/ENCDO222AAA/	CL:0011019	mesothelial cell of epicardium	in vitro differentiated cells	Homo sapiens											miRNA					unstranded	2021-12-03	ENCODE			<30	1	1_1							/files/ENCFF123QLG/, /files/ENCFF456SHG/, /files/ENCFF470CZH/	47156	ENCODE Processing Pipeline	fb2558b8938d9289b78f2b4d0169d47e		https://www.encodeproject.org/files/ENCFF992ZUY/@@download/ENCFF992ZUY.tsv	V29			released	s3://encode-public/2021/11/29/2094b4b0-7c06-489a-bce7-e93f770a8f13/ENCFF992ZUY.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/11/29/2094b4b0-7c06-489a-bce7-e93f770a8f13/ENCFF992ZUY.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released	mixed read lengths, inconsistent platforms		
ENCFF252LEC	tsv	tsv		microRNA quantifications	GRCh38	ENCSR341PLF	microRNA-seq	/human-donors/ENCDO222AAA/	CL:0011019	mesothelial cell of epicardium	in vitro differentiated cells	Homo sapiens											miRNA					unstranded	2021-12-03	ENCODE			<30	2	2_1							/files/ENCFF123QLG/, /files/ENCFF947DFJ/, /files/ENCFF470CZH/	46955	ENCODE Processing Pipeline	c31ee8aac01c764db7cac14ead7cb048		https://www.encodeproject.org/files/ENCFF252LEC/@@download/ENCFF252LEC.tsv	V29			released	s3://encode-public/2021/11/29/c1bcae41-b6d2-43e3-80bf-67c7a234322a/ENCFF252LEC.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/11/29/c1bcae41-b6d2-43e3-80bf-67c7a234322a/ENCFF252LEC.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released	mixed read lengths, inconsistent platforms		
ENCFF089QGH	tsv	tsv		microRNA quantifications	GRCh38	ENCSR341PLF	microRNA-seq	/human-donors/ENCDO222AAA/	CL:0011019	mesothelial cell of epicardium	in vitro differentiated cells	Homo sapiens											miRNA					unstranded	2021-12-03	ENCODE			<30	3	3_1							/files/ENCFF123QLG/, /files/ENCFF873JMX/, /files/ENCFF470CZH/	47034	ENCODE Processing Pipeline	57b9e4bbc885d22befe4e20168490327		https://www.encodeproject.org/files/ENCFF089QGH/@@download/ENCFF089QGH.tsv	V29			released	s3://encode-public/2021/11/29/f86679e0-9a1f-47f4-8476-4a61d01a718c/ENCFF089QGH.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/11/29/f86679e0-9a1f-47f4-8476-4a61d01a718c/ENCFF089QGH.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.2.0 GRCh38 V29	released	mixed read lengths, inconsistent platforms		
