File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF478BHR	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR799DGV	PRO-cap	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF566EAN/, /files/ENCFF221GWZ/, /files/ENCFF952WWA/, /files/ENCFF572ZPQ/, /files/ENCFF227BQW/, /files/ENCFF704RON/, /files/ENCFF114DBY/, /files/ENCFF074ZFW/	788084	Haiyuan Yu, Cornell	ff8fc40457b7102d0c97191007c60baf		https://www.encodeproject.org/files/ENCFF478BHR/@@download/ENCFF478BHR.bed.gz				released	s3://encode-public/2022/02/04/ffe10601-933a-4938-ada1-c573c2205f80/ENCFF478BHR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/ffe10601-933a-4938-ada1-c573c2205f80/ENCFF478BHR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF875PER	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR799DGV	PRO-cap	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-07-07	ENCODE				1, 2	1_1, 2_1							/files/ENCFF566EAN/, /files/ENCFF221GWZ/, /files/ENCFF952WWA/, /files/ENCFF572ZPQ/, /files/ENCFF227BQW/, /files/ENCFF704RON/, /files/ENCFF114DBY/, /files/ENCFF074ZFW/	336806	Haiyuan Yu, Cornell	88ecc5793ebeb8d30432c86166b6715c		https://www.encodeproject.org/files/ENCFF875PER/@@download/ENCFF875PER.bed.gz				released	s3://encode-public/2022/02/04/86dffe1e-2f92-4639-8635-68b60683abef/ENCFF875PER.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/02/04/86dffe1e-2f92-4639-8635-68b60683abef/ENCFF875PER.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released			
ENCFF200THH	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR756TPG	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF633USA/, /files/ENCFF823JCH/, /files/ENCFF384ZQJ/, /files/ENCFF366DPV/, /files/ENCFF658HRY/, /files/ENCFF848KKP/, /files/ENCFF182HUP/, /files/ENCFF253KQJ/	195281	John Lis, Cornell	8419c005b4ab7ee00823f1efa84819a9		https://www.encodeproject.org/files/ENCFF200THH/@@download/ENCFF200THH.bed.gz				released	s3://encode-public/2021/11/19/66bc6b32-f732-43cb-932f-3ad6fbe015ef/ENCFF200THH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/66bc6b32-f732-43cb-932f-3ad6fbe015ef/ENCFF200THH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF106YWP	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR756TPG	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF633USA/, /files/ENCFF823JCH/, /files/ENCFF384ZQJ/, /files/ENCFF366DPV/, /files/ENCFF658HRY/, /files/ENCFF848KKP/, /files/ENCFF182HUP/, /files/ENCFF253KQJ/	277491	John Lis, Cornell	8b1725a6faddfbd9fa817e805029b341		https://www.encodeproject.org/files/ENCFF106YWP/@@download/ENCFF106YWP.bed.gz				released	s3://encode-public/2021/11/19/ae586ffe-fb33-4b58-a927-263767087ff9/ENCFF106YWP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/ae586ffe-fb33-4b58-a927-263767087ff9/ENCFF106YWP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF681WCY	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR882DWM	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF650OXQ/, /files/ENCFF620GJD/, /files/ENCFF313UWT/, /files/ENCFF970BJP/, /files/ENCFF754VDR/, /files/ENCFF191LBI/, /files/ENCFF745CSK/, /files/ENCFF809FNB/	491201	John Lis, Cornell	45b2affccee09cf14cd82c143f354aa0		https://www.encodeproject.org/files/ENCFF681WCY/@@download/ENCFF681WCY.bed.gz				released	s3://encode-public/2021/11/19/f9b8bed8-5a27-4e45-a238-a3285f37fd15/ENCFF681WCY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/f9b8bed8-5a27-4e45-a238-a3285f37fd15/ENCFF681WCY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF902VME	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR882DWM	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF650OXQ/, /files/ENCFF620GJD/, /files/ENCFF313UWT/, /files/ENCFF970BJP/, /files/ENCFF754VDR/, /files/ENCFF191LBI/, /files/ENCFF745CSK/, /files/ENCFF809FNB/	3113686	John Lis, Cornell	6ace0486f080a2e2d957f1fcd5af165e		https://www.encodeproject.org/files/ENCFF902VME/@@download/ENCFF902VME.bed.gz				released	s3://encode-public/2021/11/19/cc60fafd-91ec-40e5-8629-5c6f891c80c3/ENCFF902VME.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/cc60fafd-91ec-40e5-8629-5c6f891c80c3/ENCFF902VME.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF446NQE	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR149ZRX	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 2_1							/files/ENCFF990LRK/, /files/ENCFF177SYN/, /files/ENCFF258ZIO/, /files/ENCFF952YCN/	238205	John Lis, Cornell	0e475ade0078e8bed57fecceadfa4114		https://www.encodeproject.org/files/ENCFF446NQE/@@download/ENCFF446NQE.bed.gz				released	s3://encode-public/2021/11/19/9c744d52-ded7-48ba-b3d2-db2806416174/ENCFF446NQE.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/9c744d52-ded7-48ba-b3d2-db2806416174/ENCFF446NQE.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF213UWX	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR149ZRX	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 2_1							/files/ENCFF990LRK/, /files/ENCFF177SYN/, /files/ENCFF258ZIO/, /files/ENCFF952YCN/	200570	John Lis, Cornell	4ea5042158e1f37106e02875f48f0895		https://www.encodeproject.org/files/ENCFF213UWX/@@download/ENCFF213UWX.bed.gz				released	s3://encode-public/2021/11/19/439047ce-9580-46bb-ae85-37d8d5147095/ENCFF213UWX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/439047ce-9580-46bb-ae85-37d8d5147095/ENCFF213UWX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF670SVM	bed bed3+	bed	bed3+	unidirectional peaks	GRCh38	ENCSR604EBH	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF929BQB/, /files/ENCFF303RQD/, /files/ENCFF183SSA/, /files/ENCFF526DGX/, /files/ENCFF806IHJ/, /files/ENCFF461WON/, /files/ENCFF538JPG/, /files/ENCFF900CHQ/	117192	John Lis, Cornell	a376c3a9229f48a535122fede81c138d		https://www.encodeproject.org/files/ENCFF670SVM/@@download/ENCFF670SVM.bed.gz				released	s3://encode-public/2021/11/19/cf003b10-2461-4bbc-8d2f-6e92ff37f0e9/ENCFF670SVM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/cf003b10-2461-4bbc-8d2f-6e92ff37f0e9/ENCFF670SVM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
ENCFF227JQX	bed bed3+	bed	bed3+	bidirectional peaks	GRCh38	ENCSR604EBH	PRO-cap	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA					reverse	2021-12-14	ENCODE				1, 2	1_1, 1_2, 2_1, 2_2							/files/ENCFF929BQB/, /files/ENCFF303RQD/, /files/ENCFF183SSA/, /files/ENCFF526DGX/, /files/ENCFF806IHJ/, /files/ENCFF461WON/, /files/ENCFF538JPG/, /files/ENCFF900CHQ/	369159	John Lis, Cornell	058f3c5f7f6f7ffa61816e7e6b365d8d		https://www.encodeproject.org/files/ENCFF227JQX/@@download/ENCFF227JQX.bed.gz				released	s3://encode-public/2021/11/19/ba4c9764-e76a-422e-8aa3-becaf0cf2dc8/ENCFF227JQX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/11/19/ba4c9764-e76a-422e-8aa3-becaf0cf2dc8/ENCFF227JQX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	Lab custom GRCh38	released	mixed read lengths		
