File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF906LNC	gtf	gtf		transcriptome annotations	GRCh38	ENCSR435UUS	long read RNA-seq	/human-donors/ENCDO520EJG/	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF291EKY/	50593023	ENCODE Processing Pipeline	b22ea6f531eccc5b4971da1257c7e228		https://www.encodeproject.org/files/ENCFF906LNC/@@download/ENCFF906LNC.gtf.gz	V29			released	s3://encode-public/2021/01/23/7736434e-8861-43ad-94c9-32a6522f96e2/ENCFF906LNC.gtf.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/7736434e-8861-43ad-94c9-32a6522f96e2/ENCFF906LNC.gtf.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF330VRX	bam	bam		unfiltered alignments	GRCh38	ENCSR435UUS	long read RNA-seq	/human-donors/ENCDO520EJG/	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF242WRZ/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	600690042	ENCODE Processing Pipeline	4024066fddf0bc0e89b7a2dee54e3e5b		https://www.encodeproject.org/files/ENCFF330VRX/@@download/ENCFF330VRX.bam	V29			released	s3://encode-public/2021/01/23/37a4ef40-417d-4017-bc6f-7b41f9caacaf/ENCFF330VRX.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/37a4ef40-417d-4017-bc6f-7b41f9caacaf/ENCFF330VRX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF491THQ	tsv	tsv		transcript quantifications	GRCh38	ENCSR435UUS	long read RNA-seq	/human-donors/ENCDO520EJG/	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF291EKY/	10752565	ENCODE Processing Pipeline	f8571cee0336614869778290d312b279		https://www.encodeproject.org/files/ENCFF491THQ/@@download/ENCFF491THQ.tsv	V29			released	s3://encode-public/2021/01/23/778149fd-4efe-4187-a3a4-ad304e99a36c/ENCFF491THQ.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/778149fd-4efe-4187-a3a4-ad304e99a36c/ENCFF491THQ.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF291EKY	bam	bam		alignments	GRCh38	ENCSR435UUS	long read RNA-seq	/human-donors/ENCDO520EJG/	UBERON:0002078	right cardiac atrium	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF911UGW/, /files/ENCFF330VRX/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	180205763	ENCODE Processing Pipeline	558628951a01447a7148094f66728bc3		https://www.encodeproject.org/files/ENCFF291EKY/@@download/ENCFF291EKY.bam	V29			released	s3://encode-public/2021/01/23/0bc0c6ee-125b-4ba6-b6dc-5f6ddf52b812/ENCFF291EKY.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/0bc0c6ee-125b-4ba6-b6dc-5f6ddf52b812/ENCFF291EKY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF850YMO	bam	bam		alignments	GRCh38	ENCSR777CCI	long read RNA-seq	/human-donors/ENCDO520EJG/	NTR:0000494	left ventricle myocardium superior	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF911UGW/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF560GYE/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/	290127350	ENCODE Processing Pipeline	0ea6fe457d260dc6f832bc81463b3712		https://www.encodeproject.org/files/ENCFF850YMO/@@download/ENCFF850YMO.bam	V29			released	s3://encode-public/2021/01/23/53713e1f-f3c3-43c9-9239-ec15fc662e08/ENCFF850YMO.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/53713e1f-f3c3-43c9-9239-ec15fc662e08/ENCFF850YMO.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF560GYE	bam	bam		unfiltered alignments	GRCh38	ENCSR777CCI	long read RNA-seq	/human-donors/ENCDO520EJG/	NTR:0000494	left ventricle myocardium superior	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF624IQY/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1043992368	ENCODE Processing Pipeline	0d27f6831087338924642cc74e4710dc		https://www.encodeproject.org/files/ENCFF560GYE/@@download/ENCFF560GYE.bam	V29			released	s3://encode-public/2021/01/23/58e1b7c7-2f20-4a86-8fed-a70aac040a34/ENCFF560GYE.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/58e1b7c7-2f20-4a86-8fed-a70aac040a34/ENCFF560GYE.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF865IXS	gtf	gtf		transcriptome annotations	GRCh38	ENCSR777CCI	long read RNA-seq	/human-donors/ENCDO520EJG/	NTR:0000494	left ventricle myocardium superior	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF850YMO/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/	56420032	ENCODE Processing Pipeline	4b38880582027cee49a0f7580345130b		https://www.encodeproject.org/files/ENCFF865IXS/@@download/ENCFF865IXS.gtf.gz	V29			released	s3://encode-public/2021/01/23/630719f9-30a8-4f5a-add4-2ff9372d8c6f/ENCFF865IXS.gtf.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/630719f9-30a8-4f5a-add4-2ff9372d8c6f/ENCFF865IXS.gtf.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF541FGD	tsv	tsv		transcript quantifications	GRCh38	ENCSR777CCI	long read RNA-seq	/human-donors/ENCDO520EJG/	NTR:0000494	left ventricle myocardium superior	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF850YMO/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/	16274063	ENCODE Processing Pipeline	a50755fe411876d265517e82cdf22acc		https://www.encodeproject.org/files/ENCFF541FGD/@@download/ENCFF541FGD.tsv	V29			released	s3://encode-public/2021/01/23/bdb67842-26a9-4396-b261-d6c15b1d2bc4/ENCFF541FGD.tsv	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/bdb67842-26a9-4396-b261-d6c15b1d2bc4/ENCFF541FGD.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF932JDX	bam	bam		unfiltered alignments	GRCh38	ENCSR834DQL	long read RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				1	1_1							/files/ENCFF427JDY/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	385287658	ENCODE Processing Pipeline	aa771b8258569710d137577be3dc728f		https://www.encodeproject.org/files/ENCFF932JDX/@@download/ENCFF932JDX.bam	V29			archived	s3://encode-public/2019/11/20/a7b2d9f0-4a08-4d77-9753-0f67629ed95b/ENCFF932JDX.bam	https://datasetencode.blob.core.windows.net/dataset/2019/11/20/a7b2d9f0-4a08-4d77-9753-0f67629ed95b/ENCFF932JDX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 GRCh38 V29	archived			
ENCFF104CVI	tsv	tsv		transcript quantifications	GRCh38	ENCSR834DQL	long read RNA-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2019-06-28	ENCODE				2	2_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF463JKW/	11859293	ENCODE Processing Pipeline	9d1b813edec2c9370c71eb82205afe91		https://www.encodeproject.org/files/ENCFF104CVI/@@download/ENCFF104CVI.tsv	V29			archived	s3://encode-public/2019/11/20/4c50a91a-d213-451a-8502-2fe8eee551b4/ENCFF104CVI.tsv	https://datasetencode.blob.core.windows.net/dataset/2019/11/20/4c50a91a-d213-451a-8502-2fe8eee551b4/ENCFF104CVI.tsv?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 GRCh38 V29	archived			
