Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version
ENSG00000278625	ENSG00000278625.1	ENST00000616830	ENST00000616830.1
ENSG00000278625	ENSG00000278625.1	ENST00000616830	ENST00000616830.1
ENSG00000278793	ENSG00000278793.1	ENST00000616468	ENST00000616468.1
ENSG00000278793	ENSG00000278793.1	ENST00000616468	ENST00000616468.1
ENSG00000274202	ENSG00000274202.1	ENST00000611062	ENST00000611062.1
ENSG00000275987	ENSG00000275987.1	ENST00000618083	ENST00000618083.1
ENSG00000275405	ENSG00000275405.1	ENST00000619109	ENST00000619109.1
ENSG00000276711	ENSG00000276711.1	ENST00000621409	ENST00000621409.1
ENSG00000277374	ENSG00000277374.1	ENST00000612925	ENST00000612925.1
ENSG00000282338	ENSG00000282338.1	ENST00000631612	ENST00000631612.1
ENSG00000282338	ENSG00000282338.1	ENST00000631612	ENST00000631612.1
ENSG00000282288	ENSG00000282288.1	ENST00000632886	ENST00000632886.1
ENSG00000282288	ENSG00000282288.1	ENST00000632886	ENST00000632886.1
ENSG00000244395	ENSG00000244395.6	ENST00000382680	ENST00000382680.5
ENSG00000244395	ENSG00000244395.6	ENST00000382680	ENST00000382680.5
ENSG00000244395	ENSG00000244395.6	ENST00000418956	ENST00000418956.2
ENSG00000244395	ENSG00000244395.6	ENST00000418956	ENST00000418956.2
ENSG00000252900	ENSG00000252900.1	ENST00000517091	ENST00000517091.1
ENSG00000252900	ENSG00000252900.1	ENST00000517091	ENST00000517091.1
ENSG00000251970	ENSG00000251970.1	ENST00000516161	ENST00000516161.1
ENSG00000252766	ENSG00000252766.1	ENST00000516957	ENST00000516957.1
ENSG00000252766	ENSG00000252766.1	ENST00000516957	ENST00000516957.1
ENSG00000252513	ENSG00000252513.1	ENST00000516704	ENST00000516704.1
ENSG00000252166	ENSG00000252166.1	ENST00000516357	ENST00000516357.1
ENSG00000252209	ENSG00000252209.1	ENST00000516400	ENST00000516400.1
ENSG00000176728	ENSG00000176728.10	ENST00000651734	ENST00000651734.1
ENSG00000176728	ENSG00000176728.10	ENST00000650897	ENST00000650897.1
ENSG00000176728	ENSG00000176728.10	ENST00000652153	ENST00000652153.1
ENSG00000176728	ENSG00000176728.10	ENST00000652348	ENST00000652348.1
ENSG00000169800	ENSG00000169800.14	ENST00000303766	ENST00000303766.12
ENSG00000169800	ENSG00000169800.14	ENST00000303766	ENST00000303766.12
ENSG00000252155	ENSG00000252155.1	ENST00000516346	ENST00000516346.1
ENSG00000252155	ENSG00000252155.1	ENST00000516346	ENST00000516346.1
ENSG00000251841	ENSG00000251841.1	ENST00000516032	ENST00000516032.1
ENSG00000251841	ENSG00000251841.1	ENST00000516032	ENST00000516032.1
ENSG00000281499	ENSG00000281499.1	ENST00000629478	ENST00000629478.1
ENSG00000281499	ENSG00000281499.1	ENST00000629478	ENST00000629478.1
ENSG00000242389	ENSG00000242389.9	ENST00000382659	ENST00000382659.7
ENSG00000242389	ENSG00000242389.9	ENST00000382659	ENST00000382659.7
ENSG00000252625	ENSG00000252625.1	ENST00000516816	ENST00000516816.1
ENSG00000252948	ENSG00000252948.1	ENST00000517139	ENST00000517139.1
ENSG00000252948	ENSG00000252948.1	ENST00000517139	ENST00000517139.1
ENSG00000252681	ENSG00000252681.1	ENST00000516872	ENST00000516872.1
ENSG00000252468	ENSG00000252468.1	ENST00000516659	ENST00000516659.1
ENSG00000251917	ENSG00000251917.1	ENST00000516108	ENST00000516108.1
ENSG00000285386	ENSG00000285386.1	ENST00000642234	ENST00000642234.1
ENSG00000285386	ENSG00000285386.1	ENST00000642234	ENST00000642234.1
ENSG00000252426	ENSG00000252426.1	ENST00000516617	ENST00000516617.1
ENSG00000226941	ENSG00000226941.9	ENST00000250831	ENST00000250831.6
ENSG00000226941	ENSG00000226941.9	ENST00000250831	ENST00000250831.6
ENSG00000242875	ENSG00000242875.7	ENST00000383020	ENST00000383020.7
ENSG00000242875	ENSG00000242875.7	ENST00000383020	ENST00000383020.7
ENSG00000234414	ENSG00000234414.8	ENST00000382707	ENST00000382707.6
ENSG00000234414	ENSG00000234414.8	ENST00000382707	ENST00000382707.6
ENSG00000234414	ENSG00000234414.8	ENST00000382707	ENST00000382707.6
ENSG00000283153	ENSG00000283153.2	ENST00000636590	ENST00000636590.2
ENSG00000283153	ENSG00000283153.2	ENST00000636590	ENST00000636590.2
ENSG00000291393	ENSG00000291393.1	ENST00000707405	ENST00000707405.1
ENSG00000291396	ENSG00000291396.1	ENST00000707408	ENST00000707408.1
ENSG00000291399	ENSG00000291399.1	ENST00000707411	ENST00000707411.1
ENSG00000288521	ENSG00000288521.1	ENST00000672529	ENST00000672529.1
