experiment	description	simple_biosample_summary	file	output_type	file_size	bio_rep	tech_rep	name	species
ENCSR293MOX	W62 right lobe of liver	female child (16 years)	ENCFF318SKH	reads	255510907	1	1_1	ENCSR293MOX_1_1	human
ENCSR293MOX	W62 right lobe of liver	female child (16 years)	ENCFF430RUG	unfiltered alignments	362638099	1	1_1	ENCSR293MOX_1_1	human
ENCSR293MOX	W62 right lobe of liver	female child (16 years)	ENCFF158KCA	alignments	88674255	1	1_1	ENCSR293MOX_1_1	human
ENCSR081NRO	Adrenal Gland 1-2 ENTEX50	male adult (37 years)	ENCFF211SQY	reads	387217252	1	1_1	ENCSR081NRO_1_1	human
ENCSR081NRO	Adrenal Gland 1-2 ENTEX50	male adult (37 years)	ENCFF967OHL	unfiltered alignments	521377683	1	1_1	ENCSR081NRO_1_1	human
ENCSR081NRO	Adrenal Gland 1-2 ENTEX50	male adult (37 years)	ENCFF147OYL	alignments	132155699	1	1_1	ENCSR081NRO_1_1	human
ENCSR257JBF	excitatory cortical neurons	male adult (53 years)	ENCFF919JFJ	reads	345607718	1	1_1	ENCSR257JBF_1_1	human
ENCSR257JBF	excitatory cortical neurons	male adult (53 years)	ENCFF982WKN	reads	388727156	1	1_2	ENCSR257JBF_1_2	human
ENCSR257JBF	excitatory cortical neurons	male adult (53 years)	ENCFF826VUW	unfiltered alignments	525277465	1	1_2	ENCSR257JBF_1_2	human
ENCSR257JBF	excitatory cortical neurons	male adult (53 years)	ENCFF451GPX	unfiltered alignments	470540688	1	1_1	ENCSR257JBF_1_1	human
ENCSR257JBF	excitatory cortical neurons	male adult (53 years)	ENCFF772MSZ	alignments	134946610	1	1_2	ENCSR257JBF_1_2	human
ENCSR257JBF	excitatory cortical neurons	male adult (53 years)	ENCFF117DUA	alignments	125340723	1	1_1	ENCSR257JBF_1_1	human
ENCSR838WFC	Homo sapiens GM12878 immortalized cell line		ENCFF450VAU	reads	1080035705	1	1_1	ENCSR838WFC_1_1	human
ENCSR838WFC	Homo sapiens GM12878 immortalized cell line		ENCFF694DIE	reads	1210756923	2	2_1	ENCSR838WFC_2_1	human
ENCSR838WFC	Homo sapiens GM12878 immortalized cell line		ENCFF648NAR	alignments	337379020	1	1_1	ENCSR838WFC_1_1	human
ENCSR838WFC	Homo sapiens GM12878 immortalized cell line		ENCFF407TMX	unfiltered alignments	1357133821	1	1_1	ENCSR838WFC_1_1	human
ENCSR838WFC	Homo sapiens GM12878 immortalized cell line		ENCFF592BQN	unfiltered alignments	1523626218	2	2_1	ENCSR838WFC_2_1	human
ENCSR838WFC	Homo sapiens GM12878 immortalized cell line		ENCFF225CCJ	alignments	378700722	2	2_1	ENCSR838WFC_2_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF728ITF	reads	435016968	3	3_1	ENCSR902GAF_3_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF288CJF	reads	491916298	1	1_1	ENCSR902GAF_1_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF385QZZ	reads	569116867	2	2_1	ENCSR902GAF_2_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF016SHE	alignments	194874810	2	2_1	ENCSR902GAF_2_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF224GJB	unfiltered alignments	731394703	2	2_1	ENCSR902GAF_2_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF479EHE	alignments	151511625	3	3_1	ENCSR902GAF_3_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF914XOH	alignments	172790240	1	1_1	ENCSR902GAF_1_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF128JBZ	unfiltered alignments	652700630	1	1_1	ENCSR902GAF_1_1	human
ENCSR902GAF	Clonal line 6 derived from hTert immortalized HFF parental line		ENCFF027FIG	unfiltered alignments	555219276	3	3_1	ENCSR902GAF_3_1	human
ENCSR181CES	Panc1 cell line		ENCFF990CUL	reads	1031594292	1	1_1	ENCSR181CES_1_1	human
ENCSR181CES	Panc1 cell line		ENCFF786LUJ	unfiltered alignments	1273801250	1	1_1	ENCSR181CES_1_1	human
ENCSR181CES	Panc1 cell line		ENCFF745DHX	alignments	386451471	1	1_1	ENCSR181CES_1_1	human
ENCSR676IWT	iPSCs via Sendai-viral Yamanaka factors		ENCFF954UFG	reads	392865529	1	1_1	ENCSR676IWT_1_1	human
ENCSR676IWT	iPSCs via Sendai-viral Yamanaka factors		ENCFF251CBB	reads	390229234	1	1_2	ENCSR676IWT_1_2	human
ENCSR676IWT	iPSCs via Sendai-viral Yamanaka factors		ENCFF840GRV	unfiltered alignments	534940361	1	1_1	ENCSR676IWT_1_1	human
ENCSR676IWT	iPSCs via Sendai-viral Yamanaka factors		ENCFF601FEJ	unfiltered alignments	527003094	1	1_2	ENCSR676IWT_1_2	human
ENCSR676IWT	iPSCs via Sendai-viral Yamanaka factors		ENCFF846YHI	alignments	134497737	1	1_2	ENCSR676IWT_1_2	human
ENCSR676IWT	iPSCs via Sendai-viral Yamanaka factors		ENCFF049QGQ	alignments	134460550	1	1_1	ENCSR676IWT_1_1	human
ENCSR995WKW	Adrenal Gland 2-1 ENTEX51	male adult (54 years)	ENCFF912HPY	reads	278531209	1	1_1	ENCSR995WKW_1_1	human
ENCSR995WKW	Adrenal Gland 2-1 ENTEX51	male adult (54 years)	ENCFF020MWV	unfiltered alignments	373661166	1	1_1	ENCSR995WKW_1_1	human
ENCSR995WKW	Adrenal Gland 2-1 ENTEX51	male adult (54 years)	ENCFF243PFI	alignments	104195091	1	1_1	ENCSR995WKW_1_1	human
ENCSR904KAT	H9-derived definitive endoderm	female embryo (5 days)	ENCFF142LPL	reads	1770216626	1	1_1	ENCSR904KAT_1_1	human
ENCSR904KAT	H9-derived definitive endoderm	female embryo (5 days)	ENCFF561HIY	reads	1754822657	2	2_1	ENCSR904KAT_2_1	human
ENCSR904KAT	H9-derived definitive endoderm	female embryo (5 days)	ENCFF381WCH	unfiltered alignments	2129238927	2	2_1	ENCSR904KAT_2_1	human
ENCSR904KAT	H9-derived definitive endoderm	female embryo (5 days)	ENCFF170KET	unfiltered alignments	2154631360	1	1_1	ENCSR904KAT_1_1	human
ENCSR904KAT	H9-derived definitive endoderm	female embryo (5 days)	ENCFF936VUF	alignments	556599843	1	1_1	ENCSR904KAT_1_1	human
ENCSR904KAT	H9-derived definitive endoderm	female embryo (5 days)	ENCFF939EUU	alignments	571039282	2	2_1	ENCSR904KAT_2_1	human
ENCSR113MEY	IMR90 cell line		ENCFF197DCI	reads	804201432	1	1_1	ENCSR113MEY_1_1	human
ENCSR113MEY	IMR90 cell line		ENCFF320RGU	unfiltered alignments	1009917307	1	1_1	ENCSR113MEY_1_1	human
ENCSR113MEY	IMR90 cell line		ENCFF545PJV	alignments	295345816	1	1_1	ENCSR113MEY_1_1	human
ENCSR589FUJ	Homo sapiens K562 immortalized cell line		ENCFF694INI	reads	339656403	2	2_1	ENCSR589FUJ_2_1	human
ENCSR589FUJ	Homo sapiens K562 immortalized cell line		ENCFF763VZC	reads	667390005	1	1_1	ENCSR589FUJ_1_1	human
ENCSR589FUJ	Homo sapiens K562 immortalized cell line		ENCFF092NLB	unfiltered alignments	964902375	1	1_1	ENCSR589FUJ_1_1	human
ENCSR589FUJ	Homo sapiens K562 immortalized cell line		ENCFF433YKW	unfiltered alignments	472133763	2	2_1	ENCSR589FUJ_2_1	human
ENCSR589FUJ	Homo sapiens K562 immortalized cell line		ENCFF504GVG	alignments	216012512	1	1_1	ENCSR589FUJ_1_1	human
ENCSR589FUJ	Homo sapiens K562 immortalized cell line		ENCFF479SQR	alignments	117954747	2	2_1	ENCSR589FUJ_2_1	human
ENCSR388RWE	HCT 116 cell line		ENCFF337VWR	reads	889467360	1	1_1	ENCSR388RWE_1_1	human
ENCSR388RWE	HCT 116 cell line		ENCFF776BTJ	unfiltered alignments	1102770319	1	1_1	ENCSR388RWE_1_1	human
ENCSR388RWE	HCT 116 cell line		ENCFF400LRT	alignments	328980883	1	1_1	ENCSR388RWE_1_1	human
ENCSR194YUY	ENTEX105 Heart - Left Ventricle 3-1	female adult (53 years)	ENCFF185VYD	reads	214234653	1	1_1	ENCSR194YUY_1_1	human
ENCSR194YUY	ENTEX105 Heart - Left Ventricle 3-1	female adult (53 years)	ENCFF146VCF	unfiltered alignments	294402574	1	1_1	ENCSR194YUY_1_1	human
ENCSR194YUY	ENTEX105 Heart - Left Ventricle 3-1	female adult (53 years)	ENCFF989FKA	alignments	78788800	1	1_1	ENCSR194YUY_1_1	human
ENCSR706ANY	Homo sapiens GM12878 immortalized cell line		ENCFF281TNJ	reads	327830166	1	1_1	ENCSR706ANY_1_1	human
