ENCODE_experiment_id	dataset	sample	sample_display	general_tissue_cell_type	fig1_tissue_label	age	adult	sex	genotype	tissue_or_cell_line	sample_color_hex_code	matching_human_samples	reads_post_talon	ENCODE_alignments_id	ENCODE_reads_id	ENCODE_unfiltered_alignments_id
ENCSR885NRP	adrenal_18-20mo_m_1	adrenal_18-20mo	Adrenal gland PNM18-20	adrenal gland	adrenal gland	18-20mo	True	m	b6/cast	tissue	#b24422	['adrenal gland']	679622	ENCFF684SLZ	ENCFF811RRD	ENCFF167IJD
ENCSR964OKW	gastroc_4d_m_1	gastroc_4d	Gastrocnemius PND4	muscle	muscle	4d	True	m	b6/cast	tissue	#e2e5ef	['muscle']	1066347	ENCFF643TDK	ENCFF798HCT	ENCFF541JWV
ENCSR964OKW	gastroc_4d_m_2	gastroc_4d	Gastrocnemius PND4	muscle	muscle	4d	True	m	b6/cast	tissue	#e2e5ef	['muscle']	1100253	ENCFF821NRP	ENCFF069POP	ENCFF362LGG
ENCSR410XGE	heart_18-20mo_m_1	heart_18-20mo	Heart PNM18-20	heart	heart	18-20mo	True	m	b6/cast	tissue	#7caf5c	['heart']	699529	ENCFF800GKP	ENCFF177KNR	ENCFF458JBD
ENCSR410XGE	heart_18-20mo_m_2	heart_18-20mo	Heart PNM18-20	heart	heart	18-20mo	True	m	b6/cast	tissue	#7caf5c	['heart']	1019974	ENCFF510KLD	ENCFF468BPP	ENCFF107ZLE
ENCSR920WYI	gastroc_14d_f_2	gastroc_14d	Gastrocnemius PND14	muscle	muscle	14d	True	f	b6/cast	tissue	#a8b1ce	['muscle']	1204188	ENCFF524FPE	ENCFF124DBU	ENCFF285TTM
ENCSR920WYI	gastroc_14d_f_1	gastroc_14d	Gastrocnemius PND14	muscle	muscle	14d	True	f	b6/cast	tissue	#a8b1ce	['muscle']	1316937	ENCFF736MDK	ENCFF618PJT	ENCFF823CFA
ENCSR791CDT	gastroc_25d_m_2	gastroc_25d	Gastrocnemius PND25	muscle	muscle	25d	True	m	b6/cast	tissue	#8a98be	['muscle']	1703457	ENCFF984UIN	ENCFF435GLV	ENCFF977HLZ
ENCSR791CDT	gastroc_25d_m_1	gastroc_25d	Gastrocnemius PND25	muscle	muscle	25d	True	m	b6/cast	tissue	#8a98be	['muscle']	1292409	ENCFF960HIF	ENCFF221ABY	ENCFF767GXC
ENCSR628IMW	cortex_18-20mo_m_1	cortex_18-20mo	Cortex PNM18-20	cortex	cortex	18-20mo	True	m	b6/cast	tissue	#7c5290	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1187511	ENCFF691BND	ENCFF565RLW	ENCFF851BOA
ENCSR628IMW	cortex_18-20mo_m_2	cortex_18-20mo	Cortex PNM18-20	cortex	cortex	18-20mo	True	m	b6/cast	tissue	#7c5290	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	1118251	ENCFF603QTD	ENCFF325BXV	ENCFF315DLM
ENCSR267XBT	heart_18-20mo_f_1	heart_18-20mo	Heart PNM18-20	heart	heart	18-20mo	True	f	b6/cast	tissue	#7caf5c	['heart']	642970	ENCFF917ONC	ENCFF032HOK	ENCFF957PNF
ENCSR267XBT	heart_18-20mo_f_2	heart_18-20mo	Heart PNM18-20	heart	heart	18-20mo	True	f	b6/cast	tissue	#7caf5c	['heart']	677209	ENCFF688VMD	ENCFF356MNK	ENCFF828VWI
ENCSR818JQK	gastroc_25d_f_1	gastroc_25d	Gastrocnemius PND25	muscle	muscle	25d	True	f	b6/cast	tissue	#8a98be	['muscle']	1100764	ENCFF871UCZ	ENCFF837UMP	ENCFF402JSQ
ENCSR818JQK	gastroc_25d_f_2	gastroc_25d	Gastrocnemius PND25	muscle	muscle	25d	True	f	b6/cast	tissue	#8a98be	['muscle']	1588661	ENCFF481DML	ENCFF556BPF	ENCFF951RWG
ENCSR791JQO	cortex_14d_m_1	cortex_14d	Cortex PND14	cortex	cortex	14d	True	m	b6/cast	tissue	#c7b5cf	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	782521	ENCFF254GFU	ENCFF100UBG	ENCFF125MOK
ENCSR791JQO	cortex_14d_m_2	cortex_14d	Cortex PND14	cortex	cortex	14d	True	m	b6/cast	tissue	#c7b5cf	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	935052	ENCFF816VUM	ENCFF812RTU	ENCFF769YZL
ENCSR754VEZ	gastroc_10d_f_2	gastroc_10d	Gastrocnemius PND10	muscle	muscle	10d	True	f	b6/cast	tissue	#c5cbde	['muscle']	636063	ENCFF691USV	ENCFF696VVK	ENCFF293HRQ
ENCSR754VEZ	gastroc_10d_f_1	gastroc_10d	Gastrocnemius PND10	muscle	muscle	10d	True	f	b6/cast	tissue	#c5cbde	['muscle']	1207044	ENCFF790IBF	ENCFF337DWM	ENCFF221IAN
ENCSR242UEB	adrenal_36d_m_2	adrenal_36d	Adrenal gland PND36	adrenal gland	adrenal gland	36d	True	m	b6/cast	tissue	#c87961	['adrenal gland']	479002	ENCFF297ZHK	ENCFF549DGV	ENCFF501YNI
ENCSR242UEB	adrenal_36d_m_1	adrenal_36d	Adrenal gland PND36	adrenal gland	adrenal gland	36d	True	m	b6/cast	tissue	#c87961	['adrenal gland']	458001	ENCFF012CDD	ENCFF988MZV	ENCFF852UAU
ENCSR530ZLE	adrenal_14d_f_2	adrenal_14d	Adrenal gland PND14	adrenal gland	adrenal gland	14d	True	f	b6/cast	tissue	#deafa0	['adrenal gland']	991731	ENCFF402PHJ	ENCFF435KPO	ENCFF704NBV
ENCSR530ZLE	adrenal_14d_f_1	adrenal_14d	Adrenal gland PND14	adrenal gland	adrenal gland	14d	True	f	b6/cast	tissue	#deafa0	['adrenal gland']	1143111	ENCFF094ZZY	ENCFF671OCJ	ENCFF026LZW
ENCSR454ECK	adrenal_14d_m_2	adrenal_14d	Adrenal gland PND14	adrenal gland	adrenal gland	14d	True	m	b6/cast	tissue	#deafa0	['adrenal gland']	1003061	ENCFF379DRK	ENCFF970IHS	ENCFF817DYN
ENCSR454ECK	adrenal_14d_m_1	adrenal_14d	Adrenal gland PND14	adrenal gland	adrenal gland	14d	True	m	b6/cast	tissue	#deafa0	['adrenal gland']	981697	ENCFF495FTY	ENCFF836THV	ENCFF800KCU
ENCSR512EWP	adrenal_4d_m_2	adrenal_4d	Adrenal gland PND4	adrenal gland	adrenal gland	4d	True	m	b6/cast	tissue	#f4e4df	['adrenal gland']	832552	ENCFF571ZLW	ENCFF177RGM	ENCFF639UOD
ENCSR512EWP	adrenal_4d_m_1	adrenal_4d	Adrenal gland PND4	adrenal gland	adrenal gland	4d	True	m	b6/cast	tissue	#f4e4df	['adrenal gland']	707726	ENCFF545VGM	ENCFF141ZHE	ENCFF034HGS
ENCSR909NPF	hippocampus_2mo_f_1	hippocampus_2mo	Hippocampus PNM2	hippocampus	hippocampus	2mo	True	f	b6/cast	tissue	#c96579	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	836240	ENCFF254PCW	ENCFF223JJA	ENCFF337TQR
ENCSR909NPF	hippocampus_2mo_f_2	hippocampus_2mo	Hippocampus PNM2	hippocampus	hippocampus	2mo	True	f	b6/cast	tissue	#c96579	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	752291	ENCFF212YBY	ENCFF326JTG	ENCFF987ICP
ENCSR893GCO	adrenal_25d_f_2	adrenal_25d	Adrenal gland PND25	adrenal gland	adrenal gland	25d	True	f	b6/cast	tissue	#d39481	['adrenal gland']	770041	ENCFF637NBP	ENCFF589EMD	ENCFF587AMI
ENCSR893GCO	adrenal_25d_f_1	adrenal_25d	Adrenal gland PND25	adrenal gland	adrenal gland	25d	True	f	b6/cast	tissue	#d39481	['adrenal gland']	426150	ENCFF833EUH	ENCFF167GYW	ENCFF444SZT
ENCSR550KPM	cortex_18-20mo_f_1	cortex_18-20mo	Cortex PNM18-20	cortex	cortex	18-20mo	True	f	b6/cast	tissue	#7c5290	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	871524	ENCFF054XPK	ENCFF520HCL	ENCFF436XRC
ENCSR550KPM	cortex_18-20mo_f_2	cortex_18-20mo	Cortex PNM18-20	cortex	cortex	18-20mo	True	f	b6/cast	tissue	#7c5290	['brain', 'pgp1_excite_neuron', 'pgp1_astro']	839150	ENCFF269APD	ENCFF132MEJ	ENCFF521YYK
ENCSR842KTN	heart_14d_m_2	heart_14d	Heart PND14	heart	heart	14d	True	m	b6/cast	tissue	#c7ddb9	['heart']	1110707	ENCFF867QMB	ENCFF860CBL	ENCFF594CLT
ENCSR842KTN	heart_14d_m_1	heart_14d	Heart PND14	heart	heart	14d	True	m	b6/cast	tissue	#c7ddb9	['heart']	1107678	ENCFF953BLN	ENCFF584WWA	ENCFF747EXS
ENCSR649MEZ	adrenal_2mo_m_2	adrenal_2mo	Adrenal gland PNM2	adrenal gland	adrenal gland	2mo	True	m	b6/cast	tissue	#bd5f42	['adrenal gland']	661982	ENCFF943KQU	ENCFF916NVH	ENCFF367SIB
