experiment	library	status	lab	description	document_labels	document_urls	platform	RIN	spikeins	biosample_ontology	biosample_term	organism	subcellular_fraction
ENCSR885NRP	ENCLB090NTH	released	UCI	ENC4_239 B6Cast F1 PND 18-20 months_Male 03_Adrenals	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	8.1	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0002369/	adrenal gland	mouse	whole cell
ENCSR964OKW	ENCLB676FHV	released	UCI	ENC4_381a, ENC4_382a B6Cast F1 PND4_Male Gastrocnemius	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0001388/	gastrocnemius	mouse	whole cell
ENCSR964OKW	ENCLB676FHV	released	UCI	ENC4_381a, ENC4_382a B6Cast F1 PND4_Male Gastrocnemius	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0001388/	gastrocnemius	mouse	whole cell
ENCSR410XGE	ENCLB579AAE	released	UCI	ENC4_497, ENC4_498 heart_B6Cast F1 PND 18-20 months Male 03 heart_ENC4_cDNA609, cDNA610	'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.1)', 'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)'	https://www.encodeproject.org/documents/bf543ffc-23d0-4f6f-b6a8-d131859259e4/ , https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/	Pacific Biosciences Sequel II	8.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0000948/	heart	mouse	whole cell
ENCSR410XGE	ENCLB579AAE	released	UCI	ENC4_497, ENC4_498 heart_B6Cast F1 PND 18-20 months Male 03 heart_ENC4_cDNA609, cDNA610	'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.1)', 'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)'	https://www.encodeproject.org/documents/bf543ffc-23d0-4f6f-b6a8-d131859259e4/ , https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/	Pacific Biosciences Sequel II	8.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0000948/	heart	mouse	whole cell
ENCSR920WYI	ENCLB601QDP	released	UCI	ENC4_391a, ENC4_392a B6Cast F1 PND14 Females Gastrocnemius	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0001388/	gastrocnemius	mouse	whole cell
ENCSR920WYI	ENCLB601QDP	released	UCI	ENC4_391a, ENC4_392a B6Cast F1 PND14 Females Gastrocnemius	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0001388/	gastrocnemius	mouse	whole cell
ENCSR791CDT	ENCLB545HZH	released	UCI	ENC4_393a, ENC4_394a B6Cast F1 PND25_Male Gastrocnemius	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0001388/	gastrocnemius	mouse	whole cell
ENCSR791CDT	ENCLB545HZH	released	UCI	ENC4_393a, ENC4_394a B6Cast F1 PND25_Male Gastrocnemius	'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)', 'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.0)'	https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/ , https://www.encodeproject.org/documents/7ca4f144-8428-4d20-95b5-f6dd74c0781c/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_UBERON_0001388/	gastrocnemius	mouse	whole cell
ENCSR628IMW	ENCLB135JON	released	UCI	ENC4_469, ENC4_470 B6Cast F1 PND 18-20 months Female 03 L. cortex	'ENCODE Long Read RNA-Seq Analysis Protocol for MouseSamples (v.3.1)', 'PacBio libraries v3 (October, 2020) Protocol to build non-size selected cDNA libraries for Pacific Biosciences long-read sequencing Version 3.0 (October, 2020)'	https://www.encodeproject.org/documents/bf543ffc-23d0-4f6f-b6a8-d131859259e4/ , https://www.encodeproject.org/documents/3baa46d2-cb88-4608-8877-70596d200489/	Pacific Biosciences Sequel II	9.0	/references/ENCSR759PLA/ , /references/ENCSR156CIL/	/biosample-types/tissue_NTR_0000646/	left cerebral cortex	mouse	whole cell
