Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	sensory perception of smell (GO:0007608)	66/111	1.361961e-50	1.628905e-47	0	0	2.310834e+01	2.653307e+03	OR10J1;OR8I2;OR1C1;OR8U3;OR8U1;OR5D18;OR5AP2;OR5B12;OR5B3;OR5D16;OR8D2;OR5B17;OR8D1;OR5D14;OR5D13;OR8H3;OR8H2;OR4D1;OR2D2;MKKS;OR5F1;OR10Z1;OR5AC2;OR6C3;OR5AK2;OR6C2;OR10A3;OR10A5;OR8K5;OR6K6;OR9I1;OR5M9;OR5M8;OR8K3;OR8K1;OR5I1;OR6K2;OR1E1;OR52D1;OR5M3;OR9Q2;OR10T2;OR5M1;OR5M11;OR1Q1;OR2S2;OR5M10;OR8B8;OR51B6;OR8B4;OR12D3;OR8B2;OR12D2;OR2A25;OR1D5;OR8J3;OR8B12;OR8J1;OR5B21;OR5L2;OR5L1;OR6N2;OR51I1;OR51V1;OR6A2;OR9G4
GO_Biological_Process_2021	sensory perception of chemical stimulus (GO:0007606)	61/99	3.545580e-48	2.120257e-45	0	0	2.519536e+01	2.752804e+03	OR10J1;OR8I2;OR1C1;OR8U3;OR8U1;OR5D18;OR5AP2;OR5B12;OR5B3;OR5D16;OR8D2;OR5B17;OR8D1;OR5D14;OR5D13;OR8H3;OR8H2;OR4D1;OR2D2;MKKS;OR5F1;OR5AC2;OR6C3;OR5AK2;OR6C2;OR10A3;OR3A2;OR10A5;OR8K5;OR9I1;OR5M9;OR5M8;OR8K3;OR1E2;OR8K1;OR5I1;OR1E1;OR52D1;OR5M3;OR9Q2;OR5M1;OR5M11;OR1Q1;OR2S2;OR5M10;OR8B8;OR51B6;OR8B4;OR5AN1;OR8B2;OR1D5;OR8J3;OR8B12;OR8J1;OR5B21;OR5L2;OR5L1;OR51I1;OR51V1;OR6A2;OR9G4
GO_Biological_Process_2021	natural killer cell activation involved in immune response (GO:0002323)	15/21	3.148109e-14	9.658412e-12	0	0	3.784532e+01	1.176588e+03	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;VAMP7;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)	14/18	3.230238e-14	9.658412e-12	0	0	5.294633e+01	1.644705e+03	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)	14/19	1.156575e-13	2.766528e-11	0	0	4.235480e+01	1.261671e+03	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	lymphocyte activation involved in immune response (GO:0002285)	14/24	1.448943e-11	2.888226e-09	0	0	2.117175e+01	5.283961e+02	IFNA5;IFNA4;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	response to dsRNA (GO:0043331)	14/25	3.103019e-11	5.301730e-09	0	0	1.924602e+01	4.656779e+02	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA21;IFNA10
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of taste (GO:0050912)	18/44	4.236550e-11	6.333643e-09	0	0	1.049449e+01	2.506576e+02	TAS2R60;TAS2R7;RTP5;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R42;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS1R2;TAS2R3
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of bitter taste (GO:0001580)	17/40	7.096303e-11	9.430199e-09	0	0	1.119699e+01	2.616609e+02	TAS2R60;TAS2R7;RTP5;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R42;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS2R3
GO_Biological_Process_2021	sensory perception of bitter taste (GO:0050913)	17/41	1.141738e-10	1.365518e-08	0	0	1.072987e+01	2.456422e+02	TAS2R60;TAS2R7;RTP5;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R42;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS2R3
GO_Biological_Process_2021	T cell activation involved in immune response (GO:0002286)	14/28	2.336795e-10	2.540733e-08	0	0	1.511945e+01	3.353051e+02	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA21;IFNA10
GO_Biological_Process_2021	B cell proliferation (GO:0042100)	14/32	2.165702e-09	2.158483e-07	0	0	1.175706e+01	2.345595e+02	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA21;IFNA10
GO_Biological_Process_2021	response to exogenous dsRNA (GO:0043330)	14/35	8.920450e-09	8.206814e-07	0	0	1.007587e+01	1.867554e+02	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA21;IFNA10
GO_Biological_Process_2021	lymphocyte proliferation (GO:0046651)	14/38	3.112471e-08	2.658940e-06	0	0	8.814972e+00	1.523691e+02	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA21;IFNA10
GO_Biological_Process_2021	natural killer cell activation (GO:0030101)	14/43	1.876566e-07	1.496249e-05	0	0	7.293201e+00	1.129619e+02	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA21;IFNA10
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception (GO:0050907)	10/25	1.233442e-06	9.219977e-05	0	0	1.004666e+01	1.366919e+02	OR10J1;OR10Z1;OR6K6;OR6K2;OR6N2;OR10T2;OR5AN1;OR12D3;OR12D2;OR2A25
GO_Biological_Process_2021	B cell differentiation (GO:0030183)	15/61	3.791679e-06	2.667558e-04	0	0	4.925810e+00	6.148741e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IL4;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	9/23	5.293969e-06	3.517548e-04	0	0	9.680581e+00	1.176088e+02	OR10J1;OR10Z1;OR6K6;OR6K2;OR6N2;OR10T2;OR12D3;OR12D2;OR2A25
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	26/176	3.928195e-05	2.472695e-03	0	0	2.627123e+00	2.665149e+01	DEFB103A;WFDC12;DEFB128;DEFB127;DEFB126;DEFB107A;LYZL4;HTN1;LYZL6;HTN3;LCE3C;LCE3B;RNASE8;WFDC13;DEFB104A;DEFB118;DEFA5;DEFB106A;SEMG2;IGLL1;IFNE;WFDC10A;DEFB130B;LALBA;LACRT;GALP
GO_Biological_Process_2021	negative regulation of execution phase of apoptosis (GO:1900118)	7/17	4.149016e-05	2.481112e-03	0	0	1.052640e+01	1.062120e+02	MTRNR2L10;MTRNR2L5;MTRNR2L6;MTRNR2L8;MTRNR2L1;MTRNR2L3;MTRNR2L4
GO_Biological_Process_2021	B cell activation (GO:0042113)	16/85	6.629786e-05	3.775821e-03	0	0	3.501318e+00	3.368742e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;AKAP17A;IFNA8;IFNW1;IL4;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	lymphocyte differentiation (GO:0030098)	15/84	2.051599e-04	1.115324e-02	0	0	3.279834e+00	2.785144e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IL4;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	regulation of execution phase of apoptosis (GO:1900117)	7/22	2.757641e-04	1.433974e-02	0	0	7.015730e+00	5.750068e+01	MTRNR2L10;MTRNR2L5;MTRNR2L6;MTRNR2L8;MTRNR2L1;MTRNR2L3;MTRNR2L4
GO_Biological_Process_2021	defense response to Gram-negative bacterium (GO:0050829)	13/73	5.484969e-04	2.715901e-02	0	0	3.265202e+00	2.451621e+01	DEFB103A;DEFB104A;DEFB118;DEFB128;DEFB127;DEFB126;DEFA5;DEFB107A;DEFB106A;LCE3C;LCE3B;RNASE8;GALP
GO_Biological_Process_2021	T cell activation (GO:0042110)	15/92	5.677052e-04	2.715901e-02	0	0	2.937813e+00	2.195695e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IL4;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	positive regulation of peptidyl-serine phosphorylation (GO:0033138)	14/93	1.892220e-03	8.704212e-02	0	0	2.670099e+00	1.674154e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	11/65	2.194859e-03	9.375185e-02	0	0	3.065888e+00	1.876826e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNA10;IFNA21
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	11/65	2.194859e-03	9.375185e-02	0	0	3.065888e+00	1.876826e+01	IFNA5;IFNA4;IFNA7;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNA10;IFNA21
GO_Biological_Process_2021	cellular response to growth hormone stimulus (GO:0071378)	4/12	5.054020e-03	2.084347e-01	0	0	7.501601e+00	3.966525e+01	GH1;CSH2;CSH1;CSHL1
GO_Biological_Process_2021	protein peptidyl-prolyl isomerization (GO:0000413)	6/27	5.664116e-03	2.258094e-01	0	0	4.290526e+00	2.219748e+01	PPIAL4H;PPIAL4A;PPIAL4C;PPIAL4E;PPIAL4D;PPIAL4G
