Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	olfactory receptor activity (GO:0004984)	142/209	6.315028e-121	1.427196e-118	0	0	3.563497e+01	9.862685e+03	OR7G1;OR8I2;OR1C1;OR5K4;OR5K3;OR5K2;OR51D1;OR5K1;OR6M1;OR51L1;OR5H15;OR5D18;OR5H14;OR10W1;OR5B3;OR5D16;OR5D14;OR5D13;OR8H3;OR8H2;OR1B1;OR2D2;OR14C36;OR5J2;OR1J4;OR1J2;OR1J1;OR10V1;OR5AC2;OR6C6;OR5A2;OR6C3;OR5AK2;OR6C2;OR1A2;OR9I1;OR6K6;OR51B2;OR5AR1;OR5I1;OR6K2;OR52D1;OR9Q2;OR10T2;OR1I1;OR6S1;OR5M11;OR5M10;OR1Q1;OR2S2;OR51S1;OR51B6;OR6B3;OR7D4;OR2A25;OR8B12;OR5H2;OR5B21;OR14K1;OR10S1;OR5P3;OR5P2;OR51I1;OR10C1;OR51A4;OR6A2;OR51A2;OR7C2;OR9G4;OR7E24;OR10J1;OR7A10;OR11L1;OR10AG1;OR8U3;OR8U1;OR5W2;OR51Q1;OR5AP2;OR5B12;OR8D2;OR5B17;OR8D1;OR7A17;OR4D1;OR51G2;OR5F1;OR51G1;OR6C70;OR6C76;OR6C75;OR6C74;OR14I1;OR10Q1;OR10Z1;OR10A7;OR2AP1;OR10A2;OR10A4;OR10A3;OR14A2;OR10A6;OR10A5;OR8K5;OR51F2;OR51F1;OR5M9;OR8K3;OR5M8;OR8K1;OR1E2;OR6C65;OR1E1;OR5M3;OR5M1;OR8S1;OR8B8;OR8B4;OR5AN1;OR6C68;OR12D3;OR8B2;OR12D2;OR1D5;OR6F1;OR8J3;OR8J1;OR10G2;OR10G4;OR10G3;OR5L2;OR5L1;OR6N2;OR1L4;OR1L3;OR1L1;OR6V1;OR51V1;OR10G6;OR10G8;OR10G9;OR7G3
GO_Molecular_Function_2021	bitter taste receptor activity (GO:0033038)	16/25	6.126313e-14	6.922734e-12	0	0	2.692967e+01	8.192974e+02	TAS2R60;TAS2R7;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R42;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS2R3
GO_Molecular_Function_2021	taste receptor activity (GO:0008527)	17/31	3.639402e-13	2.741683e-11	0	0	1.840390e+01	5.271204e+02	TAS2R60;TAS2R7;TAS2R40;TAS2R9;TAS2R41;TAS2R8;TAS2R30;TAS2R42;TAS2R10;TAS2R46;TAS2R13;TAS2R16;TAS2R38;TAS2R39;TAS2R19;TAS1R2;TAS2R3
GO_Molecular_Function_2021	G protein-coupled amine receptor activity (GO:0008227)	14/39	4.576235e-08	2.585573e-06	0	0	8.461921e+00	1.430048e+02	OR10H3;TAAR8;OR10H2;TAAR9;OR10H5;OR11H4;TAAR6;OR10H4;HTR1A;TAAR5;TAAR1;OR5T3;OR5T2;OR6T1
GO_Molecular_Function_2021	thiol-dependent deubiquitinase (GO:0004843)	22/106	5.460621e-07	2.118727e-05	0	0	3.970697e+00	5.725957e+01	USP17L15;USP17L18;USP17L17;USP17L19;USP17L21;USP17L10;USP17L20;USP17L12;USP17L2;USP17L22;USP17L11;USP17L3;USP29;USP17L24;USP17L1;USP17L13;ATXN3L;USP17L7;USP17L4;USP17L5;USP17L8;USP50
GO_Molecular_Function_2021	cysteine-type peptidase activity (GO:0008234)	21/98	5.624939e-07	2.118727e-05	0	0	4.132969e+00	5.947709e+01	USP17L15;USP17L18;USP17L17;USP17L19;USP17L21;USP17L10;USP17L20;USP17L12;USP17L2;USP17L22;USP17L11;USP17L3;USP29;USP17L24;USP17L1;USP17L13;USP17L7;USP17L4;USP17L5;USP17L8;USP50
GO_Molecular_Function_2021	deubiquitinase activity (GO:0101005)	22/112	1.462212e-06	4.720854e-05	0	0	3.704793e+00	4.977597e+01	USP17L15;USP17L18;USP17L17;USP17L19;USP17L21;USP17L10;USP17L20;USP17L12;USP17L2;USP17L22;USP17L11;USP17L3;USP29;USP17L24;USP17L1;USP17L13;ATXN3L;USP17L7;USP17L4;USP17L5;USP17L8;USP50
GO_Molecular_Function_2021	omega peptidase activity (GO:0008242)	22/113	1.709698e-06	4.829897e-05	0	0	3.663884e+00	4.865343e+01	USP17L15;USP17L18;USP17L17;USP17L19;USP17L21;USP17L10;USP17L20;USP17L12;USP17L2;USP17L22;USP17L11;USP17L3;USP29;USP17L24;USP17L1;USP17L13;ATXN3L;USP17L7;USP17L4;USP17L5;USP17L8;USP50
GO_Molecular_Function_2021	trace-amine receptor activity (GO:0001594)	5/6	5.448478e-06	1.368173e-04	0	0	7.510417e+01	9.102756e+02	TAAR8;TAAR9;TAAR6;TAAR5;TAAR1
GO_Molecular_Function_2021	cysteine-type endopeptidase activity (GO:0004197)	20/105	7.078087e-06	1.599648e-04	0	0	3.561280e+00	4.223147e+01	USP17L15;USP17L18;USP17L17;USP17L19;USP17L21;USP17L10;USP17L20;USP17L12;USP17L2;USP17L22;USP17L11;USP17L3;USP29;USP17L24;USP17L1;USP17L13;USP17L7;USP17L4;USP17L5;USP17L8
GO_Molecular_Function_2021	cytokine receptor binding (GO:0005126)	18/105	8.605261e-05	1.767990e-03	0	0	3.126064e+00	2.926169e+01	IFNA5;IL21;CCL25;IL22;IFNA14;IL31;IL25;CSH2;CSH1;CSHL1;IFNA8;IFNW1;IL4;GH1;IL3;IL36A;IFNA21;CRLF2
GO_Molecular_Function_2021	serotonin receptor activity (GO:0099589)	9/33	1.413415e-04	2.457167e-03	0	0	5.643991e+00	5.003021e+01	OR10H3;OR10H2;OR10H5;OR11H4;OR10H4;HTR1A;OR5T3;OR5T2;OR6T1
GO_Molecular_Function_2021	G protein-coupled serotonin receptor activity (GO:0004993)	9/33	1.413415e-04	2.457167e-03	0	0	5.643991e+00	5.003021e+01	OR10H3;OR10H2;OR10H5;OR11H4;OR10H4;HTR1A;OR5T3;OR5T2;OR6T1
GO_Molecular_Function_2021	receptor antagonist activity (GO:0048019)	8/28	2.331500e-04	3.763707e-03	0	0	6.016707e+00	5.032270e+01	MTRNR2L10;MTRNR2L5;MTRNR2L6;SPINT3;MTRNR2L8;MTRNR2L1;MTRNR2L3;MTRNR2L4
