Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Olfactory transduction	281/444	5.354934e-231	9.692431e-229	0	0	3.296034e+01	1.747620e+04	OR8I2;OR7G1;OR11H2;OR11H1;OR11H4;OR2M7;OR2M5;OR52N1;OR2M3;OR4K17;OR2M2;OR4Q3;OR52N4;OR51L1;OR5D18;OR2AE1;OR10W1;PRKACG;OR11H6;OR5B3;OR5D16;OR5D14;OR8H3;OR5D13;OR8H2;OR2L8;OR11G2;OR1J4;OR2L3;OR1J2;OR1J1;OR4P4;OR2L2;OR6T1;OR52M1;OR10V1;OR4K15;OR4K14;OR4K13;OR4C12;OR6C6;OR4C11;OR4C16;OR6C3;OR5A2;OR5AK2;OR4C15;OR6C2;OR4C13;OR9I1;OR13J1;OR2K2;OR1I1;OR10T2;OR6S1;OR52L1;OR5M11;OR5M10;OR6B3;OR7D4;OR6B1;OR2A25;OR8B12;OR14K1;OR4N5;OR2J3;OR4N4;OR2J2;OR2J1;OR10S1;OR5P3;OR5P2;OR52K2;OR51I1;OR52K1;OR4D11;OR10C1;OR2A12;OR4D10;OR2Z1;OR6A2;OR7C2;OR9G4;OR10J1;OR11L1;OR5W2;OR6Y1;OR51Q1;OR52B4;OR5B12;OR5AP2;OR52B2;OR4D6;OR5B17;OR4D5;OR52B6;OR4D1;OR5F1;OR1N2;OR1N1;OR10Z1;OR52R1;OR4A15;OR4C3;OR3A2;OR14A2;OR3A1;OR8K5;OR8K3;OR10H3;OR8K1;OR10H2;OR10H5;OR10H4;OR1M1;OR4S1;OR2AG1;OR5AN1;OR4C46;OR8J3;OR6F1;OR8J1;OR10G2;OR10G4;OR10G3;OR1L4;OR1L3;OR1L1;OR5T3;OR5T2;OR6V1;OR10X1;OR10G6;OR10G8;OR4A5;OR10G9;OR7G3;OR1C1;OR5K4;OR5K3;OR5K2;OR51D1;OR5K1;OR6M1;OR2T10;OR2T11;OR52W1;OR5H15;OR1S2;OR5H14;OR1S1;OR13D1;OR2D3;OR1B1;OR2D2;OR14C36;OR5J2;OR52E2;OR2T8;OR2T6;OR2T5;OR2T4;OR13C9;OR13C8;OR2T1;OR4X2;OR4X1;OR5AC2;OR9A4;OR9A2;OR52E8;OR52E6;OR13C3;OR13C2;OR13C5;OR13C4;OR2C3;OR1A2;OR6K6;OR2C1;OR51B2;OR5AR1;OR5I1;OR6K2;OR52D1;OR9Q2;OR2S2;OR1Q1;OR2AK2;OR51S1;OR51B6;OR4A47;OR4F6;OR2B3;OR4F5;OR2B2;OR4F4;OR4F3;OR5H2;OR5B21;OR2AJ1;OR51A4;OR51A2;OR2A5;OR7E24;OR2A2;OR7A10;OR52J3;OR11H12;OR13H1;OR1G1;OR4M2;OR10AG1;OR6Q1;OR8U1;OR56B1;OR2Y1;CNGA2;OR8D2;OR56B4;OR8D1;OR7A17;OR51G2;OR6C70;OR51G1;OR6C76;OR6C75;OR6C74;OR14I1;OR2H1;OR4L1;OR10Q1;OR6P1;OR10A7;OR56A5;OR2B11;OR2AP1;OR10A2;OR10A4;OR56A4;OR10A3;OR10A6;OR10A5;OR51F2;OR5M9;OR51F1;OR5M8;OR6C65;OR4K5;OR1E2;OR2G3;OR1E1;OR2G2;OR4K2;OR5M3;OR4K1;OR5M1;OR8S1;OR2T34;OR2T35;OR2T33;OR8B8;OR2W1;OR4F29;OR8B4;OR13F1;OR6C68;OR12D3;OR8B2;OR12D2;OR4F21;OR1D5;OR2T27;OR5L2;OR6N2;OR5L1;OR51V1;OR4F16;OR4F15;OR2V2;OR11A1
KEGG_2019_Human	Taste transduction	20/83	1.373080e-07	1.242638e-05	0	0	4.810567e+00	7.601195e+01	TAS2R60;TAS2R7;TAS2R9;TAS2R40;TAS2R8;TAS2R41;TAS2R30;TAS2R42;TAS2R10;TAS2R13;TAS2R46;HTR1A;HTR3D;TAS2R16;TAS2R38;TAS2R39;TAS2R19;PRKACG;TAS1R2;TAS2R3
KEGG_2019_Human	JAK-STAT signaling pathway	29/162	2.689499e-07	1.622664e-05	0	0	3.315925e+00	5.016576e+01	IFNA5;IL21;IL22;IFNA4;IFNA7;IFNA6;IFNA1;CSH2;CSH1;CSF2RA;IFNA8;IL22RA2;IFNL2;IFNA21;IFNA13;IFNA14;IFNA16;IFNA17;IL13;IFNW1;IL4;IL3;GH1;IFNE;IL3RA;IFNK;IL9R;IFNA10;CRLF2
KEGG_2019_Human	Autoimmune thyroid disease	13/53	1.717674e-05	7.772477e-04	0	0	4.903044e+00	5.379598e+01	IFNA5;IFNA4;IFNA7;IFNA13;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IL4;IFNA10;IFNA21
KEGG_2019_Human	RIG-I-like receptor signaling pathway	15/70	2.278613e-05	8.248581e-04	0	0	4.117785e+00	4.401648e+01	IFNA5;IFNA4;IFNA7;IFNA13;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNW1;IFNE;IFNK;IFNA10;IFNA21
KEGG_2019_Human	Cytokine-cytokine receptor interaction	37/294	4.138879e-05	1.248562e-03	0	0	2.189132e+00	2.209381e+01	IFNA5;IL21;IL22;IFNA4;IFNA7;IFNA6;IFNA1;IL25;CSH2;CSH1;IFNA8;CSF2RA;BMP15;IFNL2;IL36A;IFNA21;CCL25;IFNA13;IL31;IFNA14;IFNA16;IFNA17;IL13;IL36G;IFNW1;IL1F10;IL4;IL3;GH1;IFNE;IL3RA;IFNK;IL17F;IL9R;CRLF2;IL17A;IFNA10
KEGG_2019_Human	Cytosolic DNA-sensing pathway	12/63	4.708619e-04	1.217514e-02	0	0	3.544769e+00	2.715629e+01	IFNA5;IFNA4;IFNA7;IFNA13;IFNA6;IFNA14;IFNA1;IFNA16;IFNA17;IFNA8;IFNA10;IFNA21
KEGG_2019_Human	Toll-like receptor signaling pathway	12/104	2.933588e-02	6.637244e-01	0	0	1.960726e+00	6.919292e+00	IFNA5;IFNA4;IFNA13;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;IFNA10;IFNA21
KEGG_2019_Human	Hepatitis C	15/155	6.217793e-02	9.999950e-01	0	0	1.610345e+00	4.473144e+00	IFNA5;IFNA4;IFNA13;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;CLDN25;CLDN24;CLDN17;IFNA10;IFNA21
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	13/131	6.715925e-02	9.999950e-01	0	0	1.655119e+00	4.469961e+00	IFNA5;IFNA4;IFNA13;IFNA7;IFNA14;IFNA6;IFNA1;IFNA16;IFNA17;IFNA8;PPP3R2;IFNA10;IFNA21
