	sample	perc_supp
0	heart	80.3990471922832
0	mcf7	91.712339292117
0	hl60_m2_12hr	83.98515179636749
0	huvec	91.74613030558389
0	vessels	82.71639911866541
0	hl60_m1_12hr	84.60874422383588
0	hl60	88.86417631299601
0	a673	89.30777760177412
0	h9_chondro	91.71939593351894
0	panc1	86.98936560322699
0	ovary	85.37780588049321
0	colon	83.72713527615547
0	h9_osteocyte	87.95247167351849
0	wtc11	91.71411447407851
0	brain	83.8802478502782
0	liver	89.04923599320882
0	h9	89.58738989337041
0	adipose	89.20166128287956
0	k562	84.8081968375523
0	pgp1_astro	91.41046902240933
0	gm12878	82.13455599070271
0	hffc6	85.1905558654025
0	calu3	92.33585318309323
0	pgp1_excite_neuron	85.59595473151938
0	lung	80.17469560614082
0	brain_ad	86.24184413605802
0	pc9	92.51981428504432
0	hepg2	86.45252922539058
0	ocily7	85.53562736361253
0	pc3	90.64348942806035
0	hl60_m1_72hr	89.44806823883592
0	hl60_m2_24hr	82.41353593735434
0	hl60_m2_72hr	89.01604222187386
0	h9_panc_progen	84.341455103084
0	caco2	89.27433628318585
0	imr90	89.11344537815125
0	muscle	90.82446195677221
0	pgp1	86.6541521408778
0	hl60_m0	88.97743021183923
0	kidney	87.36142778520323
0	hmec	91.38677744387485
0	h1_de	87.48429091612154
0	mcf10a	92.18348623853211
0	h9_de	89.18410041841004
0	adrenal_gland	87.78401884399346
0	h9_panc_beta	88.13085882018748
0	h9_neural_crest	83.5553128019831
0	hl60_m1_24hr	83.0260530348767
0	hct116	87.37152937567112
0	pgp1_endo	87.5729176628096
0	h1	88.44224535062276
