	gids_list	screw up? 	human annotated locus number	notes	
121	ENSG00000285845	no	1		
121	ENSG00000285988	no	1		
121	ENSG00000285743	no	1		
153	ENSG00000284906	yes	2	"TALONT000244006, TALON001202150 should be from ENSG00000284906"	actually maybe is ok?
153	ENSG00000285077	yes	2		
153	ENSG00000187951	yes	2		
159	ENSG00000255639	no	3		
159	ENSG00000272921	no	3		
174	ENSG00000196204	no	4		
174	ENSG00000272968	no	4		
543	ENSG00000256966	no	5		
543	ENSG00000255872	no	6		
556	ENSG00000262302	no	7		
556	ENSG00000262526	no	7		
577	ENSG00000284116	no	8		
577	ENSG00000204837	no	8		
604	ENSG00000279458	no	9		
604	ENSG00000285402	no	9		
645	ENSG00000262880	no	10		
645	ENSG00000272884	no	10		
671	ENSG00000277957	no	11		
671	ENSG00000264772	no	11		
706	ENSG00000284634	no	12		
706	ENSG00000272917	no	12		
753	ENSG00000263212	no	13		
753	ENSG00000285329	no	13		
766	ENSG00000275778	yes	14	TALONT000411570 should be from PRH1 maybe?	
766	ENSG00000231887	yes	14		
808	ENSG00000254959	no	15		
808	ENSG00000250424	no	15		
859	ENSG00000235288	no	16		
859	ENSG00000280571	no	17		
916	ENSG00000259024	yes	18	TALONT000447845 should be from TVP23C	
916	ENSG00000239704	yes	18		
946	ENSG00000214783	yes	19	Everything is screwed up 	
946	ENSG00000273432	yes	19		
949	ENSG00000285596	yes	19		
1034	ENSG00000254692	no	20		
1034	ENSG00000259522	no	20		
1043	ENSG00000260669	no	20		
1055	ENSG00000255526	no	20		
1219	ENSG00000167807	yes	21	Several AC011511.1s should be FDX2s	
1219	ENSG00000267303	no	22		
1350	ENSG00000269590	no	23		
1350	ENSG00000269242	no	23		
1417	ENSG00000285589	yes	24	A bunch of AC010422.8s should be DHPSs	
1531	ENSG00000280893	no	25		
1531	ENSG00000281348	no	25		
1541	ENSG00000273345	no	26		
1541	ENSG00000272772	no	26		
1730	ENSG00000248592	maybe ok?	27		
1730	ENSG00000243696	maybe ok?	27		
1732	ENSG00000164162	no	28		
1732	ENSG00000285713	no	28		
1752	ENSG00000285772	no	29		
1752	ENSG00000285953	no	29		
1772	ENSG00000282034	yes	30	This is Tim's locus	
1772	ENSG00000260899	yes	30		
2001	ENSG00000285725	no	31		
2001	ENSG00000284707				
2053	ENSG00000106246				
2053	ENSG00000248919				
2062	ENSG00000260836				
2062	ENSG00000284803				
2196	ENSG00000275674				
2196	ENSG00000261147				
2269	ENSG00000168255				
2269	ENSG00000270249				
2276	ENSG00000205236				
2281	ENSG00000267645				
2398	ENSG00000272679				
2398	ENSG00000273066				
2551	ENSG00000241962				
2551	ENSG00000273155				
2557	ENSG00000260371				
2557	ENSG00000259900				
2675	ENSG00000284337				
2675	ENSG00000283684				
2695	ENSG00000273471				
2695	ENSG00000257207				
2716	ENSG00000259992				
2716	ENSG00000260092				
2753	ENSG00000260643				
2753	ENSG00000284512				
2780	ENSG00000268975				
2780	ENSG00000171570				
2785	ENSG00000268797				
3120	ENSG00000259040				
3120	ENSG00000265818				
3191	ENSG00000285791				
3191	ENSG00000285655				
3616	ENSG00000274874				
3616	ENSG00000178882				
3657	ENSG00000269533				
3657	ENSG00000268533				
3707	ENSG00000267216				
3707	ENSG00000283515				
3852	ENSG00000280148				
3852	ENSG00000257065				
3904	ENSG00000273154				
3904	ENSG00000203896				
3904	ENSG00000273047				
3932	ENSG00000285641				
3932	ENSG00000285779				
