Name	known	gene_id	n_ss	rank	rt_gene	annot_transcript_id_x	transcript_novelty	gene_novelty	n_genes	gene_ids	n_genes_no_rt	gene_ids_no_rt	gid	annot_transcript_id_y
TALONT000930071	True	ENSG00000116783	41	2	False	TALONT000930071	NIC	Known	2	ENSG00000259030,ENSG00000116783	1.0	ENSG00000116783	ENSG00000259030	TALONT000930071
TALONT000303567	True	ENSG00000243708	37	2	False	TALONT000303567	ISM	Known	2	ENSG00000168970,ENSG00000243708	1.0	ENSG00000243708	ENSG00000168970	TALONT000303567
TALONT001372970	True	ENSG00000205560	36	2	False	TALONT001372970	ISM	Known	2	ENSG00000254413,ENSG00000205560	1.0	ENSG00000205560	ENSG00000254413	TALONT001372970
TALONT000930083	True	ENSG00000116783	36	1	False	TALONT000930083	ISM	Known	2	ENSG00000116783,ENSG00000259030	1.0	ENSG00000116783	ENSG00000259030	TALONT000930083
TALONT001699259	True	ENSG00000116783	34	1	False	TALONT001699259	NIC	Known	2	ENSG00000116783,ENSG00000259030	1.0	ENSG00000116783	ENSG00000259030	TALONT001699259
TALONT000930061	True	ENSG00000116783	34	1	False	TALONT000930061	NIC	Known	2	ENSG00000116783,ENSG00000259030	1.0	ENSG00000116783	ENSG00000259030	TALONT000930061
TALONT001699272	True	ENSG00000116783	33	1	False	TALONT001699272	NIC	Known	2	ENSG00000116783,ENSG00000259030	1.0	ENSG00000116783	ENSG00000259030	TALONT001699272
TALONT000550296	True	ENSG00000188603	28	1	False	TALONT000550296	NIC	Known	2	ENSG00000188603,ENSG00000261832	1.0	ENSG00000188603	ENSG00000261832	TALONT000550296
TALONT001223369	True	ENSG00000130234	28	1	False	TALONT001223369	ISM	Known	2	ENSG00000130234,ENSG00000285602	1.0	ENSG00000130234	ENSG00000285602	TALONT001223369
TALONT001652026	True	ENSG00000106069	28	1	False	TALONT001652026	NIC	Known	2	ENSG00000106069,ENSG00000285162	1.0	ENSG00000106069	ENSG00000285162	TALONT001652026
TALONT001652032	True	ENSG00000106069	28	1	False	TALONT001652032	NIC	Known	2	ENSG00000106069,ENSG00000285162	1.0	ENSG00000106069	ENSG00000285162	TALONT001652032
TALONT000989251	True	ENSG00000215837	27	2	False	TALONT000989251	NIC	Known	2	ENSG00000242086,ENSG00000215837	1.0	ENSG00000215837	ENSG00000242086	TALONT000989251
TALONT000410848	True	ENSG00000263155	26	1	False	TALONT000410848	NIC	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000410848
TALONT000989737	True	ENSG00000215837	26	2	False	TALONT000989737	NIC	Known	2	ENSG00000215837,ENSG00000242086	1.0	ENSG00000215837	ENSG00000242086	TALONT000989737
TALONT000408157	True	ENSG00000263155	26	1	False	TALONT000408157	NIC	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000408157
TALONT000410780	True	ENSG00000263155	24	1	False	TALONT000410780	ISM	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000410780
TALONT001107144	True	ENSG00000215440	24	1	False	TALONT001107144	ISM	Known	2	ENSG00000215440,ENSG00000254995	1.0	ENSG00000215440	ENSG00000254995	TALONT001107144
TALONT001313613	True	ENSG00000263155	23	2	False	TALONT001313613	NNC	Known	2	ENSG00000137878,ENSG00000263155	1.0	ENSG00000263155	ENSG00000137878	TALONT001313613
TALONT000983329	True	ENSG00000156875	22	2	False	TALONT000983329	ISM	Known	2	ENSG00000283761,ENSG00000156875	1.0	ENSG00000156875	ENSG00000283761	TALONT000983329
TALONT000553908	True	ENSG00000239900	22	1	False	TALONT000553908	ISM	Known	2	ENSG00000239900,ENSG00000284431	1.0	ENSG00000239900	ENSG00000284431	TALONT000553908
TALONT000408465	True	ENSG00000263155	22	1	False	TALONT000408465	NIC	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000408465
TALONT000408321	True	ENSG00000263155	22	2	False	TALONT000408321	NIC	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000408321
TALONT000408133	True	ENSG00000263155	22	2	False	TALONT000408133	ISM	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000408133
TALONT000408184	True	ENSG00000263155	22	2	False	TALONT000408184	NIC	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000408184
TALONT002262246	True	ENSG00000234231	22	2	False	TALONT002262246	ISM	Known	2	ENSG00000284879,ENSG00000234231	1.0	ENSG00000234231	ENSG00000284879	TALONT002262246
TALONT000410905	True	ENSG00000263155	22	2	False	TALONT000410905	ISM	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000410905
TALONT001107245	True	ENSG00000215440	22	2	False	TALONT001107245	ISM	Known	2	ENSG00000215440,ENSG00000254995	1.0	ENSG00000215440	ENSG00000254995	TALONT001107245
TALONT000271619	True	ENSG00000083454	22	2	False	TALONT000271619	ISM	Known	2	ENSG00000083454,ENSG00000257950	1.0	ENSG00000083454	ENSG00000257950	TALONT000271619
TALONT002262242	True	ENSG00000234231	21	2	False	TALONT002262242	ISM	Known	2	ENSG00000284879,ENSG00000234231	1.0	ENSG00000234231	ENSG00000284879	TALONT002262242
TALONT002452026	True	ENSG00000156875	21	1	False	TALONT002452026	ISM	Known	2	ENSG00000156875,ENSG00000283761	1.0	ENSG00000156875	ENSG00000283761	TALONT002452026
TALONT001914882	True	ENSG00000092529	20	1	False	TALONT001914882	ISM	Known	2	ENSG00000092529,ENSG00000258461	1.0	ENSG00000092529	ENSG00000258461	TALONT001914882
TALONT000983339	True	ENSG00000156875	20	1	False	TALONT000983339	NIC	Known	2	ENSG00000156875,ENSG00000283761	1.0	ENSG00000156875	ENSG00000283761	TALONT000983339
TALONT000410916	True	ENSG00000263155	20	2	False	TALONT000410916	ISM	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000410916
TALONT000410797	True	ENSG00000263155	19	2	False	TALONT000410797	NIC	Known	2	ENSG00000137878,ENSG00000263155	1.0	ENSG00000263155	ENSG00000137878	TALONT000410797
TALONT000637494	True	ENSG00000156873	18	1	False	TALONT000637494	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637494
TALONT000643354	True	ENSG00000100288	18	1	False	TALONT000643354	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643354
TALONT000643313	True	ENSG00000100288	18	1	False	TALONT000643313	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643313
TALONT000466190	True	ENSG00000213928	18	1	False	TALONT000466190	ISM	Known	2	ENSG00000213928,ENSG00000259529	1.0	ENSG00000213928	ENSG00000259529	TALONT000466190
TALONT000410927	True	ENSG00000263155	18	1	False	TALONT000410927	ISM	Known	2	ENSG00000263155,ENSG00000137878	1.0	ENSG00000263155	ENSG00000137878	TALONT000410927
TALONT000948748	True	ENSG00000254772	17	2	False	TALONT000948748	ISM	Known	2	ENSG00000255508,ENSG00000254772	1.0	ENSG00000254772	ENSG00000255508	TALONT000948748
TALONT000410934	True	ENSG00000263155	16	1	False	TALONT000410934	ISM	Known	2	ENSG00000137878,ENSG00000263155	1.0	ENSG00000263155	ENSG00000137878	TALONT000410934
TALONT000637792	True	ENSG00000156873	16	1	False	TALONT000637792	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637792
TALONT000637511	True	ENSG00000156873	16	1	False	TALONT000637511	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637511
TALONT000637508	True	ENSG00000156873	16	1	False	TALONT000637508	NIC	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637508
TALONT000638355	True	ENSG00000156873	16	1	False	TALONT000638355	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000638355
TALONT000347527	True	ENSG00000184702	16	1	False	TALONT000347527	NIC	Known	2	ENSG00000184702,ENSG00000284874	1.0	ENSG00000184702	ENSG00000284874	TALONT000347527
TALONT000560544	True	ENSG00000095059	16	1	False	TALONT000560544	NIC	Known	2	ENSG00000095059,ENSG00000285589	1.0	ENSG00000095059	ENSG00000285589	TALONT000560544
TALONT000560879	True	ENSG00000095059	16	1	False	TALONT000560879	NIC	Known	2	ENSG00000095059,ENSG00000285589	1.0	ENSG00000095059	ENSG00000285589	TALONT000560879
TALONT000643268	True	ENSG00000100288	16	1	False	TALONT000643268	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643268
TALONT000643341	True	ENSG00000100288	16	1	False	TALONT000643341	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643341
TALONT000643252	True	ENSG00000100288	16	1	False	TALONT000643252	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643252
TALONT000560145	True	ENSG00000095059	16	1	False	TALONT000560145	ISM	Known	2	ENSG00000095059,ENSG00000285589	1.0	ENSG00000095059	ENSG00000285589	TALONT000560145
TALONT000466988	True	ENSG00000213928	15	2	False	TALONT000466988	NNC	Known	2	ENSG00000213928,ENSG00000259529	1.0	ENSG00000213928	ENSG00000259529	TALONT000466988
TALONT000636819	True	ENSG00000014919	15	1	False	TALONT000636819	ISM	Known	2	ENSG00000014919,ENSG00000285932	1.0	ENSG00000014919	ENSG00000285932	TALONT000636819
TALONT001003889	True	ENSG00000268500	15	2	False	TALONT001003889	ISM	Known	2	ENSG00000105501,ENSG00000268500	1.0	ENSG00000268500	ENSG00000105501	TALONT001003889
TALONT000637497	True	ENSG00000156873	15	1	False	TALONT000637497	ISM	Known	2	ENSG00000156873,ENSG00000260899	1.0	ENSG00000156873	ENSG00000260899	TALONT000637497
TALONT000347957	True	ENSG00000184702	14	1	False	TALONT000347957	ISM	Known	2	ENSG00000284874,ENSG00000184702	1.0	ENSG00000184702	ENSG00000284874	TALONT000347957
TALONT000410941	True	ENSG00000263155	14	1	False	TALONT000410941	ISM	Known	2	ENSG00000137878,ENSG00000263155	1.0	ENSG00000263155	ENSG00000137878	TALONT000410941
TALONT000560160	True	ENSG00000095059	14	1	False	TALONT000560160	NIC	Known	2	ENSG00000095059,ENSG00000285589	1.0	ENSG00000095059	ENSG00000285589	TALONT000560160
TALONT000560912	True	ENSG00000095059	14	1	False	TALONT000560912	NIC	Known	2	ENSG00000285589,ENSG00000095059	1.0	ENSG00000095059	ENSG00000285589	TALONT000560912
TALONT000965659	True	ENSG00000214753	14	1	False	TALONT000965659	ISM	Known	2	ENSG00000214753,ENSG00000234857	1.0	ENSG00000214753	ENSG00000234857	TALONT000965659
TALONT000643249	True	ENSG00000100288	14	1	False	TALONT000643249	ISM	Known	2	ENSG00000100288,ENSG00000254413	1.0	ENSG00000100288	ENSG00000254413	TALONT000643249
TALONT000467068	True	ENSG00000213928	14	2	False	TALONT000467068	ISM	Known	2	ENSG00000213928,ENSG00000259529	1.0	ENSG00000213928	ENSG00000259529	TALONT000467068
TALONT000466506	True	ENSG00000213928	14	2	False	TALONT000466506	NIC	Known	2	ENSG00000213928,ENSG00000259529	1.0	ENSG00000213928	ENSG00000259529	TALONT000466506
