gid	n_total_ss	n_ss	n_rt_ss	perc	perc_rt	Name	does It need fix	diff
ENSG00000259030	42	41	41	97.61904761904762	97.61904761904762	TALONT000930071	needs fixing	0
ENSG00000168970	38	37	38	97.36842105263158	100	TALONT000303567	needs fixing	-2.631578947
ENSG00000254413	38	36	37	94.73684210526315	97.36842105263158	TALONT001372970	does not need fixing	-2.631578947
ENSG00000259030	36	36	35	100	97.22222222222221	TALONT000930083	needs fixing	2.777777778
ENSG00000259030	34	34	32	100	94.11764705882352	TALONT001699259	does not need fixing	5.882352941
ENSG00000259030	34	34	32	100	94.11764705882352	TALONT000930061	does not need fixing	5.882352941
ENSG00000259030	34	33	32	97.05882352941177	94.11764705882352	TALONT001699272	does not need fixing	2.941176471
ENSG00000261832	28	28	28	100	100	TALONT000550296	needs fixing	0
ENSG00000285602	28	28	28	100	100	TALONT001223369	needs fixing	0
ENSG00000285162	28	28	26	100	92.85714285714286	TALONT001652026	does not need fixing	7.142857143
ENSG00000285162	30	28	26	93.33333333333333	86.66666666666667	TALONT001652032	does not need fixing	6.666666667
ENSG00000242086	28	27	28	96.42857142857143	100	TALONT000989251	this locus is a lost cause but also looks pretty ok	-3.571428571
ENSG00000137878	26	26	23	100	88.46153846153845	TALONT000410848	this locus is a lost cause but also looks pretty ok	11.53846154
ENSG00000242086	26	26	26	100	100	TALONT000989737	this locus is a lost cause but also looks pretty ok	0
ENSG00000137878	26	26	24	100	92.30769231	TALONT000408157	this locus is a lost cause but also looks pretty ok	7.692307692
ENSG00000137878	24	24	23	100	95.83333333333334	TALONT000410780	this locus is a lost cause but also looks pretty ok	4.166666667
ENSG00000254995	24	24	23	100	95.83333333333334	TALONT001107144	needs fixing	4.166666667
ENSG00000137878	24	23	23	95.83333333333334	95.83333333333334	TALONT001313613	this locus is a lost cause but also looks pretty ok	0
ENSG00000283761	24	22	23	91.66666666666666	95.83333333333334	TALONT000983329	needs fixing	-4.166666667
ENSG00000284431	22	22	18	100	81.81818181818183	TALONT000553908	needs fixing	18.18181818
ENSG00000137878	22	22	22	100	100	TALONT000408465	this locus is a lost cause but also looks pretty ok	0
ENSG00000137878	22	22	22	100	100	TALONT000408321	this locus is a lost cause but also looks pretty ok	0
ENSG00000137878	22	22	22	100	100	TALONT000408133	this locus is a lost cause but also looks pretty ok	0
ENSG00000137878	22	22	22	100	100	TALONT000408184	this locus is a lost cause but also looks pretty ok	0
ENSG00000284879	24	22	24	91.66666666666666	100	TALONT002262246	needs fixing	-8.333333333
ENSG00000137878	22	22	22	100	100	TALONT000410905	this locus is a lost cause but also looks pretty ok	0
ENSG00000254995	22	22	22	100	100	TALONT001107245	needs fixing	0
ENSG00000257950	22	22	22	100	100	TALONT000271619	needs fixing	0
ENSG00000284879	24	21	24	87.5	100	TALONT002262242	needs fixing	-12.5
ENSG00000283761	22	21	21	95.45454545454545	95.45454545454545	TALONT002452026	needs fixing	0
ENSG00000258461	20	20	19	100	95	TALONT001914882	needs fixing	5
ENSG00000283761	20	20	19	100	95	TALONT000983339	needs fixing	5
ENSG00000137878	20	20	20	100	100	TALONT000410916	this locus is a lost cause but also looks pretty ok	0
ENSG00000137878	20	19	19	95	95	TALONT000410797	this locus is a lost cause but also looks pretty ok	0
ENSG00000260899	18	18	4	100	22.22222222222222	TALONT000637494	needs fixing	77.77777778
ENSG00000254413	18	18	13	100	72.22222222222221	TALONT000643354	needs fixing	27.77777778
ENSG00000254413	18	18	14	100	77.77777777777779	TALONT000643313	needs fixing	22.22222222
ENSG00000259529	18	18	16	100	88.88888888888889	TALONT000466190	needs fixing	11.11111111
ENSG00000137878	18	18	18	100	100	TALONT000410927	this locus is a lost cause but also looks pretty ok	0
ENSG00000255508	18	17	18	94.44444444444444	100	TALONT000948748	could go either way	-5.555555556
ENSG00000137878	16	16	16	100	100	TALONT000410934	this locus is a lost cause but also looks pretty ok	0
ENSG00000260899	16	16	4	100	25	TALONT000637792	needs fixing	75
ENSG00000260899	16	16	4	100	25	TALONT000637511	needs fixing	75
ENSG00000260899	16	16	4	100	25	TALONT000637508	needs fixing	75
ENSG00000260899	16	16	2	100	12.5	TALONT000638355	needs fixing	87.5
ENSG00000284874	16	16	16	100	100	TALONT000347527	does not need fixing	0
ENSG00000285589	16	16	15	100	93.75	TALONT000560544	needs fixing	6.25
ENSG00000285589	16	16	14	100	87.5	TALONT000560879	needs fixing	12.5
ENSG00000254413	16	16	13	100	81.25	TALONT000643268	needs fixing	18.75
ENSG00000254413	16	16	12	100	75	TALONT000643341	needs fixing	25
ENSG00000254413	16	16	14	100	87.5	TALONT000643252	needs fixing	12.5
ENSG00000285589	16	16	14	100	87.5	TALONT000560145	needs fixing	12.5
ENSG00000259529	16	15	15	93.75	93.75	TALONT000466988	needs fixing	0
ENSG00000285932	16	15	14	93.75	87.5	TALONT000636819	doesn't need fixing	6.25
ENSG00000105501	16	15	16	93.75	100	TALONT001003889	doesn't need fixing	-6.25
ENSG00000260899	16	15	4	93.75	25	TALONT000637497	needs fixing	68.75
ENSG00000284874	14	14	14	100	100	TALONT000347957	doesn't need fixing	0
ENSG00000137878	14	14	14	100	100	TALONT000410941	this locus is a lost cause but also looks pretty ok	0
ENSG00000285589	14	14	12	100	85.71428571428571	TALONT000560160	needs fixing	14.28571429
ENSG00000285589	14	14	14	100	100	TALONT000560912		0
ENSG00000234857	14	14	14	100	100	TALONT000965659		0
ENSG00000254413	14	14	13	100	92.85714285714286	TALONT000643249	needs fixing	7.142857143
ENSG00000259529	14	14	14	100	100	TALONT000467068		0
ENSG00000259529	14	14	14	100	100	TALONT000466506		0
ENSG00000064489	14	14	13	100	92.85714285714286	TALONT002800029		7.142857143
ENSG00000120948	14	14	14	100	100	TALONT000431066		0
ENSG00000260899	14	14	4	100	28.57142857142857	TALONT000637495		71.42857143
ENSG00000064489	14	14	13	100	92.85714285714286	TALONT004125006		7.142857143
ENSG00000261408	14	13	13	92.85714285714286	92.85714285714286	TALONT000988203		0
ENSG00000213599	12	12	12	100	100	TALONT000628587		0
ENSG00000273154	20	12	18	60	90	TALONT001116868		-30
ENSG00000273154	20	12	8	60	40	TALONT001116868		20
ENSG00000273154	20	12	2	60	10	TALONT001116868		50
ENSG00000273154	12	12	9	100	75	TALONT001116827		25
ENSG00000257524	12	12	11	100	91.66666666666666	TALONT000648661		8.333333333
ENSG00000257524	12	12	11	100	91.66666666666666	TALONT000648534		8.333333333
ENSG00000257524	12	12	11	100	91.66666666666666	TALONT000648539		8.333333333
ENSG00000168970	12	12	12	100	100	TALONT000302825		0
ENSG00000272752	12	12	12	100	100	TALONT000689905		0
ENSG00000259529	12	12	12	100	100	TALONT000466371		0
ENSG00000257524	12	12	12	100	100	TALONT001622147		0
ENSG00000267120	12	12	9	100	75	TALONT000757499		25
ENSG00000285589	12	12	12	100	100	TALONT000560249		0
ENSG00000258388	12	12	12	100	100	TALONT000950767		0
ENSG00000120948	12	12	12	100	100	TALONT000431076		0
ENSG00000120948	12	12	12	100	100	TALONT000431260		0
ENSG00000259024	16	12	16	75	100	TALONT000446694		-25
ENSG00000259024	16	12	4	75	25	TALONT000446694		50
ENSG00000259024	14	12	14	85.71428571428571	100	TALONT000446720		-14.28571429
ENSG00000259024	14	12	2	85.71428571428571	14.285714285714285	TALONT000446720		71.42857143
ENSG00000259024	12	12	12	100	100	TALONT000447845		0
ENSG00000260280	12	12	12	100	100	TALONT000580383		0
ENSG00000257069	12	12	12	100	100	TALONT000983726		0
ENSG00000257390	12	12	10	100	83.33333333333334	TALONT000737658		16.66666667
ENSG00000283154	14	11	14	78.57142857142857	100	TALONT000902203		-21.42857143
ENSG00000120948	12	11	12	91.66666666666666	100	TALONT000431147		-8.333333333
ENSG00000283154	14	11	14	78.57142857142857	100	TALONT000902302		-21.42857143
ENSG00000283154	14	11	13	78.57142857142857	92.85714285714286	TALONT000902091		-14.28571429
ENSG00000257524	12	11	11	91.66666666666666	91.66666666666666	TALONT000647810		0
ENSG00000283154	14	11	14	78.57142857142857	100	TALONT000902232		-21.42857143
ENSG00000283154	14	11	14	78.57142857142857	100	TALONT000902227		-21.42857143
ENSG00000283154	12	11	12	91.66666666666666	100	TALONT000902318		-8.333333333
ENSG00000283154	12	11	12	91.66666666666666	100	TALONT000902321		-8.333333333
ENSG00000259024	12	11	12	91.66666666666666	100	TALONT000446832		-8.333333333
ENSG00000259024	12	11	1	91.66666666666666	8.333333333333332	TALONT000446832		83.33333333
ENSG00000259024	14	11	14	78.57142857142857	100	TALONT000446670		-21.42857143
ENSG00000259024	14	11	3	78.57142857142857	21.428571428571427	TALONT000446670		57.14285714
ENSG00000257524	12	11	12	91.66666666666666	100	TALONT000647086		-8.333333333
ENSG00000285641	10	10	6	100	60	TALONT001122495		40
ENSG00000285641	10	10	2	100	20	TALONT001122495		80
ENSG00000273154	10	10	10	100	100	TALONT001116925		0
ENSG00000262304	10	10	10	100	100	TALONT000268735		0
ENSG00000259024	14	10	14	71.42857142857143	100	TALONT000446706		-28.57142857
ENSG00000259024	14	10	4	71.42857142857143	28.57142857142857	TALONT000446706		42.85714286
ENSG00000064489	10	10	10	100	100	TALONT002277371		0
ENSG00000285589	10	10	10	100	100	TALONT000560239		0
ENSG00000120948	12	10	12	83.33333333333334	100	TALONT000431769		-16.66666667
ENSG00000257524	10	10	9	100	90	TALONT001622087		10
ENSG00000257524	10	10	9	100	90	TALONT001622089		10
ENSG00000257069	10	10	10	100	100	TALONT001701586		0
ENSG00000215481	12	10	9	83.33333333333334	75	TALONT000392415		8.333333333
ENSG00000276418	12	10	8	83.33333333333334	66.66666666666666	TALONT000948969		16.66666667
ENSG00000257524	12	10	11	83.33333333333334	91.66666666666666	TALONT000648625		-8.333333333
ENSG00000257524	12	10	11	83.33333333333334	91.66666666666666	TALONT000648921		-8.333333333
ENSG00000257524	10	10	9	100	90	TALONT000648762		10
ENSG00000257524	10	10	10	100	100	TALONT000648490		0
ENSG00000257524	10	10	10	100	100	TALONT000648473		0
ENSG00000257524	10	10	9	100	90	TALONT000648453		10
ENSG00000257524	12	10	12	83.33333333333334	100	TALONT000648451		-16.66666667
ENSG00000256566	10	10	8	100	80	TALONT001061770		20
ENSG00000266086	10	10	6	100	60	TALONT000874281		40
ENSG00000260899	10	10	4	100	40	TALONT000637622		60
ENSG00000254413	10	10	10	100	100	TALONT000643472		0
ENSG00000248101	10	10	9	100	90	TALONT000761310		10
ENSG00000215481	12	9	9	75	75	TALONT000392510		0
ENSG00000259024	12	9	12	75	100	TALONT000446661		-25
ENSG00000259024	12	9	3	75	25	TALONT000446661		50
ENSG00000267645	10	9	10	90	100	TALONT000716419		-10
ENSG00000267645	10	9	8	90	80	TALONT000716419		10
ENSG00000215481	10	8	8	80	80	TALONT000392434		0
ENSG00000266086	8	8	6	100	75	TALONT000874287		25
ENSG00000266086	8	8	6	100	75	TALONT000874298		25
ENSG00000167807	8	8	7	100	87.5	TALONT000516336		12.5
ENSG00000167807	8	8	2	100	25	TALONT000516336		75
ENSG00000167807	8	8	8	100	100	TALONT000516344		0
ENSG00000167807	8	8	3	100	37.5	TALONT000516344		62.5
ENSG00000120948	8	8	8	100	100	TALONT000431429		0
ENSG00000267645	8	8	7	100	87.5	TALONT002235976		12.5
ENSG00000267645	8	8	7	100	87.5	TALONT002235976		12.5
ENSG00000267552	8	8	7	100	87.5	TALONT000775053		12.5
ENSG00000260669	8	8	8	100	100	TALONT000471602		0
ENSG00000260669	8	8	7	100	87.5	TALONT000471602		12.5
ENSG00000259429	8	8	2	100	25	TALONT000668133		75
ENSG00000272752	8	8	8	100	100	TALONT000689999		0
ENSG00000112096	10	8	9	80	90	TALONT001118671		-10
ENSG00000254413	8	8	8	100	100	TALONT000643557		0
ENSG00000161551	18	8	10	44.44444444444444	55.55555555555556	TALONT001004254		-11.11111111
ENSG00000161551	20	8	12	40	60	TALONT001004192		-20
ENSG00000242086	8	8	8	100	100	TALONT000989199		0
ENSG00000272917	8	7	6	87.5	75	TALONT000397394		12.5
ENSG00000272917	8	7	5	87.5	62.5	TALONT000397394		25
ENSG00000267120	8	7	8	87.5	100	TALONT000756882		-12.5
ENSG00000187951	26	7	19	26.923076923076923	73.07692307692307	TALONT000244006		-46.15384615
ENSG00000187951	26	7	12	26.923076923076923	46.15384615384615	TALONT000244006		-19.23076923
ENSG00000187951	26	7	7	26.923076923076923	26.923076923076923	TALONT000244006		0
ENSG00000112096	8	7	8	87.5	100	TALONT001118783		-12.5
ENSG00000187951	28	7	21	25	75	TALONT001202150		-50
ENSG00000187951	28	7	12	25	42.857142857142854	TALONT001202150		-17.85714286
ENSG00000187951	28	7	7	25	25	TALONT001202150		0
ENSG00000258311	8	6	5	75	62.5	TALONT000732916		12.5
ENSG00000255819	10	6	9	60	90	TALONT003471763		-30
ENSG00000275740	6	6	6	100	100	TALONT000691564		0
ENSG00000254445	8	6	7	75	87.5	TALONT001107701		-12.5
