gene_id	gene_id_known	known	n_ss	transcript_novelty	gene_novelty	n_genes	n_genes_no_rt	Name_supp	n_supp_ss	gene_id_known_rt	Name_supp_rt	n_supp_ss_rt	gid	n_supp_total_ss	n_supp_total_ss_rt	perc_supp_ss	perc_supp_ss_rt	perc_supp_annot_ss	perc_supp_annot_ss_rt	Name	fix_needed	perc_supp_diff
ENSG00000285641.1	ENSG00000143543	TRUE	10	ISM	Known	3	1	ENSG00000143543_6	8	ENSG00000285641	ENSG00000285641_1	6	ENSG00000285641	8	22	80	60	100	27.27272727272727	TALONT001122495	yes	20
ENSG00000120948.17	ENSG00000277726	TRUE	14	NIC	Known	2	1	ENSG00000277726_1	14	ENSG00000120948	ENSG00000120948_10	11	ENSG00000120948	18	14	100	78.57142857142857	77.77777777777779	78.57142857142857	TALONT000431066		21.42857142857143
ENSG00000120948.17	ENSG00000277726	TRUE	12	ISM	Known	2	1	ENSG00000277726_1	12	ENSG00000120948	ENSG00000120948_10	11	ENSG00000120948	18	14	100	91.66666666666666	66.66666666666666	78.57142857142857	TALONT000431076		8.333333333333343
ENSG00000120948.17	ENSG00000277726	TRUE	12	NIC	Known	2	1	ENSG00000277726_1	11	ENSG00000120948	ENSG00000120948_3	11	ENSG00000120948	18	12	91.66666666666666	91.66666666666666	61.111111111111114	91.66666666666666	TALONT000431147		0
ENSG00000120948.17	ENSG00000277726	TRUE	12	NIC	Known	2	1	ENSG00000277726_1	12	ENSG00000120948	ENSG00000120948_2	10	ENSG00000120948	18	10	100	83.33333333333334	66.66666666666666	100	TALONT000431260		16.666666666666657
ENSG00000120948.17	ENSG00000277726	TRUE	8	ISM	Known	2	1	ENSG00000277726_1	8	ENSG00000120948	ENSG00000120948_2	8	ENSG00000120948	18	10	100	100	44.44444444444444	80	TALONT000431429		0
ENSG00000120948.17	ENSG00000277726	TRUE	12	NIC	Known	2	1	ENSG00000277726_1	10	ENSG00000120948	ENSG00000120948_12	10	ENSG00000120948	18	12	83.33333333333334	83.33333333333334	55.55555555555556	83.33333333333334	TALONT000431769		0
ENSG00000120948.17	ENSG00000277726	TRUE	6	ISM	Known	2	1	ENSG00000277726_1	6	ENSG00000120948	ENSG00000120948_5	6	ENSG00000120948	18	10	100	100	33.33333333333333	60	TALONT000433356		0
ENSG00000120948.17	ENSG00000277726	TRUE	4	ISM	Known	2	1	ENSG00000277726_1	4	ENSG00000120948	ENSG00000120948_6	4	ENSG00000120948	18	10	100	100	22.22222222222222	40	TALONT000433367		0
ENSG00000120948.17	ENSG00000277726	TRUE	2	ISM	Known	2	1	ENSG00000277726_2	2	ENSG00000120948	ENSG00000120948_1	2	ENSG00000120948	8	10	100	100	25	20	TALONT000433378		0
