File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF754VXL	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF649JYT/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	46653205	Mats Ljungman, UMichigan	2dfb5599e867f71f3022749bd9fd1f70		https://www.encodeproject.org/files/ENCFF754VXL/@@download/ENCFF754VXL.bigWig				archived	s3://encode-public/2020/09/11/b682c328-eee6-4dad-a03f-84a3fad2263a/ENCFF754VXL.bigWig	Lab custom GRCh38	released			
ENCFF616COD	bigWig	bigWig		minus strand signal of all reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF649JYT/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	47656259	Mats Ljungman, UMichigan	0d19b13cf04303db8a7be9a748936591		https://www.encodeproject.org/files/ENCFF616COD/@@download/ENCFF616COD.bigWig				archived	s3://encode-public/2020/09/11/d5a144a3-2524-450b-a52f-c0597cd5c3c0/ENCFF616COD.bigWig	Lab custom GRCh38	released			
ENCFF329MBE	bigWig	bigWig		plus strand signal of all reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF904TYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	46555837	Mats Ljungman, UMichigan	2de8c28e42ea4f4385329eef6861dac5		https://www.encodeproject.org/files/ENCFF329MBE/@@download/ENCFF329MBE.bigWig				archived	s3://encode-public/2020/09/11/8c3b79ce-7a87-41a3-bee9-c8a76d1334a2/ENCFF329MBE.bigWig	Lab custom GRCh38	released			
ENCFF854EWG	bigWig	bigWig		minus strand signal of all reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF904TYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	44444606	Mats Ljungman, UMichigan	c822cc6124d4e485743a9d685b0fbc45		https://www.encodeproject.org/files/ENCFF854EWG/@@download/ENCFF854EWG.bigWig				archived	s3://encode-public/2020/09/11/a498d169-8147-48f2-85a7-e66914733405/ENCFF854EWG.bigWig	Lab custom GRCh38	released			
ENCFF205NGI	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF904TYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	45345198	Mats Ljungman, UMichigan	fc025874543db211da70e6c7653e1fed		https://www.encodeproject.org/files/ENCFF205NGI/@@download/ENCFF205NGI.bigWig				archived	s3://encode-public/2020/09/11/c3e22953-972f-425e-9f50-7fc3c610b85c/ENCFF205NGI.bigWig	Lab custom GRCh38	released			
ENCFF609RWJ	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF904TYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	43863050	Mats Ljungman, UMichigan	3aa3444282a6763ffe9b7b102b8450cb		https://www.encodeproject.org/files/ENCFF609RWJ/@@download/ENCFF609RWJ.bigWig				archived	s3://encode-public/2020/09/11/a5002538-a82d-4343-9641-5f29ad052927/ENCFF609RWJ.bigWig	Lab custom GRCh38	released			
ENCFF866OIG	bigWig	bigWig		plus strand signal of all reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF649JYT/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	49366302	Mats Ljungman, UMichigan	02f2ccee4c46edb6a48f6e3ae4038eaa		https://www.encodeproject.org/files/ENCFF866OIG/@@download/ENCFF866OIG.bigWig				archived	s3://encode-public/2020/09/11/3727bc5e-d792-4362-b24e-2839bfc6898b/ENCFF866OIG.bigWig	Lab custom GRCh38	released			
ENCFF924MXQ	bigWig	bigWig		plus strand signal of unique reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	2	2_1							/files/ENCFF649JYT/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	48337199	Mats Ljungman, UMichigan	2d532aa8b372ae9fce2f1a0e57aefa69		https://www.encodeproject.org/files/ENCFF924MXQ/@@download/ENCFF924MXQ.bigWig				archived	s3://encode-public/2020/09/11/ccbd6af6-0f68-41f8-803b-4059d99ab713/ENCFF924MXQ.bigWig	Lab custom GRCh38	released			
ENCFF133HHV	bigWig	bigWig		minus strand signal of all reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF904TYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	218958243	Mats Ljungman, UMichigan	7d76841eaf26202c16619ce26dbcbb62		https://www.encodeproject.org/files/ENCFF133HHV/@@download/ENCFF133HHV.bigWig				released	s3://encode-public/2021/09/03/1a0ca3b5-d714-4542-a358-ca5ae1b7664f/ENCFF133HHV.bigWig	Lab custom GRCh38	released			
ENCFF136QBP	bigWig	bigWig		minus strand signal of unique reads	GRCh38	ENCSR797SWY	BruChase-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											RNA					reverse	2021-01-14	ENCODE			400-500	1	1_1							/files/ENCFF904TYN/, /files/ENCFF267BFZ/, /files/ENCFF280LBW/	213658232	Mats Ljungman, UMichigan	c62eb286b251ae9a6a58d336d98b74e1		https://www.encodeproject.org/files/ENCFF136QBP/@@download/ENCFF136QBP.bigWig				released	s3://encode-public/2021/09/03/65621308-b018-4e65-92a8-3f90bbf391e3/ENCFF136QBP.bigWig	Lab custom GRCh38	released			
