File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF260MFS	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJP	CAGE	/human-donors/ENCDO268AAA/	CL:0000312	keratinocyte	primary cell	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF652AUG/, /files/ENCFF031HMZ/	251697	ENCODE Processing Pipeline	4f53172aaf9730ae3b4b8930107a4e20		https://www.encodeproject.org/files/ENCFF260MFS/@@download/ENCFF260MFS.bed.gz	V24			released	s3://encode-public/2016/08/04/bf3fdfca-5318-4845-ad94-45d1cdfba0e4/ENCFF260MFS.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF937UTK	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJX	CAGE	/human-donors/ENCDO000AAG/	EFO:0002779	BJ	cell line	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF092SEN/, /files/ENCFF678SXJ/	212739	ENCODE Processing Pipeline	c32907e67a787c99417e55ef78a00dcb		https://www.encodeproject.org/files/ENCFF937UTK/@@download/ENCFF937UTK.bed.gz	V24			released	s3://encode-public/2016/08/04/0da4036d-f2ea-46cc-bd51-67170a08d527/ENCFF937UTK.bed.gz	ENCODE3 GRCh38 V24	released	low read depth	insufficient read depth	
ENCFF285AYZ	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJG	CAGE	/human-donors/ENCDO341AAA/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											polyadenylated mRNA					forward	2011-03-23	ENCODE		see document	>200	3, 4	3_1, 4_1							/files/ENCFF453IDR/, /files/ENCFF194LGP/	371763	ENCODE Processing Pipeline	a8a1c779db5618e277abd6eb87851b96		https://www.encodeproject.org/files/ENCFF285AYZ/@@download/ENCFF285AYZ.bed.gz	V24			released	s3://encode-public/2016/08/04/f25ef2fc-5df1-4098-b456-8d2ce5ea153b/ENCFF285AYZ.bed.gz	ENCODE3 GRCh38 V24	released			
ENCFF421KBU	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKZ	CAGE	/human-donors/ENCDO147AAA/, /human-donors/ENCDO146AAA/	CL:1000458	melanocyte of skin	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF493PXK/, /files/ENCFF430TQZ/	75786	ENCODE Processing Pipeline	0ac45c4670d2bc6e20a92fc2c6955eda		https://www.encodeproject.org/files/ENCFF421KBU/@@download/ENCFF421KBU.bed.gz	V24			released	s3://encode-public/2016/08/04/258eac20-b21e-45e8-96b0-b8146893555a/ENCFF421KBU.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance	insufficient read depth	
ENCFF738IJU	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJZ	CAGE	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF977YLO/, /files/ENCFF431HAB/	278994	ENCODE Processing Pipeline	387756ceceea3a941c310ac2de3766cf		https://www.encodeproject.org/files/ENCFF738IJU/@@download/ENCFF738IJU.bed.gz	V24			released	s3://encode-public/2016/08/04/0c45ea7c-fcce-45d2-96f2-498bc851e375/ENCFF738IJU.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF853HOH	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKA	CAGE	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					forward	2011-03-23	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF383NVJ/, /files/ENCFF016XXM/	312857	ENCODE Processing Pipeline	89e580116efab345cf567203948fbde8		https://www.encodeproject.org/files/ENCFF853HOH/@@download/ENCFF853HOH.bed.gz	V24			released	s3://encode-public/2016/08/04/fdd9f718-cbac-443d-8e02-da9ce4518c46/ENCFF853HOH.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF085PWK	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJE	CAGE	/human-donors/ENCDO341AAA/	CL:0002618	endothelial cell of umbilical vein	primary cell	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF179TLJ/, /files/ENCFF398SIR/	299806	ENCODE Processing Pipeline	02aacb94e876670c5e9960e8b464a5e4		https://www.encodeproject.org/files/ENCFF085PWK/@@download/ENCFF085PWK.bed.gz	V24			released	s3://encode-public/2016/08/04/fd0ca601-c94f-4019-b204-7833778d70bb/ENCFF085PWK.bed.gz	ENCODE3 GRCh38 V24	released			
ENCFF404TRC	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CLD	CAGE	/human-donors/ENCDO017AAA/, /human-donors/ENCDO118AAA/	CL:0000594	skeletal muscle satellite cell	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF808KKQ/, /files/ENCFF290NNS/	153529	ENCODE Processing Pipeline	ded0fd01f1f43b49a8cb65e39cfa751a		https://www.encodeproject.org/files/ENCFF404TRC/@@download/ENCFF404TRC.bed.gz	V24			released	s3://encode-public/2016/08/04/8b44193d-6194-4695-80d4-0193e1cd57b6/ENCFF404TRC.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF030FPB	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJQ	CAGE	/human-donors/ENCDO268AAA/	CL:0000312	keratinocyte	primary cell	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	3, 4	3_1, 4_1							/files/ENCFF907GNV/, /files/ENCFF737FMZ/	153596	ENCODE Processing Pipeline	f4d82b8bbea158070f7c621a35194cb0		https://www.encodeproject.org/files/ENCFF030FPB/@@download/ENCFF030FPB.bed.gz	V24			released	s3://encode-public/2016/08/04/b4b641a4-157c-436a-a5e8-c686fd26de1d/ENCFF030FPB.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance	insufficient read depth	
ENCFF248UAP	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJI	CAGE	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF487VUX/, /files/ENCFF972FXZ/	270486	ENCODE Processing Pipeline	a72925762837d1972fbe92d55d98f9d8		https://www.encodeproject.org/files/ENCFF248UAP/@@download/ENCFF248UAP.bed.gz	V24			released	s3://encode-public/2016/08/04/175550b9-b902-46a9-9690-9effe0735a31/ENCFF248UAP.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF393PIM	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKS	CAGE	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF563CFJ/, /files/ENCFF011RWC/	291823	ENCODE Processing Pipeline	8734c9531743055310c962d668a4a4c1		https://www.encodeproject.org/files/ENCFF393PIM/@@download/ENCFF393PIM.bed.gz	V24			released	s3://encode-public/2016/08/04/ba787de7-9b87-4a0b-9ec3-2953fd5037a9/ENCFF393PIM.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF868HPA	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CLF	CAGE	/human-donors/ENCDO134AAA/, /human-donors/ENCDO135AAA/	CL:0002540	mesenchymal stem cell of the bone marrow	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF230ELH/, /files/ENCFF439WOS/	4357	ENCODE Processing Pipeline	3fe3fda740679626033b120b225c931c		https://www.encodeproject.org/files/ENCFF868HPA/@@download/ENCFF868HPA.bed.gz	V24			released	s3://encode-public/2016/08/04/85baa4c1-0299-4f8f-a1b4-5c9731df9d5a/ENCFF868HPA.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance		extremely low read depth
ENCFF744XVE	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKP	CAGE	/human-donors/ENCDO122AAA/, /human-donors/ENCDO121AAA/	CL:0002558	fibroblast of villous mesenchyme	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF233MFD/, /files/ENCFF399PNO/	139556	ENCODE Processing Pipeline	1a6c5738ec06857c2215f3f1a8fc8a63		https://www.encodeproject.org/files/ENCFF744XVE/@@download/ENCFF744XVE.bed.gz	V24			released	s3://encode-public/2016/08/04/f960c4e2-ed74-442c-83f0-5e013a8f70a8/ENCFF744XVE.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF038OTF	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJB	CAGE	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA					forward	2011-03-23	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF604PAM/, /files/ENCFF084VUM/	325451	ENCODE Processing Pipeline	9e3cea591493a134a47bea6d853dc310		https://www.encodeproject.org/files/ENCFF038OTF/@@download/ENCFF038OTF.bed.gz	V24			released	s3://encode-public/2016/08/04/5781dd37-3ab7-4693-bc2e-a579d557075f/ENCFF038OTF.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF368QQU	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKC	CAGE	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	3, 4	3_1, 4_1							/files/ENCFF554NVI/, /files/ENCFF217CRP/	239456	ENCODE Processing Pipeline	1566456f5a4bcd66f53041ed95d526a7		https://www.encodeproject.org/files/ENCFF368QQU/@@download/ENCFF368QQU.bed.gz	V24			released	s3://encode-public/2016/08/04/10493464-917f-4290-bb13-c5fec8319887/ENCFF368QQU.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance, low read depth		
ENCFF448BLA	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CJY	CAGE	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					forward	2011-12-22	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF103DEY/, /files/ENCFF260HMC/	286205	ENCODE Processing Pipeline	dc22b5be943c23e8c49d71ad59dae867		https://www.encodeproject.org/files/ENCFF448BLA/@@download/ENCFF448BLA.bed.gz	V24			released	s3://encode-public/2016/09/26/4b98f58a-4428-45cc-825d-4e272cca97c4/ENCFF448BLA.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF417FZC	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKY	CAGE	/human-donors/ENCDO144AAA/, /human-donors/ENCDO145AAA/	CL:1000458	melanocyte of skin	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF007MQG/, /files/ENCFF119ZLJ/	74861	ENCODE Processing Pipeline	2ef6fdddbf797f30a900deaefceb79c4		https://www.encodeproject.org/files/ENCFF417FZC/@@download/ENCFF417FZC.bed.gz	V24			released	s3://encode-public/2016/08/04/eae8a27b-11e4-43ea-963b-a259019b6fd9/ENCFF417FZC.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance, low read depth	insufficient read depth	
ENCFF698TEE	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CLB	CAGE	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	3, 4	3_1, 4_1							/files/ENCFF154GGI/, /files/ENCFF985UWR/	310229	ENCODE Processing Pipeline	7643fadff83abfcffedc617f67cc5c21		https://www.encodeproject.org/files/ENCFF698TEE/@@download/ENCFF698TEE.bed.gz	V24			released	s3://encode-public/2016/08/04/a8b123b8-d868-4815-9108-697fb231e2d2/ENCFF698TEE.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance, low read depth	insufficient read depth	
ENCFF087XOE	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKX	CAGE	/human-donors/ENCDO119AAA/, /human-donors/ENCDO120AAA/	CL:0002551	fibroblast of dermis	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF041XGL/, /files/ENCFF343ZPH/	116136	ENCODE Processing Pipeline	e0657ad371b5aaccbddd48bf494db36d		https://www.encodeproject.org/files/ENCFF087XOE/@@download/ENCFF087XOE.bed.gz	V24			released	s3://encode-public/2016/08/04/87aa2a5d-1a57-41bf-b399-5d714246557c/ENCFF087XOE.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF917XEM	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKV	CAGE	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	3, 4	3_1, 4_1							/files/ENCFF902BXO/, /files/ENCFF370CQC/	155062	ENCODE Processing Pipeline	ba18e11a6b74ba7ca03c8abf4a806ebe		https://www.encodeproject.org/files/ENCFF917XEM/@@download/ENCFF917XEM.bed.gz	V24			released	s3://encode-public/2016/08/04/6f6b2513-2ced-4265-8eda-b396f71f71ab/ENCFF917XEM.bed.gz	ENCODE3 GRCh38 V24	released	low read depth	insufficient read depth	
ENCFF630YII	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKI	CAGE	/human-donors/ENCDO130AAA/, /human-donors/ENCDO129AAA/	CL:0000346	hair follicle dermal papilla cell	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF322JKI/, /files/ENCFF524DJI/	1474	ENCODE Processing Pipeline	de09c36346ed61dbe13040e39be71ca6		https://www.encodeproject.org/files/ENCFF630YII/@@download/ENCFF630YII.bed.gz	V24			released	s3://encode-public/2016/08/04/88dfb18c-7959-4a0c-9770-c83a1c6de57f/ENCFF630YII.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance		extremely low read depth
ENCFF748ATX	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKN	CAGE	/human-donors/ENCDO148AAA/, /human-donors/ENCDO149AAA/	CL:0002543	vein endothelial cell	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF257SKE/, /files/ENCFF611HGD/	79769	ENCODE Processing Pipeline	3aa3f2c9a3df089d122bffc0d332775a		https://www.encodeproject.org/files/ENCFF748ATX/@@download/ENCFF748ATX.bed.gz	V24			released	s3://encode-public/2016/08/04/9644bb41-5c3c-4262-9a7d-6213268808b6/ENCFF748ATX.bed.gz	ENCODE3 GRCh38 V24	released		insufficient read depth	
ENCFF017ITR	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKK	CAGE	/human-donors/ENCDO124AAA/, /human-donors/ENCDO123AAA/	CL:0000062	osteoblast	primary cell	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF726RIT/, /files/ENCFF272JPS/	128772	ENCODE Processing Pipeline	0e721caeb2c97968c06ef5d086255325		https://www.encodeproject.org/files/ENCFF017ITR/@@download/ENCFF017ITR.bed.gz	V24			released	s3://encode-public/2016/08/04/9c7a92b8-0b20-4fea-9ae5-98aa837fe1ad/ENCFF017ITR.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
ENCFF115JML	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000CKB	CAGE	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens											polyadenylated mRNA					forward	2012-05-02	ENCODE		see document	>200	3, 4	3_1, 4_1							/files/ENCFF057CQR/, /files/ENCFF399FAJ/	145244	ENCODE Processing Pipeline	0bdd5beafa156aa2e041359bb97d364f		https://www.encodeproject.org/files/ENCFF115JML/@@download/ENCFF115JML.bed.gz	V24			released	s3://encode-public/2016/08/04/1174a8b5-13bc-4618-959e-35fd212f6ecd/ENCFF115JML.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		
