File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF368YYB	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR101OBS	RAMPAGE	/human-donors/ENCDO005EGE/, /human-donors/ENCDO615NVN/	CL:1001606	foreskin keratinocyte	primary cell	Homo sapiens											RNA		Qiagen RNA extraction			unstranded	2017-10-10	GGR			300-1000	1, 2	1_1, 2_1							/files/ENCFF065MZU/, /files/ENCFF684SBO/	128539	ENCODE Processing Pipeline	8ff43432f981001c3eee0bd8f7debbc5		https://www.encodeproject.org/files/ENCFF368YYB/@@download/ENCFF368YYB.bed.gz	V24			released	s3://encode-public/2017/02/07/545d7d0d-399e-4711-84f8-45ef570b5bee/ENCFF368YYB.bed.gz	ENCODE3 GRCh38 V24	released			
ENCFF828HOT	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR337VPD	RAMPAGE	/human-donors/ENCDO222AAA/	CL:0000192	smooth muscle cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				forward	2015-04-14	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF572IBG/, /files/ENCFF814HMD/	296477	ENCODE Processing Pipeline	14732d9a961a05af92b7e9ea8ee8163c		https://www.encodeproject.org/files/ENCFF828HOT/@@download/ENCFF828HOT.bed.gz	V24			released	s3://encode-public/2016/03/28/cabde761-e2e9-4ad2-abc6-7db1ccc39fa3/ENCFF828HOT.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF269MQD	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR410OSB	RAMPAGE	/human-donors/ENCDO336AAA/	EFO:0007950	GM23338	cell line	Homo sapiens											RNA	rRNA				forward	2014-11-20	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF369UKX/, /files/ENCFF570UAW/	133323	ENCODE Processing Pipeline	50caa3928c3e4de198cfdc20b1bc9e24		https://www.encodeproject.org/files/ENCFF269MQD/@@download/ENCFF269MQD.bed.gz	V24			released	s3://encode-public/2016/03/28/1bf60d19-80de-43c6-9881-82ee85b8a311/ENCFF269MQD.bed.gz	ENCODE3 GRCh38 V24	released	low replicate concordance		file validation error
ENCFF440LMH	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR970OWZ	RAMPAGE	/human-donors/ENCDO451RUA/	UBERON:0002369	adrenal gland	tissue	Homo sapiens											RNA	rRNA				forward	2016-03-16	ENCODE		see document	>200	1	1_1, 1_2							/files/ENCFF574GUF/, /files/ENCFF475DQP/	201615	ENCODE Processing Pipeline	e324ff45a9123aca67b21989fe05235b		https://www.encodeproject.org/files/ENCFF440LMH/@@download/ENCFF440LMH.bed.gz	V24			released	s3://encode-public/2016/03/24/9968b561-bcce-4def-ae5f-aa788fc73955/ENCFF440LMH.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF371ZFC	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000AGV	RAMPAGE	/human-donors/ENCDO065AAA/, /human-donors/ENCDO067AAA/	UBERON:0002240	spinal cord	tissue	Homo sapiens											RNA	rRNA				forward	2014-06-30	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF048PBY/, /files/ENCFF505YXO/	152356	ENCODE Processing Pipeline	097e6e25a5e0f33475ebe6af77ce0d6e		https://www.encodeproject.org/files/ENCFF371ZFC/@@download/ENCFF371ZFC.bed.gz	V24			released	s3://encode-public/2016/03/25/f7502fd7-3c1a-4c9f-af96-86c4f751bda8/ENCFF371ZFC.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF513QJA	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR582BUX	RAMPAGE	/human-donors/ENCDO749MBK/	CL:0002368	airway epithelial cell	primary cell	Homo sapiens											RNA	rRNA				forward	2015-08-18	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF678YPM/, /files/ENCFF890OLE/	181568	ENCODE Processing Pipeline	534295593716f1821ca41f488037a187		https://www.encodeproject.org/files/ENCFF513QJA/@@download/ENCFF513QJA.bed.gz	V24			released	s3://encode-public/2016/03/28/6809da9d-4f89-4308-aa18-0676b7c099f8/ENCFF513QJA.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF833DAA	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR602PHV	RAMPAGE	/human-donors/ENCDO222AAA/	CL:0011020	neural progenitor cell	in vitro differentiated cells	Homo sapiens											RNA	rRNA				forward	2015-04-14	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF064DLI/, /files/ENCFF656WWO/	95416	ENCODE Processing Pipeline	b951cd13fd82858bff66e4e9b8c818eb		https://www.encodeproject.org/files/ENCFF833DAA/@@download/ENCFF833DAA.bed.gz	V24			released	s3://encode-public/2016/03/28/01a0de87-6260-41df-a118-d5884c96cc01/ENCFF833DAA.bed.gz	ENCODE3 GRCh38 V24	released	low read depth		file validation error
ENCFF732VJS	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000AGX	RAMPAGE	/human-donors/ENCDO064AAA/, /human-donors/ENCDO067AAA/	UBERON:0001871	temporal lobe	tissue	Homo sapiens											RNA	rRNA				forward	2014-06-30	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF882DHR/, /files/ENCFF633MZZ/	122693	ENCODE Processing Pipeline	4c73808d38d8a8821392a74943b2de4f		https://www.encodeproject.org/files/ENCFF732VJS/@@download/ENCFF732VJS.bed.gz	V24			released	s3://encode-public/2016/03/25/f0efce0f-2ee2-4986-8f29-a203f1ca36d0/ENCFF732VJS.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF437CMX	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000AGZ	RAMPAGE	/human-donors/ENCDO064AAA/, /human-donors/ENCDO067AAA/	UBERON:0001723	tongue	tissue	Homo sapiens											RNA	rRNA				forward	2014-06-30	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF740VDH/, /files/ENCFF272NUH/	143668	ENCODE Processing Pipeline	cf5575d61842dfa30ae5c07fff349a46		https://www.encodeproject.org/files/ENCFF437CMX/@@download/ENCFF437CMX.bed.gz	V24			released	s3://encode-public/2016/03/25/33555c34-8bb2-44f2-af88-bd859ed757d7/ENCFF437CMX.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF069ZON	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000AER	RAMPAGE	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens											RNA	rRNA				forward	2014-06-30	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF954ZBU/, /files/ENCFF923WZG/	223020	ENCODE Processing Pipeline	71fe562cf037715c2bc7ff3a695e3fc3		https://www.encodeproject.org/files/ENCFF069ZON/@@download/ENCFF069ZON.bed.gz	V24			released	s3://encode-public/2016/03/24/11cf0292-73c2-4d2a-a6f5-40b3ae1780bb/ENCFF069ZON.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF478PCJ	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR022PAU	RAMPAGE	/human-donors/ENCDO033CRF/	EFO:0002059	HT1080	cell line	Homo sapiens											RNA	rRNA				forward	2015-08-18	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF461DSW/, /files/ENCFF704ZWP/	175183	ENCODE Processing Pipeline	b917c1e82a22efb65622bb7581624d64		https://www.encodeproject.org/files/ENCFF478PCJ/@@download/ENCFF478PCJ.bed.gz	V24			released	s3://encode-public/2016/03/25/affc31ad-9801-42aa-9368-a359acedda70/ENCFF478PCJ.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF777KGE	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000AGP	RAMPAGE	/human-donors/ENCDO065AAA/, /human-donors/ENCDO064AAA/	UBERON:0002107	liver	tissue	Homo sapiens											RNA	rRNA				forward	2014-06-30	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF866WGI/, /files/ENCFF259GHQ/	153632	ENCODE Processing Pipeline	4a05ed4b2da7cc597e827fa36a9837a0		https://www.encodeproject.org/files/ENCFF777KGE/@@download/ENCFF777KGE.bed.gz	V24			released	s3://encode-public/2016/03/25/09b0e966-6227-4ca0-976b-4f45ab3bd291/ENCFF777KGE.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF733JFS	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR239ZQA	RAMPAGE	/human-donors/ENCDO267PTG/	EFO:0003044	NCI-H460	cell line	Homo sapiens											RNA	rRNA				forward	2015-04-14	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF142GAR/, /files/ENCFF774VYT/	225448	ENCODE Processing Pipeline	94e344bb61179a59a5b96093bb0bc63b		https://www.encodeproject.org/files/ENCFF733JFS/@@download/ENCFF733JFS.bed.gz	V24			released	s3://encode-public/2016/03/28/100cadb5-8181-4798-9c18-233c395aa1d5/ENCFF733JFS.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF960CDY	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR824YLV	RAMPAGE	/human-donors/ENCDO267PTG/	EFO:0003044	NCI-H460	cell line	Homo sapiens											RNA	rRNA				forward	2015-08-18	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF593AAS/, /files/ENCFF973RJE/	217439	ENCODE Processing Pipeline	ede0c4851e437f71c49371962ef467c5		https://www.encodeproject.org/files/ENCFF960CDY/@@download/ENCFF960CDY.bed.gz	V24			released	s3://encode-public/2016/03/28/1f13b3fc-b836-4858-ba66-a9697fb442d4/ENCFF960CDY.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF648IFM	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR469ZUS	RAMPAGE	/human-donors/ENCDO778HJK/, /human-donors/ENCDO611INZ/	CL:0002188	glomerular endothelial cell	primary cell	Homo sapiens											RNA	rRNA				forward	2015-08-18	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF575VWG/, /files/ENCFF466BGI/	175234	ENCODE Processing Pipeline	4aacca0a0316f98a2af59dcff5e202b1		https://www.encodeproject.org/files/ENCFF648IFM/@@download/ENCFF648IFM.bed.gz	V24			released	s3://encode-public/2016/03/28/52f0d27d-e1af-4bbc-aef9-81a02a07a8a6/ENCFF648IFM.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF405PPP	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR852KOV	RAMPAGE	/human-donors/ENCDO340AAA/	EFO:0005721	SK-N-DZ	cell line	Homo sapiens											RNA	rRNA				forward	2015-04-14	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF403JXD/, /files/ENCFF663ENY/	248550	ENCODE Processing Pipeline	21a556858bca922c363d5d0d6f935753		https://www.encodeproject.org/files/ENCFF405PPP/@@download/ENCFF405PPP.bed.gz	V24			released	s3://encode-public/2016/03/28/2323f489-2183-46b5-9aea-7848519a70e2/ENCFF405PPP.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
ENCFF730ROV	bed idr_peak	bed	idr_peak	transcription start sites	GRCh38	ENCSR000AGN	RAMPAGE	/human-donors/ENCDO069AAA/, /human-donors/ENCDO070AAA/	UBERON:0000948	heart	tissue	Homo sapiens											RNA	rRNA				forward	2014-06-30	ENCODE		see document	>200	1, 2	1_1, 2_1							/files/ENCFF235ILS/, /files/ENCFF503CZU/	177335	ENCODE Processing Pipeline	a64b45bfba9ebfa3a10b41ab6bb88315		https://www.encodeproject.org/files/ENCFF730ROV/@@download/ENCFF730ROV.bed.gz	V24			released	s3://encode-public/2016/03/25/c4bd8852-653e-4882-b2ee-066410dd252d/ENCFF730ROV.bed.gz	ENCODE3 GRCh38 V24	released			file validation error
