File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF932OLF	bam	bam		alignments	GRCh38	ENCSR996OED	total RNA-seq	/human-donors/ENCDO791UJG/	NTR:0000497	activated naive CD4-positive, alpha-beta T cell	primary cell	Homo sapiens	anti-CD3 and anti-CD28 coated beads										RNA					reverse	2021-06-17	ENCODE				1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF364RLR/, /files/ENCFF670QDK/	8483935655	ENCODE Processing Pipeline	bd64e740914ba3203e559b611f4c50d1		https://www.encodeproject.org/files/ENCFF932OLF/@@download/ENCFF932OLF.bam	V29			released	s3://encode-public/2021/05/24/98c5ceb8-924d-4494-a544-038a0ac71345/ENCFF932OLF.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF926OTX	bam	bam		alignments	GRCh38	ENCSR673UKZ	total RNA-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											RNA					reverse	2021-05-06	ENCODE				1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF766OAK/, /files/ENCFF644AQW/	7548960202	ENCODE Processing Pipeline	965ae8eda471224f5488a291d25a33ad		https://www.encodeproject.org/files/ENCFF926OTX/@@download/ENCFF926OTX.bam	V29			released	s3://encode-public/2021/05/07/fd76793e-ddbb-47ed-99a0-60b06f15ead6/ENCFF926OTX.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF176QHZ	bam	bam		alignments	GRCh38	ENCSR673UKZ	total RNA-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											RNA					reverse	2021-05-06	ENCODE				2	2_1		100					/files/ENCFF198RQU/, /files/ENCFF598IDH/, /files/ENCFF620HBM/	7940369863	ENCODE Processing Pipeline	d26c75700713a26d45af269016dd0d6a		https://www.encodeproject.org/files/ENCFF176QHZ/@@download/ENCFF176QHZ.bam	V29			released	s3://encode-public/2021/05/07/098e3ef7-6b7a-4641-ad0a-76982888d68d/ENCFF176QHZ.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF015CLP	bam	bam		alignments	GRCh38	ENCSR673UKZ	total RNA-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											RNA					reverse	2021-05-06	ENCODE				3	3_1		100					/files/ENCFF598IDH/, /files/ENCFF785SWH/, /files/ENCFF247XJT/	7879100061	ENCODE Processing Pipeline	249decacfa40c80542a6ddbb9e88f546		https://www.encodeproject.org/files/ENCFF015CLP/@@download/ENCFF015CLP.bam	V29			released	s3://encode-public/2021/05/07/5076e82a-3c6b-4b04-8132-6bac14e1838c/ENCFF015CLP.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF400SRZ	bam	bam		alignments	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1		100					/files/ENCFF598IDH/, /files/ENCFF152QMH/	4222478474	ENCODE Processing Pipeline	413b0969c5ebc2a3aade5a74cced6801		https://www.encodeproject.org/files/ENCFF400SRZ/@@download/ENCFF400SRZ.bam	V29			released	s3://encode-public/2021/07/21/dd9b8758-7a1f-4009-960a-f52958fdeb7e/ENCFF400SRZ.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF290MLG	bam	bam		alignments	GRCh38	ENCSR815NTL	total RNA-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF161ISZ/	4165952885	ENCODE Processing Pipeline	782368d99a3d6c3d2dd1da076eb85621		https://www.encodeproject.org/files/ENCFF290MLG/@@download/ENCFF290MLG.bam	V29			released	s3://encode-public/2021/07/21/de740019-a958-4c1d-b3f6-b95e20e24eb5/ENCFF290MLG.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF264PUE	bam	bam		alignments	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF538XBL/	4011451671	ENCODE Processing Pipeline	65cf6ec546e815be14684f1d69f95d0b		https://www.encodeproject.org/files/ENCFF264PUE/@@download/ENCFF264PUE.bam	V29			released	s3://encode-public/2021/07/20/58661587-6693-4d4c-a081-59d4ea5a790c/ENCFF264PUE.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF736UZB	bam	bam		alignments	GRCh38	ENCSR897JEH	total RNA-seq	/human-donors/ENCDO109DGE/	EFO:0002819	Calu3	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1		100					/files/ENCFF373OFI/, /files/ENCFF598IDH/	3896930782	ENCODE Processing Pipeline	e8d0a383771c2daf6a69e79a08c332e8		https://www.encodeproject.org/files/ENCFF736UZB/@@download/ENCFF736UZB.bam	V29			released	s3://encode-public/2021/07/20/ce33aa05-f874-4640-8a12-f1bc7419084d/ENCFF736UZB.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF099FKC	bam	bam		alignments	GRCh38	ENCSR469WPG	total RNA-seq	/human-donors/ENCDO000ACR/	EFO:0001099	Caco-2	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				2	2_1		100					/files/ENCFF260ECY/, /files/ENCFF598IDH/	4020474076	ENCODE Processing Pipeline	f65263319befc1b5807c29a74439b438		https://www.encodeproject.org/files/ENCFF099FKC/@@download/ENCFF099FKC.bam	V29			released	s3://encode-public/2021/07/21/074d69e1-e6d9-420e-ba3a-d748e7946084/ENCFF099FKC.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
ENCFF298BEF	bam	bam		alignments	GRCh38	ENCSR469WPG	total RNA-seq	/human-donors/ENCDO000ACR/	EFO:0001099	Caco-2	cell line	Homo sapiens											RNA					reverse	2022-02-01	ENCODE				1	1_1		100					/files/ENCFF598IDH/, /files/ENCFF200STC/	4086131769	ENCODE Processing Pipeline	952c82f08e39baeeef71d3105e8ef184		https://www.encodeproject.org/files/ENCFF298BEF/@@download/ENCFF298BEF.bam	V29			released	s3://encode-public/2021/07/21/2ef6b0d3-8c20-4108-a3da-4a4ac41a4b1d/ENCFF298BEF.bam	ENCODE4 v1.2.3 GRCh38 V29	released			
