#feature_id	ENCFF373TKM.sorted	ENCFF388HXU.sorted	ENCFF985LGZ.sorted
ENSG00000000457.13	9.210532	9.556477	8.572043
ENSG00000000460.16	29.306238	31.854923	27.694292
ENSG00000000938.12	0.418661	1.061831	0.659388
ENSG00000001460.17	16.746421	14.157743	25.056740
ENSG00000001461.16	25.119632	13.803800	21.100413
ENSG00000004455.16	162.021628	181.573060	189.903716
ENSG00000004487.16	1044.976702	906.095581	760.274253
ENSG00000006555.10	0.837321	0.353944	1.978164
ENSG00000007341.18	16.327761	25.129995	29.672456
ENSG00000007923.15	316.088706	270.766844	234.742094
ENSG00000007933.12	0.000000	0.000000	0.659388
ENSG00000007968.6	8.373211	5.663097	1.978164
ENSG00000008118.9	0.837321	1.415774	2.637552
ENSG00000008128.22	16.746421	18.051123	17.144085
ENSG00000008130.15	150.299133	138.745886	137.152684
ENSG00000009307.15	1027.811620	935.472899	690.379135
ENSG00000009724.16	0.000000	1.061831	0.000000
ENSG00000009780.15	5.023926	6.017041	4.615715
ENSG00000010072.15	18.839724	15.573518	7.253267
ENSG00000010165.19	112.201024	105.475189	84.401652
ENSG00000010803.16	27.631595	24.776051	20.441025
ENSG00000010932.16	0.418661	0.353944	0.000000
ENSG00000011007.12	133.552711	107.598850	48.794705
ENSG00000011009.10	282.177202	287.756136	313.209254
ENSG00000011021.22	38.516769	33.978584	17.803473
ENSG00000014914.20	3.767945	6.017041	8.572043
ENSG00000018625.14	18.839724	10.972251	12.528370
ENSG00000020129.15	106.758437	88.839840	43.519602
ENSG00000020633.18	0.837321	0.353944	0.659388
ENSG00000023572.9	5.023926	6.017041	10.550206
ENSG00000023902.13	33.911504	36.456189	33.628783
ENSG00000023909.9	28.050256	27.253656	24.397352
ENSG00000024526.16	92.523979	91.671389	77.807773
ENSG00000025800.13	94.617281	82.114912	53.410420
ENSG00000027869.11	5.442587	2.477605	9.231431
ENSG00000028137.18	4.605266	3.539436	1.978164
ENSG00000031698.12	160.346986	159.982501	185.947389
ENSG00000035687.9	154.904399	158.920670	140.449623
ENSG00000036549.12	88.756034	66.541394	48.794705
ENSG00000037637.10	66.567025	56.277030	55.388584
ENSG00000040487.12	19.258385	13.803800	14.506534
ENSG00000041988.15	7.954550	11.680138	14.506534
ENSG00000042781.12	5.442587	0.000000	0.000000
ENSG00000043514.16	24.282311	34.332528	35.606947
ENSG00000047410.13	159.091004	123.172368	70.554506
ENSG00000048707.15	26.794274	15.927461	8.572043
ENSG00000049089.14	1.255982	4.601267	2.637552
ENSG00000049239.12	8.373211	4.601267	3.956327
ENSG00000049245.12	36.842127	30.439148	36.266335
ENSG00000049246.14	10.885174	7.432815	11.209594
ENSG00000050628.20	0.837321	0.000000	3.296940
ENSG00000052723.11	94.198621	70.080830	53.410420
ENSG00000053371.12	26.375614	34.332528	50.772869
ENSG00000053372.4	69.497649	79.991251	56.047972
ENSG00000054116.11	31.818201	35.394359	52.751032
ENSG00000054118.14	180.024031	152.549686	106.161452
ENSG00000054267.21	105.921116	76.097871	103.523901
ENSG00000054277.13	28.887577	36.102246	46.157153
ENSG00000054282.15	18.002403	24.776051	40.882050
ENSG00000054392.12	0.418661	1.415774	0.000000
ENSG00000054523.17	100.897190	73.266322	40.222662
ENSG00000055070.16	167.882876	159.628557	130.558805
ENSG00000055732.12	10.466513	10.618308	5.934491
ENSG00000057252.12	4.605266	4.601267	5.275103
ENSG00000057468.6	0.000000	0.707887	0.659388
ENSG00000057757.9	54.425870	62.294071	75.829609
ENSG00000058085.14	22.607669	18.759010	15.165922
ENSG00000058453.16	57.775154	49.198159	34.947559
ENSG00000058668.14	21.351687	14.157743	9.231431
ENSG00000058673.16	139.413959	105.829132	73.192057
ENSG00000058799.14	36.423467	43.181118	57.366748
ENSG00000058804.11	229.844635	195.730803	116.052271
ENSG00000059588.9	54.425870	30.439148	23.078577
ENSG00000060642.10	18.421064	24.068164	23.078577
ENSG00000060656.19	93.361300	60.170410	40.222662
ENSG00000060688.12	171.650820	207.410942	219.576172
ENSG00000060718.21	19.258385	10.264364	9.231431
ENSG00000064703.11	64.892383	63.001958	42.200826
ENSG00000064886.13	0.000000	0.000000	0.000000
ENSG00000065135.10	138.576638	151.487855	137.152684
ENSG00000065183.15	134.390033	116.801383	75.829609
ENSG00000065243.19	63.217741	59.462523	29.672456
ENSG00000065526.10	25.119632	23.006333	11.868982
ENSG00000065600.12	25.119632	26.191825	27.694292
ENSG00000065978.18	372.607878	488.796093	536.741753
ENSG00000066027.11	43.122035	50.259989	50.113481
