#feature_id	ENCFF373TKM.sorted	ENCFF388HXU.sorted	ENCFF985LGZ.sorted
ENST00000003583.12	5.061645	3.943348	10.594989
ENST00000003912.7	2.398884	1.613921	0.000000
ENST00000011700.10	7.060715	4.077841	0.000000
ENST00000040877.1	27.986980	16.139213	12.949431
ENST00000054650.8	12.794048	11.835423	18.835536
ENST00000054666.10	51.975820	39.810058	57.683830
ENST00000060969.5	2.398884	6.455685	0.000000
ENST00000072644.6	11.994420	13.180357	23.544420
ENST00000078527.8	3.998140	8.338593	4.120274
ENST00000164247.5	0.000000	0.995251	0.000000
ENST00000166244.7	1.599256	0.537974	1.177221
ENST00000167825.5	0.000000	0.000000	0.000000
ENST00000194214.9	17.591816	22.325911	50.620504
ENST00000196061.4	95.955361	80.158089	97.120734
ENST00000207457.7	0.799628	1.613921	0.000000
ENST00000209884.4	13.593676	13.987318	7.063326
ENST00000212355.8	5.997210	4.841764	3.531663
ENST00000234590.10	0.000000	0.000000	0.000000
ENST00000234626.10	151.929321	115.933343	94.177681
ENST00000234668.6	0.000000	1.075948	0.000000
ENST00000234677.6	253.482078	201.024652	290.184981
ENST00000234739.7	58.372844	34.430320	32.962189
ENST00000234827.5	0.000000	8.607580	0.000000
ENST00000234831.9	0.000000	45.550238	0.000000
ENST00000234875.8	70.367265	204.069583	118.899323
ENST00000234961.6	0.000000	0.000000	0.000000
ENST00000235090.9	3.198512	80.158089	0.000000
ENST00000235180.4	0.000000	0.000000	0.000000
ENST00000235307.6	0.000000	16.139213	0.000000
ENST00000235310.7	80.362615	49.224598	122.430986
ENST00000235329.9	224.295656	136.107359	103.595450
ENST00000235332.5	83.161313	83.923905	133.025975
ENST00000235345.5	4.797768	7.531633	0.000000
ENST00000235372.11	1.599256	0.537974	1.177221
ENST00000235382.6	6.397024	5.379738	12.949431
ENST00000235521.4	27.986980	21.518950	15.303873
ENST00000235532.9	1.599256	0.537974	3.531663
ENST00000235790.9	0.000000	0.000000	0.000000
ENST00000235835.7	48.777308	49.762572	85.937134
ENST00000236040.8	2.558810	1.291137	0.000000
ENST00000236051.2	11.194792	83.116945	7.063326
ENST00000236067.8	9.795443	4.841764	5.391672
ENST00000236137.9	68.432165	33.580322	26.487473
