#feature_id	ENCFF166IXJ.sorted	ENCFF169CBQ.sorted	ENCFF708JUG.sorted
ENSG00000000457.13	9.010300	8.423623	9.368874
ENSG00000000460.16	29.897815	28.510723	31.229581
ENSG00000000938.12	0.409559	0.647971	1.040986
ENSG00000001460.17	16.382364	24.622897	13.879814
ENSG00000001461.16	24.573547	22.031013	13.879814
ENSG00000004455.16	158.908935	187.911583	179.049601
ENSG00000004487.16	1027.993365	751.646332	894.554012
ENSG00000006555.10	0.819118	1.943913	0.346995
ENSG00000007341.18	16.382364	29.158694	24.983665
ENSG00000007923.15	310.855364	230.677667	269.268392
ENSG00000007933.12	0.000000	0.647971	0.000000
ENSG00000007968.6	8.191182	1.943913	5.898921
ENSG00000008118.9	0.819118	2.591884	1.387981
ENSG00000008128.22	16.382364	17.495216	17.696763
ENSG00000008130.15	148.260398	134.777963	137.410159
ENSG00000009307.15	1011.611001	684.257351	926.130589
ENSG00000009724.16	0.000000	0.000000	1.040986
ENSG00000009780.15	4.914709	4.535797	5.898921
ENSG00000010072.15	18.839719	7.127681	15.267795
ENSG00000010165.19	110.990519	84.236227	105.833582
ENSG00000010803.16	27.850019	20.735071	25.330661
ENSG00000010932.16	0.409559	0.000000	0.346995
ENSG00000011007.12	131.878033	49.893765	106.180577
ENSG00000011009.10	277.681076	309.082156	285.577173
ENSG00000011021.22	40.136793	17.495216	34.699535
ENSG00000014914.20	3.686032	8.423623	5.898921
ENSG00000018625.14	18.839719	12.311449	10.756856
ENSG00000020129.15	106.485369	42.766084	88.136819
ENSG00000020633.18	0.819118	0.647971	0.346995
ENSG00000023572.9	5.733828	11.663478	5.898921
ENSG00000023902.13	34.402965	33.046520	36.434512
ENSG00000023909.9	27.440460	23.974926	27.065637
ENSG00000024526.16	90.922122	76.460575	89.871796
ENSG00000025800.13	97.475068	53.781591	86.401842
ENSG00000027869.11	5.324268	9.071594	2.428967
ENSG00000028137.18	4.505150	1.943913	3.469953
ENSG00000031698.12	157.680257	184.023757	157.882884
ENSG00000035687.9	151.946430	138.665789	156.841898
ENSG00000036549.12	87.236090	48.597823	65.929116
ENSG00000037637.10	65.119898	54.429562	55.172261
ENSG00000040487.12	19.249278	14.903332	13.879814
ENSG00000041988.15	8.191182	14.255361	12.144837
ENSG00000042781.12	5.324268	0.000000	0.000000
ENSG00000043514.16	24.163987	34.990433	34.005544
ENSG00000047410.13	156.451580	69.980865	121.795368
ENSG00000048707.15	29.488256	9.071594	17.002772
ENSG00000049089.14	1.228677	3.239855	4.857935
ENSG00000049239.12	8.600741	3.887826	4.857935
ENSG00000049245.12	36.041202	35.638404	30.188595
ENSG00000049246.14	24.573547	14.903332	13.879814
ENSG00000050628.20	0.819118	3.239855	0.000000
ENSG00000052723.11	92.560359	52.485649	69.746065
ENSG00000053371.12	25.802224	49.893765	34.005544
ENSG00000053372.4	69.625049	57.669417	80.155926
ENSG00000054116.11	31.126492	51.837678	35.046530
ENSG00000054118.14	178.977331	104.971298	152.330959
ENSG00000054267.21	103.618455	103.027385	75.644986
ENSG00000054277.13	28.259579	45.357968	35.393526
ENSG00000054282.15	17.611042	40.174201	24.636670
ENSG00000054392.12	0.409559	0.000000	1.387981
ENSG00000054523.17	101.161100	41.470142	73.910010
ENSG00000055070.16	164.233203	128.298253	157.188894
ENSG00000055732.12	10.648537	5.831739	10.409860
ENSG00000057252.12	4.505150	5.183768	4.510940
ENSG00000057468.6	0.000000	0.647971	0.693991
ENSG00000057757.9	53.242684	74.516662	61.418177
ENSG00000058085.14	23.754428	14.903332	18.390754
ENSG00000058453.16	56.928716	34.990433	48.926344
ENSG00000058668.14	20.887515	10.367536	14.226809
ENSG00000058673.16	137.202302	72.572749	104.098605
ENSG00000058799.14	36.041202	56.373475	43.027423
ENSG00000058804.11	226.076629	114.042892	192.582419
ENSG00000059588.9	54.471362	23.974926	30.188595
ENSG00000060642.10	18.020601	22.678984	23.942679
ENSG00000060656.19	93.789036	40.174201	60.377191
ENSG00000060688.12	168.328794	215.774335	203.686270
ENSG00000060718.21	20.068396	9.071594	10.062865
ENSG00000064703.11	63.481662	41.470142	62.459163
ENSG00000064886.13	0.000000	0.000000	0.000000
ENSG00000065135.10	135.973624	136.073905	148.861005
ENSG00000065183.15	133.106711	75.164633	115.549452
ENSG00000065243.19	62.662544	31.102607	59.336205
ENSG00000065526.10	25.392665	11.663478	23.248688
ENSG00000065600.12	24.573547	27.214781	25.677656
ENSG00000065978.18	366.555403	530.688229	483.711518
ENSG00000066027.11	43.822825	49.893765	49.273340
ENSG00000066056.13	2.866914	2.591884	3.816949
ENSG00000066135.12	106.485369	53.781591	80.502921
ENSG00000066136.20	50.375770	64.149127	54.478270
ENSG00000066185.12	0.819118	1.295942	0.693991
ENSG00000066279.17	52.423566	27.862752	49.620335
ENSG00000066322.14	28.669138	31.750578	28.800614
ENSG00000066557.5	82.321381	80.996372	89.177805
ENSG00000067208.14	14.334569	7.127681	12.144837
ENSG00000067334.13	153.175107	121.170573	158.229880
ENSG00000067533.5	32.764729	33.694491	35.393526
ENSG00000067606.16	50.375770	47.301881	40.598456
ENSG00000067704.9	176.929535	140.609702	169.333731
ENSG00000069248.11	118.362583	71.924778	104.445600
ENSG00000069275.12	170.376590	161.992744	171.415703
ENSG00000069424.14	9.829419	7.127681	9.021879
ENSG00000069702.10	6.962505	3.239855	6.592912
ENSG00000069812.11	0.000000	0.000000	0.693991
ENSG00000070759.16	11.058096	11.663478	14.226809
ENSG00000070785.16	43.413266	68.684923	56.213247
ENSG00000070831.15	40.955911	51.189707	30.188595
ENSG00000070886.11	13.925010	23.974926	16.308781
ENSG00000073756.11	0.819118	0.647971	1.040986
ENSG00000074800.15	2707.595274	3561.248485	2973.056158
ENSG00000074964.16	75.768435	48.597823	46.150382
ENSG00000075151.20	110.171400	66.093040	91.953768
ENSG00000075391.16	32.355170	19.439129	23.248688
ENSG00000075945.12	6.143387	4.535797	7.286902
ENSG00000076258.9	4.914709	4.535797	4.857935
ENSG00000076321.10	16.791923	10.367536	21.166716
ENSG00000076356.6	2.866914	0.000000	2.775963
ENSG00000076864.19	25.392665	17.495216	19.778735
ENSG00000077152.10	53.242684	90.715937	67.317098
ENSG00000077157.21	11.877214	7.775652	6.245916
ENSG00000077254.14	140.888334	103.675356	125.959312
ENSG00000077522.12	6.962505	3.239855	3.122958
ENSG00000077549.17	189.216309	273.443752	236.650829
ENSG00000077585.13	12.286773	14.255361	11.103851
ENSG00000078369.17	706.489464	628.531847	666.925063
ENSG00000078618.21	308.398010	230.677667	296.681024
ENSG00000078808.16	117.543464	148.385354	142.268093
ENSG00000078900.14	10.648537	5.183768	4.857935
ENSG00000079277.20	34.812524	25.270868	28.800614
ENSG00000079335.19	19.249278	6.479710	13.185823
ENSG00000079739.16	140.478775	235.861435	137.063163
ENSG00000080947.14	3.686032	3.887826	3.122958
ENSG00000081019.13	33.174288	11.015507	25.677656
ENSG00000081026.18	15.972805	10.367536	6.939907
ENSG00000081237.19	0.000000	0.000000	0.346995
ENSG00000081277.12	0.000000	0.000000	0.000000
ENSG00000081692.12	21.297074	15.551303	22.554698
ENSG00000081721.11	30.716933	47.301881	32.964558
ENSG00000081870.11	14.744128	41.470142	24.983665
ENSG00000081985.11	2.457355	1.295942	0.346995
ENSG00000082482.13	0.819118	1.295942	0.693991
ENSG00000082497.11	7.781623	2.591884	12.144837
ENSG00000082512.14	33.993406	28.510723	31.229581
ENSG00000083444.16	83.959617	92.011879	85.360856
ENSG00000084070.11	24.573547	14.903332	18.390754
ENSG00000084072.16	69.215490	114.042892	75.297991
ENSG00000084073.8	187.168513	100.435501	173.844670
ENSG00000084623.11	173.653062	251.412739	210.279182
ENSG00000084628.9	39.317675	27.214781	39.210475
ENSG00000084636.17	9.010300	3.887826	6.939907
ENSG00000084652.15	99.522864	53.781591	72.522028
ENSG00000085433.15	11.467655	6.479710	9.715870
ENSG00000085465.12	1.638236	1.943913	2.081972
ENSG00000085491.16	113.447873	69.332894	117.284428
ENSG00000085552.16	41.365470	13.607390	33.658549
ENSG00000085831.15	4.505150	3.239855	6.939907
ENSG00000085832.16	63.072103	42.118113	50.661321
ENSG00000085840.12	69.625049	53.133620	71.134047
ENSG00000085998.13	104.028014	118.578689	94.382735
ENSG00000085999.11	142.936129	95.899704	143.656075
ENSG00000086015.20	83.140499	23.974926	57.601228
ENSG00000086619.13	7.781623	7.127681	6.939907
ENSG00000088035.16	31.126492	40.174201	40.598456
ENSG00000088280.18	119.181701	69.332894	104.098605
ENSG00000090020.10	21.706633	11.663478	20.472726
ENSG00000090273.13	323.961256	413.405483	382.735871
ENSG00000090432.6	48.327975	51.837678	55.519256
ENSG00000090621.13	156.861139	145.145499	136.022177
ENSG00000090686.15	83.550058	88.772024	83.278884
ENSG00000091483.6	72.491962	99.787530	79.461935
ENSG00000092621.12	363.278930	458.115480	394.533713
ENSG00000092847.11	91.741241	51.837678	92.300763
ENSG00000092850.11	1.638236	0.647971	1.040986
ENSG00000092853.13	51.194889	25.270868	49.273340
ENSG00000092969.11	4.095591	0.647971	3.816949
ENSG00000092978.10	18.430160	20.087100	14.920800
ENSG00000094963.13	0.409559	0.000000	0.346995
ENSG00000094975.13	75.358876	43.414055	64.194140
ENSG00000097021.19	103.618455	122.466514	115.202456
ENSG00000097033.14	46.689738	38.878259	47.885358
ENSG00000097046.12	138.021420	102.379414	134.287200
ENSG00000097096.8	21.706633	6.479710	21.860707
ENSG00000099260.10	0.000000	0.000000	0.693991
ENSG00000107404.19	76.587553	53.781591	61.418177
ENSG00000116128.10	86.826531	38.878259	55.519256
ENSG00000116133.12	1047.652202	427.660844	885.532133
ENSG00000116138.12	26.621342	18.143187	22.207702
ENSG00000116141.15	31.536051	31.750578	34.005544
ENSG00000116147.16	0.000000	0.000000	0.693991
ENSG00000116151.13	9.010300	10.367536	7.980893
ENSG00000116157.5	6.143387	13.607390	10.062865
ENSG00000116161.17	224.438392	287.051142	280.719238
ENSG00000116171.17	56.928716	89.419995	65.929116
ENSG00000116183.10	1.638236	1.295942	0.693991
ENSG00000116191.17	49.966211	33.694491	39.904465
ENSG00000116194.12	0.409559	0.000000	0.693991
ENSG00000116198.12	36.860320	22.678984	31.923572
ENSG00000116199.11	40.955911	27.214781	32.617563
ENSG00000116205.13	13.105892	14.903332	10.409860
ENSG00000116209.11	62.662544	95.251733	77.379963
ENSG00000116212.14	35.631643	44.062026	45.456391
