#feature_id	ENCFF166IXJ.sorted	ENCFF169CBQ.sorted	ENCFF708JUG.sorted
ENST00000003583.12	5.011434	10.504548	3.915574
ENST00000003912.7	2.375087	0.000000	1.602554
ENST00000011700.10	6.990674	0.000000	4.049120
ENST00000040877.1	27.709353	12.838892	16.025542
ENST00000054650.8	12.667133	18.674751	11.752064
ENST00000054666.10	51.460226	57.191426	39.529670
ENST00000060969.5	2.375087	0.000000	6.944401
ENST00000072644.6	11.875437	23.343439	13.087526
ENST00000078527.8	3.958479	4.085102	8.279863
ENST00000164247.5	0.000000	0.000000	0.988242
ENST00000166244.7	1.583392	1.167172	1.068369
ENST00000167825.5	0.000000	0.000000	0.000000
ENST00000194214.9	17.417307	50.188394	22.168666
ENST00000196061.4	96.586886	97.458859	79.593525
ENST00000207457.7	0.791696	0.000000	1.602554
ENST00000209884.4	13.458828	7.003032	13.888803
ENST00000212355.8	5.937718	3.501516	5.341847
ENST00000234590.10	0.000000	0.000000	0.000000
ENST00000234626.10	151.213896	93.373757	115.650994
ENST00000234668.6	0.000000	0.000000	1.068369
ENST00000234677.6	250.967565	288.875061	200.142993
ENST00000234739.7	57.793793	32.680815	35.256192
ENST00000234827.5	0.000000	0.000000	8.546956
ENST00000234831.9	0.000000	0.000000	45.229421
ENST00000234875.8	69.669229	117.884368	203.166478
ENST00000234961.6	0.000000	0.000000	0.000000
ENST00000235090.9	3.166783	0.000000	79.593525
ENST00000235180.4	0.000000	0.000000	0.000000
ENST00000235307.6	0.000000	0.000000	16.025542
ENST00000235310.7	79.565427	121.385884	49.946272
ENST00000235329.9	222.070669	102.711133	135.950014
ENST00000235332.5	82.336362	133.057604	83.867003
ENST00000235345.5	4.750175	0.000000	7.478586
ENST00000235372.11	1.583392	1.167172	0.534185
ENST00000235382.6	6.333566	12.838892	5.341847
ENST00000235521.4	29.292744	15.173236	21.367389
ENST00000235532.9	1.583392	3.501516	0.534185
ENST00000235790.9	0.000000	0.000000	0.000000
ENST00000235835.7	48.293443	85.203553	49.412088
ENST00000236040.8	2.533427	0.000000	1.282043
ENST00000236051.2	11.083741	7.003032	82.531541
ENST00000236067.8	9.698273	5.345648	4.807663
ENST00000236137.9	67.753326	26.261369	33.343811
ENST00000236192.11	26.125961	10.504548	18.162281
ENST00000236273.8	41.959877	51.355566	52.350104
ENST00000236342.11	2.375087	2.334344	4.983944
ENST00000236412.11	0.000000	7.003032	0.000000
ENST00000236914.7	0.000000	0.000000	1.602554
ENST00000236918.11	0.000000	0.000000	0.000000
ENST00000236925.8	0.000000	0.000000	0.000000
ENST00000240185.7	2.375087	2.334344	188.033025
ENST00000241312.8	0.000000	0.000000	0.000000
ENST00000241337.8	9.500349	18.674751	11.217879
ENST00000241704.7	682.726780	237.075969	373.411152
ENST00000242719.3	12.667133	12.838892	106.302761
ENST00000243167.8	36.813854	42.018191	20.833204
ENST00000243189.11	3.166783	5.835860	2.136739
ENST00000243440.1	3.166783	7.003032	5.341847
ENST00000245564.6	28.501048	26.844955	26.265863
ENST00000246151.8	95.399343	117.300782	89.208850
ENST00000246314.10	0.000000	1.167172	0.000000
ENST00000246337.8	149.828428	172.741450	116.585817
ENST00000247087.10	0.000000	0.000000	0.000000
ENST00000247986.2	7.125262	6.419446	2.136739
ENST00000251157.10	0.000000	0.000000	0.000000
ENST00000251195.9	4.750175	0.000000	2.136739
ENST00000251296.3	56.210401	88.705069	48.877903
ENST00000251507.8	0.791696	2.334344	1.068369
ENST00000251546.8	0.000000	3.501516	1.335462
ENST00000251547.9	1.583392	0.000000	7.211494
ENST00000252992.8	75.211100	49.021222	59.027413
ENST00000253063.3	98.961974	52.522738	56.623581
ENST00000253251.12	0.791696	0.000000	1.602554
ENST00000254090.8	0.791696	1.750758	0.534185
ENST00000254101.3	77.586187	40.851019	43.268963
ENST00000254231.4	556.562140	326.224564	416.129904
ENST00000254821.10	160.452986	138.111458	115.918086
ENST00000255108.7	121.525304	81.702037	105.768576
ENST00000255380.8	0.000000	0.000000	4.273478
ENST00000256578.7	16.760200	7.971785	7.836490
ENST00000256594.7	0.000000	0.000000	0.534185
ENST00000256637.7	186.444358	42.601777	148.503355
ENST00000256644.8	39.743129	80.383133	27.617351
ENST00000256646.6	3.166783	0.000000	21.901574
ENST00000256649.8	22.167482	17.507579	16.559727
ENST00000256658.8	0.791696	0.000000	6.052313
ENST00000257075.9	72.574753	44.737701	46.650352
ENST00000257118.5	0.000000	0.000000	0.000000
ENST00000257177.8	4.750175	6.419446	6.410217
ENST00000257181.9	27.709353	10.504548	58.226136
ENST00000258229.13	8.708654	5.835860	8.546956
ENST00000258243.6	22.167482	4.668688	27.777606
ENST00000258281.6	7.125262	0.000000	4.273478
ENST00000258301.5	11.875437	12.255306	95.442786
ENST00000258317.6	0.000000	0.000000	0.000000
ENST00000258341.4	330.137144	156.401043	218.481554
ENST00000258349.8	0.000000	0.000000	0.000000
ENST00000259154.8	110.045715	68.863146	117.520641
ENST00000260502.10	23.093766	19.841923	11.084333
ENST00000260505.12	1.844651	0.000000	4.540570
ENST00000260506.12	152.536028	72.364662	89.743035
ENST00000260508.8	11.083741	26.844955	10.683695
ENST00000260526.10	0.791696	0.000000	4.807663
ENST00000260563.4	0.000000	2.334344	1.335462
ENST00000261396.5	3.166783	3.501516	78.525155
ENST00000261441.9	23.750874	0.000000	18.605654
ENST00000261443.9	40.115226	31.898810	24.396217
ENST00000261455.8	0.000000	0.000000	17.628096
ENST00000261461.6	41.959877	44.352535	41.666409
ENST00000261464.9	5.541871	6.419446	16.468915
ENST00000262346.6	0.000000	0.000000	1.335462
ENST00000262348.8	0.000000	2.334344	4.273478
ENST00000262450.7	1.583392	0.000000	0.000000
ENST00000262741.9	31.802420	8.555370	18.162281
ENST00000262746.5	15.572656	41.819771	18.872747
ENST00000262861.8	0.791696	0.000000	0.534185
ENST00000262915.8	0.000000	0.000000	0.000000
ENST00000263168.3	239.883824	228.765705	237.178020
ENST00000263440.5	37.605550	50.771980	39.038220
ENST00000263441.11	0.000000	0.000000	0.000000
ENST00000263511.8	0.000000	0.000000	0.000000
ENST00000263688.3	12.073361	5.053855	10.683695
ENST00000263694.8	35.626310	35.015159	166.665636
ENST00000263697.5	9.500349	17.507579	232.103265
ENST00000263702.10	33.251223	87.537897	35.256192
ENST00000263726.3	9.500349	0.000000	6.410217
ENST00000263733.4	38.001398	18.674751	20.299020
ENST00000263741.11	3.760555	4.668688	3.178399
ENST00000263826.9	12.667133	0.000000	14.690080
ENST00000263893.10	3.166783	2.334344	2.670924
ENST00000263932.6	23.750874	8.753790	16.025542
ENST00000263934.10	0.000000	0.000000	0.000000
ENST00000263974.4	1.583392	2.334344	0.000000
ENST00000263979.7	3.562631	0.000000	0.000000
ENST00000263980.7	14.646372	10.504548	14.155895
ENST00000264126.8	30.876136	38.516675	25.106682
ENST00000264128.13	0.000000	0.000000	0.000000
ENST00000264144.4	4.750175	5.835860	1.602554
ENST00000264183.8	0.000000	0.000000	0.000000
ENST00000264187.6	109.649867	29.762885	41.399317
ENST00000264198.4	90.253320	89.872241	81.730264
ENST00000264203.7	0.000000	0.000000	0.000000
ENST00000264211.12	34.438767	42.403357	24.171859
ENST00000264515.10	24.542569	14.006064	20.833204
ENST00000270708.11	50.668530	70.030318	49.679180
ENST00000270747.7	49.085139	51.355566	50.213365
ENST00000270776.12	358.638192	389.835436	316.771545
ENST00000270792.9	144.880329	338.479869	159.721234
ENST00000270812.6	0.000000	0.000000	1.602554
ENST00000270815.4	28.501048	12.838892	14.957172
ENST00000270824.1	0.000000	4.668688	1.602554
ENST00000271002.14	23.750874	49.021222	21.901574
ENST00000271064.11	15.833916	24.895778	18.696466
ENST00000271139.12	0.000000	0.000000	0.000000
ENST00000271227.10	0.791696	1.167172	0.534185
ENST00000271234.11	7.259850	11.088134	8.546956
ENST00000271277.10	17.417307	2.334344	46.474071
ENST00000271308.8	0.000000	0.000000	1.602554
ENST00000271332.3	0.000000	0.000000	0.000000
ENST00000271357.9	0.000000	0.000000	0.000000
ENST00000271373.8	0.000000	2.334344	1.068369
ENST00000271375.6	12.667133	0.000000	25.106682
ENST00000271411.8	0.000000	0.000000	0.000000
ENST00000271417.7	0.000000	0.000000	1.068369
ENST00000271450.10	0.791696	0.000000	0.000000
ENST00000271452.7	32.855375	60.692942	28.311791
ENST00000271469.7	48.293443	37.933089	51.148188
ENST00000271526.8	395.056199	317.470774	307.423312
ENST00000271588.8	4.750175	4.668688	3.205108
ENST00000271620.7	23.750874	20.717302	21.634482
ENST00000271628.8	331.720536	298.796022	275.105136
ENST00000271636.11	239.487976	70.613904	131.943628
ENST00000271638.2	144.088634	442.358174	162.659250
ENST00000271640.9	22.563330	13.422478	15.758450
ENST00000271643.8	5.146023	1.167172	1.469008
ENST00000271651.7	17.417307	8.170204	11.752064
ENST00000271688.10	4.615586	6.127653	3.162374
ENST00000271690.12	16.625612	14.006064	53.685565
ENST00000271715.6	33.647071	17.705999	21.180425
ENST00000271732.7	8.708654	7.003032	7.478586
ENST00000271764.6	51.064378	70.030318	39.262578
ENST00000271836.10	11.875437	7.003032	8.546956
ENST00000271843.8	7.125262	15.173236	40.598039
ENST00000271857.6	39.188942	26.751581	30.448530
ENST00000271877.11	6.333566	2.334344	5.876032
ENST00000271889.8	2.968859	9.920962	4.983944
ENST00000271915.8	0.000000	0.000000	2.670924
ENST00000272091.7	53.043618	37.349503	37.927116
ENST00000272102.9	612.242104	690.580635	556.262585
ENST00000272117.7	0.000000	0.000000	0.000000
ENST00000272133.3	5.541871	4.668688	5.341847
ENST00000272134.5	98.170278	63.027286	86.003741
ENST00000272139.4	44.334964	65.361630	52.884288
ENST00000272163.8	257.301131	149.981597	191.772318
ENST00000272167.9	74.680664	57.576593	47.542441
ENST00000272198.10	0.000000	0.000000	0.000000
ENST00000272203.7	2.375087	0.000000	3.205108
ENST00000272217.6	96.982734	111.464922	72.649123
ENST00000281701.10	69.210046	46.103293	57.916308
ENST00000281834.3	0.000000	0.000000	1.068369
ENST00000282670.6	0.000000	0.000000	1.068369
ENST00000282841.9	15.042220	23.343439	38.194208
ENST00000283179.14	0.000000	0.000000	0.000000
ENST00000284031.12	103.118376	41.236185	59.561597
ENST00000284376.7	13.458828	11.088134	11.752064
ENST00000284476.7	2.375087	3.501516	4.807663
ENST00000284548.15	22.167482	14.006064	6.944401
ENST00000284551.10	42.355725	35.015159	27.243421
ENST00000284617.6	18.209003	0.000000	12.019156
ENST00000285735.6	0.000000	0.000000	0.000000
ENST00000286031.10	0.000000	0.000000	0.000000
ENST00000286692.8	3.166783	8.368623	8.637767
ENST00000287482.5	39.584789	27.428541	31.516899
ENST00000287713.6	11.479589	8.170204	11.484972
ENST00000287727.7	0.000000	1.167172	1.335462
ENST00000287859.10	34.438767	26.844955	28.578883
ENST00000287899.13	0.000000	0.000000	0.000000
ENST00000288774.7	0.791696	2.334344	2.270285
ENST00000289166.5	515.393959	406.175843	351.493552
ENST00000289703.8	11.083741	3.501516	6.944401
ENST00000289779.7	0.000000	0.000000	0.000000
ENST00000289865.12	33.449147	35.306952	32.494457
ENST00000289877.8	0.000000	0.000000	0.000000
ENST00000289893.8	49.164308	0.000000	0.000000
ENST00000290039.5	16.364352	6.617865	9.390968
ENST00000290363.5	0.791696	0.000000	0.000000
ENST00000290524.8	77.586187	40.851019	68.375645
ENST00000290541.6	104.369256	169.823521	114.673436
ENST00000290551.4	18.209003	22.176267	14.422988
ENST00000290583.8	0.000000	0.000000	0.534185
ENST00000290597.9	0.791696	4.085102	1.068369
ENST00000290663.10	1.583392	1.167172	2.136739
ENST00000290795.7	41.564029	36.964336	58.226136
ENST00000291358.10	8.312806	7.003032	9.882418
ENST00000291386.3	290.552355	456.364237	260.949240
ENST00000291416.9	7.125262	3.501516	1.602554
ENST00000292169.5	0.000000	0.000000	0.534185
ENST00000292176.2	0.791696	0.000000	0.000000
ENST00000292180.7	12.667133	4.085102	10.149510
ENST00000292211.4	26.125961	16.340407	37.927116
ENST00000292254.8	5.874383	0.000000	3.514936
ENST00000292291.9	0.000000	0.000000	0.000000
ENST00000292357.7	0.000000	0.000000	0.000000
ENST00000294339.3	0.000000	1.167172	0.000000
ENST00000294353.6	40.376485	14.006064	24.572498
ENST00000294360.4	22.959178	30.346471	23.504128
ENST00000294383.6	33.251223	25.677783	26.709236
ENST00000294401.11	2.375087	0.000000	1.869647
ENST00000294409.2	3.166783	3.501516	2.003193
ENST00000294413.12	0.000000	0.000000	0.000000
ENST00000294428.7	4.750175	2.917930	2.670924
ENST00000294435.7	1.583392	5.252274	1.602554
ENST00000294454.5	0.791696	0.000000	0.000000
ENST00000294484.6	2.375087	0.000000	1.068369
ENST00000294485.5	7.916958	0.000000	6.410217
ENST00000294489.10	46.116280	36.275705	45.095875
ENST00000294507.3	0.791696	0.000000	0.000000
ENST00000294543.10	12.667133	10.504548	13.087526
ENST00000294599.8	0.000000	1.750758	0.534185
ENST00000294613.9	15.833916	34.233154	16.201823
ENST00000294623.8	0.000000	0.000000	0.534185
ENST00000294661.8	6.333566	11.671720	33.119453
ENST00000294678.6	0.000000	0.000000	1.068369
ENST00000294724.8	0.000000	0.000000	0.000000
ENST00000294732.11	8.051546	0.000000	4.807663
ENST00000294740.3	140.130155	81.702037	132.477813
ENST00000294753.8	12.271285	0.000000	22.435759
