File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF364WSF	bam	bam		alignments	GRCh38	ENCSR322MWL	PAS-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				1	1_1		89					/files/ENCFF034QBE/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1709661149	Ali Mortazavi, UCI	a1f97876c05b1c81f4a9947a4da0b20e		https://www.encodeproject.org/files/ENCFF364WSF/@@download/ENCFF364WSF.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/c673b29d-b6d2-4cdc-b205-a8c3e648f0f0/ENCFF364WSF.bam	Lab custom GRCh38 V29	released			
ENCFF399HRH	bam	bam		alignments	GRCh38	ENCSR322MWL	PAS-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				2	2_1		101					/files/ENCFF544FMU/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1636368963	Ali Mortazavi, UCI	ac4e10bf96d0d44f1239e26ac6808ac5		https://www.encodeproject.org/files/ENCFF399HRH/@@download/ENCFF399HRH.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/fd6ec32a-7095-42e6-b847-faa99b59433e/ENCFF399HRH.bam	Lab custom GRCh38 V29	released			
ENCFF146APZ	bam	bam		alignments	GRCh38	ENCSR322MWL	PAS-seq	/human-donors/ENCDO882UJI/	EFO:0009747	WTC11	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				3	3_1		80					/files/ENCFF201HMB/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	2008695895	Ali Mortazavi, UCI	948575d7130463063492ac638d8a1f09		https://www.encodeproject.org/files/ENCFF146APZ/@@download/ENCFF146APZ.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/a3e36d89-cd10-406d-8010-2ac3ee2d37e3/ENCFF146APZ.bam	Lab custom GRCh38 V29	released			
ENCFF607ZLG	bam	bam		alignments	GRCh38	ENCSR275KDL	PAS-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					forward	2021-12-18	ENCODE				1	1_1		123					/files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF067LOV/	1589998998	Ali Mortazavi, UCI	b201f1b292f5d38aca6a6c4c1e65d40c		https://www.encodeproject.org/files/ENCFF607ZLG/@@download/ENCFF607ZLG.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2021/07/28/8510598f-a204-4fb3-b7a4-d68d05241066/ENCFF607ZLG.bam	Lab custom GRCh38 V29	released		unreplicated experiment	
ENCFF037NVQ	bam	bam		alignments	GRCh38	ENCSR275KDL	PAS-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens											polyadenylated mRNA					forward	2021-12-18	ENCODE				1	1_2		102					/files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF011WQQ/	2038493157	Ali Mortazavi, UCI	004cbb9528bb32ee51c196f5163df9a6		https://www.encodeproject.org/files/ENCFF037NVQ/@@download/ENCFF037NVQ.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2021/07/28/1ed53488-1eb4-4269-a367-9d16fa0ff348/ENCFF037NVQ.bam	Lab custom GRCh38 V29	released		unreplicated experiment	
ENCFF520EMF	bam	bam		alignments	GRCh38	ENCSR813AOB	PAS-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				1	1_1		88					/files/ENCFF167FGD/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1972705087	Ali Mortazavi, UCI	29b137ff9f1ca44382d55d8666b08cc8		https://www.encodeproject.org/files/ENCFF520EMF/@@download/ENCFF520EMF.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/4fa2adae-0e68-4fab-8a61-8372f77fe9bb/ENCFF520EMF.bam	Lab custom GRCh38 V29	released			
ENCFF377TQE	bam	bam		alignments	GRCh38	ENCSR813AOB	PAS-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				2	2_1		82					/files/ENCFF522ZRK/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	2213917694	Ali Mortazavi, UCI	1c2f2b313adfb5cb32336ac3b70d3e7d		https://www.encodeproject.org/files/ENCFF377TQE/@@download/ENCFF377TQE.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/e4f88047-2971-44d5-84d8-0787cc6b3007/ENCFF377TQE.bam	Lab custom GRCh38 V29	released			
ENCFF827XLY	bam	bam		alignments	GRCh38	ENCSR813AOB	PAS-seq	/human-donors/ENCDO000AAW/	EFO:0003042	H1	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				3	3_1		98					/files/ENCFF424GTK/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1582327025	Ali Mortazavi, UCI	3ba2950c363b5c01c75520d763088f39		https://www.encodeproject.org/files/ENCFF827XLY/@@download/ENCFF827XLY.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/9353c856-3d53-4a07-9c75-335b3f10e9e4/ENCFF827XLY.bam	Lab custom GRCh38 V29	released			
ENCFF262UDX	bam	bam		alignments	GRCh38	ENCSR198UNH	PAS-seq	/human-donors/ENCDO000AAW/	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				2	2_1		88					/files/ENCFF796ZQS/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1967750885	Ali Mortazavi, UCI	c83ec828030f6cc199a39ea84cc2a93b		https://www.encodeproject.org/files/ENCFF262UDX/@@download/ENCFF262UDX.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/1560fde4-4c85-4803-aa4c-87d0d7cf6a54/ENCFF262UDX.bam	Lab custom GRCh38 V29	released			
ENCFF988LKF	bam	bam		alignments	GRCh38	ENCSR198UNH	PAS-seq	/human-donors/ENCDO000AAW/	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				1	1_1		98					/files/ENCFF735JLK/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1555956342	Ali Mortazavi, UCI	766462f2d37b04a8d6607ae70705e059		https://www.encodeproject.org/files/ENCFF988LKF/@@download/ENCFF988LKF.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/0901a1a2-164b-438f-8a57-91efa6c758d0/ENCFF988LKF.bam	Lab custom GRCh38 V29	released			
ENCFF109IQE	bam	bam		alignments	GRCh38	ENCSR198UNH	PAS-seq	/human-donors/ENCDO000AAW/	CL:0000223	endodermal cell	in vitro differentiated cells	Homo sapiens											polyadenylated mRNA					forward	2022-03-24	ENCODE				3	3_1		87					/files/ENCFF214MZE/, /files/ENCFF598IDH/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/	1840590118	Ali Mortazavi, UCI	0514db858a7da4f289fe4ca5733951d1		https://www.encodeproject.org/files/ENCFF109IQE/@@download/ENCFF109IQE.bam	V29	Illumina NextSeq 500		released	s3://encode-public/2022/01/28/c9d9f42c-7687-4e1d-ab31-b837016e350b/ENCFF109IQE.bam	Lab custom GRCh38 V29	released			
