File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF227ELA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR367UUC	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF613STK/, /files/ENCFF356LFX/, /files/ENCFF989CWL/	301375	ENCODE Processing Pipeline	a8c880529afc8b8b9fb47b6374d2c97b		https://www.encodeproject.org/files/ENCFF227ELA/@@download/ENCFF227ELA.bed.gz				released	s3://encode-public/2020/11/27/7ccab3e3-b2cd-488f-8118-9d84a46464e1/ENCFF227ELA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/27/7ccab3e3-b2cd-488f-8118-9d84a46464e1/ENCFF227ELA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF012VQA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR025ZZA	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF489SOL/, /files/ENCFF605HZX/, /files/ENCFF356LFX/	233696	ENCODE Processing Pipeline	fdbb28846dfb4ce0788af90b499f00db		https://www.encodeproject.org/files/ENCFF012VQA/@@download/ENCFF012VQA.bed.gz				released	s3://encode-public/2020/11/29/cea80d97-b8a0-4ec7-854c-83c99cfb7aae/ENCFF012VQA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/29/cea80d97-b8a0-4ec7-854c-83c99cfb7aae/ENCFF012VQA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF952WTH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR610EFT	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0001150	body of pancreas	tissue	Homo sapiens										POLR2A-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF446QHG/, /files/ENCFF856XOE/, /files/ENCFF356LFX/	564204	ENCODE Processing Pipeline	9f1ebacadcb1b2c395dab38f52ac1aca		https://www.encodeproject.org/files/ENCFF952WTH/@@download/ENCFF952WTH.bed.gz				released	s3://encode-public/2020/12/04/e6ebaced-fff7-4fa4-a288-765485faf0c6/ENCFF952WTH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/04/e6ebaced-fff7-4fa4-a288-765485faf0c6/ENCFF952WTH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF616GPO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR888HXN	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0004264	lower leg skin	tissue	Homo sapiens										POLR2A-human	DNA						2016-11-07	ENCODE			450-650	1	1_1							/files/ENCFF356LFX/, /files/ENCFF108TLC/, /files/ENCFF579SCL/	295	ENCODE Processing Pipeline	36d1b7d34bb0633aaf7846e1f2b24a01		https://www.encodeproject.org/files/ENCFF616GPO/@@download/ENCFF616GPO.bed.gz				released	s3://encode-public/2020/12/01/3317cc07-1731-417a-b90c-7c6e05191f60/ENCFF616GPO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/3317cc07-1731-417a-b90c-7c6e05191f60/ENCFF616GPO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption		
ENCFF673HLW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR543DUC	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0004264	lower leg skin	tissue	Homo sapiens										POLR2A-human	DNA						2017-03-20	ENCODE			450-650	1	1_1							/files/ENCFF948AVR/, /files/ENCFF356LFX/, /files/ENCFF186GBR/	79682	ENCODE Processing Pipeline	e81aa1bef3e8e250699621c358b37e3f		https://www.encodeproject.org/files/ENCFF673HLW/@@download/ENCFF673HLW.bed.gz				released	s3://encode-public/2020/12/03/a17c3968-6825-437a-96a5-cdde0810b867/ENCFF673HLW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/03/a17c3968-6825-437a-96a5-cdde0810b867/ENCFF673HLW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF885ZWB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR825RBI	TF ChIP-seq	/human-donors/ENCDO793LXB/	UBERON:0036149	suprapubic skin	tissue	Homo sapiens										POLR2A-human	DNA						2017-04-04	ENCODE			450-650	1	1_1							/files/ENCFF534HQX/, /files/ENCFF886IKL/, /files/ENCFF356LFX/	69589	ENCODE Processing Pipeline	1ac3f8729daf93edd401bbff62a0b3a5		https://www.encodeproject.org/files/ENCFF885ZWB/@@download/ENCFF885ZWB.bed.gz				released	s3://encode-public/2020/12/01/5e14f565-1134-4760-b91c-2d2323789f17/ENCFF885ZWB.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/01/5e14f565-1134-4760-b91c-2d2323789f17/ENCFF885ZWB.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking		
ENCFF385LSO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BKI	TF ChIP-seq	/human-donors/ENCDO000ACV/	EFO:0005718	Ishikawa	cell line	Homo sapiens	dimethyl sulfoxide	0.02 percent	1 hour							POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF562CXR/, /files/ENCFF356LFX/, /files/ENCFF176EGF/, /files/ENCFF390NRD/	519806	ENCODE Processing Pipeline	65babae343b036dee28ac866db37f4b6		https://www.encodeproject.org/files/ENCFF385LSO/@@download/ENCFF385LSO.bed.gz				released	s3://encode-public/2020/12/12/518efe19-f52e-4c1b-8713-e649225f9560/ENCFF385LSO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/12/518efe19-f52e-4c1b-8713-e649225f9560/ENCFF385LSO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF909CTD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BIK	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF301IVR/, /files/ENCFF356LFX/, /files/ENCFF994TBU/, /files/ENCFF468FSB/	475577	ENCODE Processing Pipeline	b970281f988cfd8c4328b8afc7407920		https://www.encodeproject.org/files/ENCFF909CTD/@@download/ENCFF909CTD.bed.gz				released	s3://encode-public/2020/12/27/f5131f85-f033-4df7-ade9-0ee91021d5c4/ENCFF909CTD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/f5131f85-f033-4df7-ade9-0ee91021d5c4/ENCFF909CTD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, control low read depth, low read depth		
ENCFF072ZEW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000DPA	TF ChIP-seq	/human-donors/ENCDO000AAP/	EFO:0001200	MCF 10A	cell line	Homo sapiens	ethanol	0.01 percent	36.0 hour		insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6714/'], '@type': ['Target', 'Item'], 'name': 'SRC-human', 'label': 'SRC', '@id': '/targets/SRC-human/', 'title': 'SRC (Homo sapiens)', 'investigated_as': ['cofactor'], 'uuid': '8a4fb22e-1bea-11e3-bbe8-14109fe2b29d', 'status': 'released'}				POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF409JEG/, /files/ENCFF785PIF/, /files/ENCFF356LFX/, /files/ENCFF710JCY/	618427	ENCODE Processing Pipeline	d0e5bd6296f52f14a4f21854f81f5202		https://www.encodeproject.org/files/ENCFF072ZEW/@@download/ENCFF072ZEW.bed.gz				released	s3://encode-public/2020/12/27/965b3013-8a12-42bc-97c6-9160b7ca895e/ENCFF072ZEW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/965b3013-8a12-42bc-97c6-9160b7ca895e/ENCFF072ZEW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	moderate library complexity, low read length, missing biosample characterization, low read depth, missing genetic modification characterization, mild to moderate bottlenecking		
ENCFF680DFX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BHZ	TF ChIP-seq	/human-donors/ENCDO000AAL/	EFO:0002786	GM12892	cell line	Homo sapiens										POLR2A-human	DNA						2011-07-18	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF906YSC/, /files/ENCFF555VPZ/, /files/ENCFF356LFX/, /files/ENCFF195TOM/	570784	ENCODE Processing Pipeline	848570583538452607e398b7f3638612		https://www.encodeproject.org/files/ENCFF680DFX/@@download/ENCFF680DFX.bed.gz				released	s3://encode-public/2020/12/27/5f4623ec-a818-4dd9-9d28-b4b7ca2d168a/ENCFF680DFX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/5f4623ec-a818-4dd9-9d28-b4b7ca2d168a/ENCFF680DFX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, control low read depth		
