File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF227ELA	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR367UUC	TF ChIP-seq	/human-donors/ENCDO271OUW/	UBERON:0004550	gastroesophageal sphincter	tissue	Homo sapiens										POLR2A-human	DNA						2016-07-06	ENCODE			450-650	1	1_1							/files/ENCFF613STK/, /files/ENCFF356LFX/, /files/ENCFF989CWL/	301375	ENCODE Processing Pipeline	a8c880529afc8b8b9fb47b6374d2c97b		https://www.encodeproject.org/files/ENCFF227ELA/@@download/ENCFF227ELA.bed.gz				released	s3://encode-public/2020/11/27/7ccab3e3-b2cd-488f-8118-9d84a46464e1/ENCFF227ELA.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/11/27/7ccab3e3-b2cd-488f-8118-9d84a46464e1/ENCFF227ELA.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	antibody characterized with exemption, moderate library complexity, mild to moderate bottlenecking, low read depth		
ENCFF946CSJ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3, 4, 5, 6	1_1, 2_1, 3_1, 4_1, 5_1, 6_1							/files/ENCFF306UFQ/, /files/ENCFF046OHO/, /files/ENCFF807TIP/, /files/ENCFF726GUM/, /files/ENCFF356LFX/, /files/ENCFF890VUI/, /files/ENCFF936BHK/, /files/ENCFF428YQS/, /files/ENCFF606HMW/	517901	ENCODE Processing Pipeline	2a192dc511e4dde80e5a9ca4bbdb4c4a		https://www.encodeproject.org/files/ENCFF946CSJ/@@download/ENCFF946CSJ.bed.gz				released	s3://encode-public/2020/12/26/9625cc8a-ca71-483e-9881-160fb74c58f0/ENCFF946CSJ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/9625cc8a-ca71-483e-9881-160fb74c58f0/ENCFF946CSJ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF292AOD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3, 4, 5, 6	1_1, 2_1, 3_1, 4_1, 5_1, 6_1							/files/ENCFF306UFQ/, /files/ENCFF046OHO/, /files/ENCFF807TIP/, /files/ENCFF726GUM/, /files/ENCFF356LFX/, /files/ENCFF890VUI/, /files/ENCFF936BHK/, /files/ENCFF428YQS/, /files/ENCFF606HMW/	323167	ENCODE Processing Pipeline	8ccf74563d2a753ee9cde14a4a20923c		https://www.encodeproject.org/files/ENCFF292AOD/@@download/ENCFF292AOD.bed.gz				released	s3://encode-public/2020/12/26/68fe9eb2-f264-42a0-a476-0c5d12c8641e/ENCFF292AOD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/68fe9eb2-f264-42a0-a476-0c5d12c8641e/ENCFF292AOD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF261YFY	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		2	2_1							/files/ENCFF726GUM/, /files/ENCFF046OHO/, /files/ENCFF428YQS/, /files/ENCFF356LFX/	334292	ENCODE Processing Pipeline	1282b45e2b0cd05366d61834b14be5f6		https://www.encodeproject.org/files/ENCFF261YFY/@@download/ENCFF261YFY.bed.gz				released	s3://encode-public/2020/12/26/f36ac693-538d-4482-8dca-8eea8c0a1087/ENCFF261YFY.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/f36ac693-538d-4482-8dca-8eea8c0a1087/ENCFF261YFY.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF974YCP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3, 4, 5, 6	1_1, 2_1, 3_1, 4_1, 5_1, 6_1							/files/ENCFF306UFQ/, /files/ENCFF046OHO/, /files/ENCFF807TIP/, /files/ENCFF726GUM/, /files/ENCFF356LFX/, /files/ENCFF890VUI/, /files/ENCFF936BHK/, /files/ENCFF428YQS/, /files/ENCFF606HMW/	316340	ENCODE Processing Pipeline	25fcb7ba7091419737b94c8bb27caa56		https://www.encodeproject.org/files/ENCFF974YCP/@@download/ENCFF974YCP.bed.gz				released	s3://encode-public/2020/12/26/40d151fc-aafe-4dc1-8d71-066609c23edc/ENCFF974YCP.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/40d151fc-aafe-4dc1-8d71-066609c23edc/ENCFF974YCP.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF239AHL	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1	1_1							/files/ENCFF726GUM/, /files/ENCFF046OHO/, /files/ENCFF936BHK/, /files/ENCFF356LFX/	232548	ENCODE Processing Pipeline	0ef3b495af3f18bc539d848ec6535c9c		https://www.encodeproject.org/files/ENCFF239AHL/@@download/ENCFF239AHL.bed.gz				released	s3://encode-public/2020/12/26/2862f9dd-41b8-4a02-8a95-f419419f90fa/ENCFF239AHL.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/2862f9dd-41b8-4a02-8a95-f419419f90fa/ENCFF239AHL.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF150RMZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		6	6_1							/files/ENCFF726GUM/, /files/ENCFF046OHO/, /files/ENCFF606HMW/, /files/ENCFF356LFX/	147468	ENCODE Processing Pipeline	5bf6dfad1630ec3fa3187a599e06899c		https://www.encodeproject.org/files/ENCFF150RMZ/@@download/ENCFF150RMZ.bed.gz				released	s3://encode-public/2020/12/26/dc3dbcff-b58f-48ac-9845-52ec2ac1ed7b/ENCFF150RMZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/dc3dbcff-b58f-48ac-9845-52ec2ac1ed7b/ENCFF150RMZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF016JHV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		4	4_1							/files/ENCFF726GUM/, /files/ENCFF890VUI/, /files/ENCFF046OHO/, /files/ENCFF356LFX/	137309	ENCODE Processing Pipeline	a41012846d2a2e3735b1da1319ebbb80		https://www.encodeproject.org/files/ENCFF016JHV/@@download/ENCFF016JHV.bed.gz				released	s3://encode-public/2020/12/26/f7ce3e20-acb0-4471-8cb0-2a19a69d230d/ENCFF016JHV.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/f7ce3e20-acb0-4471-8cb0-2a19a69d230d/ENCFF016JHV.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF984QAC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		3	3_1							/files/ENCFF726GUM/, /files/ENCFF046OHO/, /files/ENCFF807TIP/, /files/ENCFF356LFX/	272835	ENCODE Processing Pipeline	df31bf225e306db70b449be02f5246b9		https://www.encodeproject.org/files/ENCFF984QAC/@@download/ENCFF984QAC.bed.gz				released	s3://encode-public/2020/12/26/e3a13d49-90c5-4844-8b8b-6a47c1ad69d9/ENCFF984QAC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/e3a13d49-90c5-4844-8b8b-6a47c1ad69d9/ENCFF984QAC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
ENCFF048NBR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAJ	TF ChIP-seq	/human-donors/ENCDO000ACA/	EFO:0002785	GM12891	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3, 4, 5, 6	1_1, 2_1, 3_1, 4_1, 5_1, 6_1							/files/ENCFF306UFQ/, /files/ENCFF046OHO/, /files/ENCFF807TIP/, /files/ENCFF726GUM/, /files/ENCFF356LFX/, /files/ENCFF890VUI/, /files/ENCFF936BHK/, /files/ENCFF428YQS/, /files/ENCFF606HMW/	350094	ENCODE Processing Pipeline	f58ba8890d960bc1a12c449e70c82827		https://www.encodeproject.org/files/ENCFF048NBR/@@download/ENCFF048NBR.bed.gz				released	s3://encode-public/2020/12/26/ef29a936-c566-401d-95d4-8e23d0b4483e/ENCFF048NBR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/ef29a936-c566-401d-95d4-8e23d0b4483e/ENCFF048NBR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	mixed read lengths, borderline replicate concordance, low read depth	insufficient read depth, insufficient read length	extremely low read depth
