File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF745DHX	bam	bam		alignments	GRCh38	ENCSR181CES	long read RNA-seq	/human-donors/ENCDO000ABB/	EFO:0002713	Panc1	cell line	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF786LUJ/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF911UGW/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/	386451471	ENCODE Processing Pipeline	b39afeb8cc5a20e5dc904562fe307857		https://www.encodeproject.org/files/ENCFF745DHX/@@download/ENCFF745DHX.bam	V29			released	s3://encode-public/2021/01/23/55ac5ede-b3f6-440f-9504-170c42a9275b/ENCFF745DHX.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/55ac5ede-b3f6-440f-9504-170c42a9275b/ENCFF745DHX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released		unreplicated experiment	
ENCFF502LAB	bam	bam		alignments	GRCh38	ENCSR700XDQ	long read RNA-seq	/human-donors/ENCDO411EVD/	UBERON:0002084	heart left ventricle	tissue	Homo sapiens											polyadenylated mRNA					unstranded	2021-02-20	ENCODE				1	1_1							/files/ENCFF795TPX/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF911UGW/	277375083	ENCODE Processing Pipeline	62b7556ed7a86bf7df879c723ba905e6		https://www.encodeproject.org/files/ENCFF502LAB/@@download/ENCFF502LAB.bam	V29			released	s3://encode-public/2021/01/23/7fdb6249-d0b2-4039-a140-5dbe5c7305a7/ENCFF502LAB.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/23/7fdb6249-d0b2-4039-a140-5dbe5c7305a7/ENCFF502LAB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF624BUU	bam	bam		alignments	GRCh38	ENCSR546DFO	long read RNA-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens	phorbol 13-acetate 12-myristate	10 μM	120 hour								polyadenylated mRNA					forward	2022-02-17	ENCODE				2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/, /files/ENCFF834VFJ/	460376951	ENCODE Processing Pipeline	cc17c45ed3f66f6b1bd45469d43440b2		https://www.encodeproject.org/files/ENCFF624BUU/@@download/ENCFF624BUU.bam	V29			released	s3://encode-public/2022/02/11/1a667e22-2eee-4416-b7f2-9b5984d46c54/ENCFF624BUU.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/1a667e22-2eee-4416-b7f2-9b5984d46c54/ENCFF624BUU.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF172UBZ	bam	bam		alignments	GRCh38	ENCSR546DFO	long read RNA-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens	phorbol 13-acetate 12-myristate	10 μM	120 hour								polyadenylated mRNA					forward	2022-02-17	ENCODE				1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/, /files/ENCFF359OMJ/	488834844	ENCODE Processing Pipeline	2b0c1c8f6d6c361fb0b4669ac5c66ba0		https://www.encodeproject.org/files/ENCFF172UBZ/@@download/ENCFF172UBZ.bam	V29			released	s3://encode-public/2022/02/11/e69f29a8-48ae-43e7-82f2-4d84408359d9/ENCFF172UBZ.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/e69f29a8-48ae-43e7-82f2-4d84408359d9/ENCFF172UBZ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF007EDQ	bam	bam		alignments	GRCh38	ENCSR700SUP	long read RNA-seq	/human-donors/ENCDO351AAA/	EFO:0006711	OCI-LY7	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-02-17	ENCODE				2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/, /files/ENCFF975PWU/	445824321	ENCODE Processing Pipeline	0df4da710d3cfa6e48621685a6eeb7ed		https://www.encodeproject.org/files/ENCFF007EDQ/@@download/ENCFF007EDQ.bam	V29			released	s3://encode-public/2022/02/11/a5503320-bdac-4da5-b2ce-9775148f72d7/ENCFF007EDQ.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/a5503320-bdac-4da5-b2ce-9775148f72d7/ENCFF007EDQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF259PEY	bam	bam		alignments	GRCh38	ENCSR700SUP	long read RNA-seq	/human-donors/ENCDO351AAA/	EFO:0006711	OCI-LY7	cell line	Homo sapiens											polyadenylated mRNA					forward	2022-02-17	ENCODE				1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF911UGW/, /files/ENCFF125FVV/	341930340	ENCODE Processing Pipeline	05cc5302f373b09e2e20363e0de3ef7a		https://www.encodeproject.org/files/ENCFF259PEY/@@download/ENCFF259PEY.bam	V29			released	s3://encode-public/2022/02/11/59b56405-5a8b-4386-9da3-93259951c369/ENCFF259PEY.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/59b56405-5a8b-4386-9da3-93259951c369/ENCFF259PEY.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF294TRC	bam	bam		alignments	GRCh38	ENCSR121FDE	long read RNA-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens	interferon gamma, lipopolysaccharide, phorbol 13-acetate 12-myristate	100 μM, 10 μM	12 hour, 120 hour								polyadenylated mRNA					forward	2022-02-17	ENCODE				2	2_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF911UGW/, /files/ENCFF067DBD/	204726327	ENCODE Processing Pipeline	601324e09673ea207ada13e51c92be4f		https://www.encodeproject.org/files/ENCFF294TRC/@@download/ENCFF294TRC.bam	V29			released	s3://encode-public/2022/02/11/17c132c5-c0cc-4a66-97f6-94929d5c38d5/ENCFF294TRC.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/17c132c5-c0cc-4a66-97f6-94929d5c38d5/ENCFF294TRC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF535QSI	bam	bam		alignments	GRCh38	ENCSR121FDE	long read RNA-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens	interferon gamma, lipopolysaccharide, phorbol 13-acetate 12-myristate	100 μM, 10 μM	12 hour, 120 hour								polyadenylated mRNA					forward	2022-02-17	ENCODE				1	1_1							/files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/ENCFF911UGW/, /files/ENCFF191AOF/	211779065	ENCODE Processing Pipeline	d07dc3f8789db91c1ce6c7d7f4cf1b52		https://www.encodeproject.org/files/ENCFF535QSI/@@download/ENCFF535QSI.bam	V29			released	s3://encode-public/2022/02/11/3d806500-d433-49a5-b636-9f05b8a20b06/ENCFF535QSI.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/3d806500-d433-49a5-b636-9f05b8a20b06/ENCFF535QSI.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF950CCD	bam	bam		alignments	GRCh38	ENCSR159ICU	long read RNA-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens	interleukin-13, phorbol 13-acetate 12-myristate, interleukin-4	10 μM	72 hour, 120 hour								polyadenylated mRNA					forward	2022-02-17	ENCODE				2	2_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF177JIB/, /files/ENCFF911UGW/	349667831	ENCODE Processing Pipeline	536fa0264a9df9bbd8ceb42ffce3b38c		https://www.encodeproject.org/files/ENCFF950CCD/@@download/ENCFF950CCD.bam	V29			released	s3://encode-public/2022/02/11/40940218-1f33-4faa-8cf6-2e5154f8d69c/ENCFF950CCD.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/40940218-1f33-4faa-8cf6-2e5154f8d69c/ENCFF950CCD.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
ENCFF103QSB	bam	bam		alignments	GRCh38	ENCSR159ICU	long read RNA-seq	/human-donors/ENCDO000AAM/	EFO:0002793	HL-60	cell line	Homo sapiens	interleukin-13, phorbol 13-acetate 12-myristate, interleukin-4	10 μM	72 hour, 120 hour								polyadenylated mRNA					forward	2022-02-17	ENCODE				1	1_1							/files/GRCh38_no_alt_analysis_set_GCA_000001405.15/, /files/gencode.v29.primary_assembly.annotation_UCSC_names/, /files/ENCFF931BCL/, /files/ENCFF911UGW/	420390347	ENCODE Processing Pipeline	97684ff2a6c0de9515c757aed8c01905		https://www.encodeproject.org/files/ENCFF103QSB/@@download/ENCFF103QSB.bam	V29			released	s3://encode-public/2022/02/11/1f4584b6-3f8a-4a7e-a1df-9217b17368d8/ENCFF103QSB.bam	https://datasetencode.blob.core.windows.net/dataset/2022/02/11/1f4584b6-3f8a-4a7e-a1df-9217b17368d8/ENCFF103QSB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v2.0.0 GRCh38 V29	released			
