Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version
ENSMUSG00000053211	ENSMUSG00000053211.11	ENSMUST00000189888	ENSMUST00000189888.7
ENSMUSG00000053211	ENSMUSG00000053211.11	ENSMUST00000065545	ENSMUST00000065545.6
ENSMUSG00000000103	ENSMUSG00000000103.13	ENSMUST00000187148	ENSMUST00000187148.7
ENSMUSG00000000103	ENSMUSG00000000103.13	ENSMUST00000115891	ENSMUST00000115891.2
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2
ENSMUSG00000069036	ENSMUSG00000069036.4	ENSMUST00000091178	ENSMUST00000091178.2
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000021787	ENSMUST00000021787.7
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000223869	ENSMUST00000223869.2
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000225180	ENSMUST00000225180.2
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000224999	ENSMUST00000224999.2
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000224665	ENSMUST00000224665.2
ENSMUSG00000021359	ENSMUSG00000021359.17	ENSMUST00000110193	ENSMUST00000110193.9
ENSMUSG00000022708	ENSMUSG00000022708.17	ENSMUST00000114694	ENSMUST00000114694.9
ENSMUSG00000022708	ENSMUSG00000022708.17	ENSMUST00000114691	ENSMUST00000114691.8
ENSMUSG00000022708	ENSMUSG00000022708.17	ENSMUST00000114690	ENSMUST00000114690.8
ENSMUSG00000022708	ENSMUSG00000022708.17	ENSMUST00000114695	ENSMUST00000114695.3
ENSMUSG00000022708	ENSMUSG00000022708.17	ENSMUST00000079441	ENSMUST00000079441.13
ENSMUSG00000051490	ENSMUSG00000051490.4	ENSMUST00000058600	ENSMUST00000058600.4
ENSMUSG00000051490	ENSMUSG00000051490.4	ENSMUST00000058600	ENSMUST00000058600.4
ENSMUSG00000073130	ENSMUSG00000073130.11	ENSMUST00000154780	ENSMUST00000154780.10
ENSMUSG00000073130	ENSMUSG00000073130.11	ENSMUST00000101495	ENSMUST00000101495.3
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000071533	ENSMUST00000071533.13
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000071533	ENSMUST00000071533.13
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000071533	ENSMUST00000071533.13
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000071533	ENSMUST00000071533.13
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000069334	ENSMUST00000069334.8
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000069334	ENSMUST00000069334.8
ENSMUSG00000055639	ENSMUSG00000055639.17	ENSMUST00000069334	ENSMUST00000069334.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000023100	ENSMUST00000023100.8
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2
ENSMUSG00000022463	ENSMUSG00000022463.9	ENSMUST00000229336	ENSMUST00000229336.2
ENSMUSG00000071637	ENSMUSG00000071637.6	ENSMUST00000096232	ENSMUST00000096232.6
ENSMUSG00000071637	ENSMUSG00000071637.6	ENSMUST00000096232	ENSMUST00000096232.6
ENSMUSG00000071637	ENSMUSG00000071637.6	ENSMUST00000096232	ENSMUST00000096232.6
ENSMUSG00000071637	ENSMUSG00000071637.6	ENSMUST00000096232	ENSMUST00000096232.6
ENSMUSG00000071637	ENSMUSG00000071637.6	ENSMUST00000096232	ENSMUST00000096232.6
ENSMUSG00000005698	ENSMUSG00000005698.16	ENSMUST00000005841	ENSMUST00000005841.16
ENSMUSG00000005698	ENSMUSG00000005698.16	ENSMUST00000005841	ENSMUST00000005841.16
ENSMUSG00000005698	ENSMUSG00000005698.16	ENSMUST00000005841	ENSMUST00000005841.16
ENSMUSG00000005698	ENSMUSG00000005698.16	ENSMUST00000005841	ENSMUST00000005841.16
ENSMUSG00000005698	ENSMUSG00000005698.16	ENSMUST00000005841	ENSMUST00000005841.16
ENSMUSG00000031618	ENSMUSG00000031618.14	ENSMUST00000109913	ENSMUST00000109913.9
