Name	n_genes	gene_ids
TALONT000212252	1	ENSG00000067057
TALONT000212305	1	ENSG00000067057
TALONT000212359	1	ENSG00000067057
TALONT000212387	1	ENSG00000067057
TALONT000212468	1	ENSG00000067057
TALONT000212823	1	ENSG00000067057
TALONT000213282	1	ENSG00000067057
TALONT000214575	1	ENSG00000067057
TALONT000214815	1	ENSG00000067057
TALONT000214919	1	ENSG00000067057
TALONT000214946	1	ENSG00000067057
TALONT000214993	1	ENSG00000067057
TALONT000215012	1	ENSG00000067057
TALONT000215014	1	ENSG00000067057
TALONT000215039	1	ENSG00000067057
TALONT000215126	1	ENSG00000067057
TALONT000215167	1	ENSG00000067057
TALONT000215172	1	ENSG00000067057
TALONT000215181	1	ENSG00000067057
TALONT000215220	1	ENSG00000067057
TALONT000215233	1	ENSG00000067057
TALONT000215238	1	ENSG00000067057
TALONT000215250	1	ENSG00000067057
TALONT000215268	1	ENSG00000067057
TALONT000215271	1	ENSG00000067057
TALONT000215596	1	ENSG00000067057
TALONT000215847	1	ENSG00000067057
TALONT000215854	1	ENSG00000067057
TALONT000217903	1	ENSG00000280071
TALONT000217910	1	ENSG00000280071
TALONT000217936	1	ENSG00000280071
TALONT000217961	1	ENSG00000280071
TALONT000218046	1	ENSG00000280071
TALONT000218093	1	ENSG00000280071
TALONT000218182	1	ENSG00000280071
TALONT000218189	1	ENSG00000280071
TALONT000218464	1	ENSG00000280071
TALONT000218777	1	ENSG00000280071
TALONT000218895	1	ENSG00000280071
TALONT000219161	1	ENSG00000280071
TALONT000219474	1	ENSG00000275464
TALONT000219479	1	ENSG00000275464
TALONT000219481	1	ENSG00000275464
TALONT000219532	1	ENSG00000275464
TALONT000219535	1	ENSG00000275464
TALONT000219552	1	ENSG00000275464
TALONT000219587	1	ENSG00000275464
TALONT000219695	1	ENSG00000275464
TALONT000219750	1	ENSG00000275464
TALONT000233560	1	ENSG00000128739
TALONT000233574	1	ENSG00000128739
TALONT000233655	1	ENSG00000224078
TALONT000233725	1	ENSG00000224078
TALONT000233751	1	ENSG00000224078
TALONT000233793	1	ENSG00000224078
TALONT000233800	1	ENSG00000224078
TALONT000233802	1	ENSG00000224078
TALONT000233963	1	ENSG00000224078
TALONT000234004	1	ENSG00000241553
TALONT000234064	1	ENSG00000224078
TALONT000234068	1	ENSG00000224078
TALONT000234723	1	ENSG00000241553
TALONT000236273	1	ENSG00000241553
TALONT000236282	1	ENSG00000178127
TALONT000236306	1	ENSG00000178127
TALONT000236344	1	ENSG00000178127
TALONT000236410	1	ENSG00000241553
TALONT000236468	1	ENSG00000007541
TALONT000236477	1	ENSG00000241553
TALONT000236483	1	ENSG00000007541
TALONT000236578	1	ENSG00000007541
TALONT000236609	1	ENSG00000007541
TALONT000236629	1	ENSG00000007541
TALONT000236766	1	ENSG00000007541
TALONT000237097	1	ENSG00000007541
TALONT000237888	1	ENSG00000214021
TALONT000238090	1	ENSG00000007541
TALONT000238096	1	ENSG00000007541
TALONT000238105	1	ENSG00000007541
TALONT000238664	1	ENSG00000238266
TALONT000238683	1	ENSG00000238266
TALONT000238686	1	ENSG00000178127
TALONT000238700	1	ENSG00000178127
TALONT000238794	1	ENSG00000178127
TALONT000238876	1	ENSG00000101745
TALONT000238882	1	ENSG00000101745
TALONT000239283	1	ENSG00000238266
TALONT000239917	1	ENSG00000118971
TALONT000240166	1	ENSG00000118971
TALONT000240463	1	ENSG00000118971
TALONT000241272	1	ENSG00000118971
TALONT000241287	1	ENSG00000118971
TALONT000241326	1	ENSG00000118971
TALONT000242443	1	ENSG00000242715
TALONT000242447	1	ENSG00000242715
TALONT000242523	1	ENSG00000242715
TALONT000244006	1	ENSG00000285035
TALONT000244378	1	ENSG00000010219
TALONT000244502	1	ENSG00000010219
TALONT000244769	1	ENSG00000010219
TALONT000244773	1	ENSG00000010219
TALONT000244802	1	ENSG00000010219
