	gene_id	Name	gene_id_known	known	n_ss	transcript_novelty	gene_novelty	n_genes	n_genes_no_rt	Name_supp	n_supp_ss	gene_id_known_rt	Name_supp_rt	n_supp_ss_rt	gid	n_supp_total_ss	n_supp_total_ss_rt	perc_supp_ss	perc_supp_ss_rt	perc_supp_annot_ss	perc_supp_annot_ss_rt	fix_needed	perc_supp_diff	perc_supp_annot_diff	Start	End	Chromosome	Strand	gene_id_known_End_dist	gene_id_known_Start_dist	gene_id_known_rt_End_dist	gene_id_known_rt_Start_dist
21	ENSG00000255508.7	TALONT000948748	ENSG00000254772	TRUE	18	ISM	Known	2	1	ENST00000329251.4	17	ENSG00000255508	ENST00000526409.5	18	ENSG00000255508	18	24	94.44444444444444	100	94.44444444444444	75	could go either way	-5.555555556	19.444444444444443	62559602	62574908	chr11	-	824	0	-1946	0
48	ENSG00000137878.17	TALONT000408133	ENSG00000263155	TRUE	22	ISM	Known	2	1	ENST00000267853.9	22	ENSG00000137878	ENST00000488175.5	22	ENSG00000137878	24	26	100	100	91.66666666666666	84.61538461538461	lost cause	0	7.051282051282044	57591907	57685360	chr15	+	-2	33	7340	0
49	ENSG00000137878.17	TALONT000408157	ENSG00000263155	TRUE	26	NIC	Known	2	1	ENST00000267853.9	24	ENSG00000137878	ENST00000488175.5	24	ENSG00000137878	24	26	92.30769231	92.30769231	100	92.30769231	lost cause	0	7.692307692307693	57591907	57685360	chr15	+	-2	33	7340	0
50	ENSG00000137878.17	TALONT000408184	ENSG00000263155	TRUE	22	NIC	Known	2	1	ENST00000267853.9	22	ENSG00000137878	ENST00000488175.5	22	ENSG00000137878	24	26	100	100	91.66666666666666	84.61538461538461	lost cause	0	7.051282051282044	57591907	57685360	chr15	+	-2	33	7340	0
51	ENSG00000137878.17	TALONT000408321	ENSG00000263155	TRUE	22	NIC	Known	2	1	ENST00000267853.9	22	ENSG00000137878	ENST00000488175.5	22	ENSG00000137878	24	26	100	100	91.66666666666666	84.61538461538461	lost cause	0	7.051282051282044	57591907	57685360	chr15	+	-2	33	7340	0
52	ENSG00000137878.17	TALONT000408465	ENSG00000263155	TRUE	22	NIC	Known	2	1	ENST00000267853.9	22	ENSG00000137878	ENST00000488175.5	22	ENSG00000137878	24	26	100	100	91.66666666666666	84.61538461538461	lost cause	0	7.051282051282044	57591907	57685360	chr15	+	-2	33	7340	0
53	ENSG00000137878.17	TALONT000410780	ENSG00000263155	TRUE	24	ISM	Known	2	1	ENST00000267853.9	23	ENSG00000137878	ENST00000488175.5	23	ENSG00000137878	24	26	95.83333333333334	95.83333333333334	95.83333333333334	88.46153846153845	lost cause	0	7.371794872	57599410	57685360	chr15	+	-2	0	7340	-7378
54	ENSG00000137878.17	TALONT000410797	ENSG00000263155	TRUE	20	NIC	Known	2	1	ENST00000380565.8	18	ENSG00000137878	ENST00000649429.1	19	ENSG00000137878	22	20	90	95	81.81818181818183	95	lost cause	-5	-13.18181818	57599410	57648849	chr15	+	-23042	0	1215	-7378
55	ENSG00000137878.17	TALONT000410848	ENSG00000263155	TRUE	26	NIC	Known	2	1	ENST00000267853.9	23	ENSG00000137878	ENST00000488175.5	23	ENSG00000137878	24	26	88.46153846153845	88.46153846153845	95.83333333333334	88.46153846153845	lost cause	0	7.371794872	57599410	57685360	chr15	+	-2	0	7340	-7378
56	ENSG00000137878.17	TALONT000410905	ENSG00000263155	TRUE	22	ISM	Known	2	1	ENST00000267853.9	22	ENSG00000137878	ENST00000488175.5	22	ENSG00000137878	24	26	100	100	91.66666666666666	84.61538461538461	lost cause	0	7.051282051282044	57604268	57685360	chr15	+	-2	-4858	7340	-12236
57	ENSG00000137878.17	TALONT000410916	ENSG00000263155	TRUE	20	ISM	Known	2	1	ENST00000267853.9	20	ENSG00000137878	ENST00000488175.5	20	ENSG00000137878	24	26	100	100	83.33333333333334	76.92307692307693	lost cause	0	6.410256410256409	57618046	57685360	chr15	+	-2	15617	7340	-26014
58	ENSG00000137878.17	TALONT000410927	ENSG00000263155	TRUE	18	ISM	Known	2	1	ENST00000267853.9	18	ENSG00000137878	ENST00000488175.5	18	ENSG00000137878	24	26	100	100	75	69.23076923076923	lost cause	0	5.769230769230774	57621607	57685360	chr15	+	-2	12056	7340	-29575
59	ENSG00000137878.17	TALONT000410934	ENSG00000263155	TRUE	16	ISM	Known	2	1	ENST00000267853.9	16	ENSG00000137878	ENST00000468886.5	16	ENSG00000137878	24	24	100	100	66.66666666666666	66.66666666666666	lost cause	0	0	57625808	57685364	chr15	+	-2	7855	7336	-33776
60	ENSG00000137878.17	TALONT000410941	ENSG00000263155	TRUE	14	ISM	Known	2	1	ENST00000267853.9	14	ENSG00000137878	ENST00000468886.5	14	ENSG00000137878	24	24	100	100	58.333333333333336	58.333333333333336	lost cause	0	0	57629701	57685364	chr15	+	-2	3962	7336	-37669
63	ENSG00000137878.17	TALONT001313613	ENSG00000263155	TRUE	24	NNC	Known	2	1	ENST00000267853.9	23	ENSG00000137878	ENST00000488175.5	23	ENSG00000137878	24	26	95.83333333333334	95.83333333333334	95.83333333333334	88.46153846153845	lost cause	0	7.371794872	57602706	57685360	chr15	+	-2	-3296	7340	-10674
169	ENSG00000242086.8	TALONT000989251	ENSG00000215837	TRUE	28	NIC	Known	2	1	ENST00000455183.1	27	ENSG00000242086	ENST00000445430.5	26	ENSG00000242086	28	26	96.42857142857143	92.85714285714286	96.42857142857143	100	lost cause	3.5714285714285694	-3.571428571	195658061	195688862	chr3	+	-2960	34	-2	0
170	ENSG00000242086.8	TALONT000989737	ENSG00000215837	TRUE	26	NIC	Known	2	1	ENST00000455183.1	26	ENSG00000242086	ENST00000429897.5	25	ENSG00000242086	28	26	100	96.15384615384616	92.85714285714286	96.15384615384616	lost cause	3.8461538461538396	-3.296703297	195658061	195686140	chr3	+	-238	34	-2	0
107	ENSG00000285589.1	TALONT000560160	ENSG00000095059	TRUE	14	NIC	Known	2	1	ENST00000614126.4	13	ENSG00000285589	ENST00000648033.1	12	ENSG00000285589	20	26	92.85714285714286	85.71428571428571	65	46.15384615384615	lost cause	7.142857142857153	18.846153846153847	12675716	12681834	chr19	-	-6	0	2	7646
135	ENSG00000026036.22	TALONT001116478	ENSG00000243509	TRUE	2	ISM	Known	2	1	ENST00000369996.2	2	ENSG00000026036	ENST00000480273.5	2	ENSG00000026036	4	38	100	100	50	5.263157894736842	no	0	44.73684210526316	63695979	63698680	chr20	+	6	671	-2	-7810
120	ENSG00000105501.12	TALONT001003889	ENSG00000268500	TRUE	16	ISM	Known	2	1	ENST00000429354.3	15	ENSG00000105501	ENST00000534261.3	16	ENSG00000105501	16	18	93.75	100	93.75	88.88888888888889	no	-6.25	4.861111111111114	51611926	51630666	chr19	-	-16136	-164	-14881	0
151	ENSG00000284874.1	TALONT000347527	ENSG00000184702	TRUE	16	NIC	Known	2	1	ENST00000383045.7	16	ENSG00000284874	ENST00000455843.5	16	ENSG00000284874	20	22	100	100	80	72.72727272727273	no	0	7.272727272727266	19718468	19724772	chr22	+	-550	-11	-2	0
152	ENSG00000284874.1	TALONT000347957	ENSG00000184702	TRUE	14	ISM	Known	2	1	ENST00000455784.6	14	ENSG00000284874	ENST00000431044.5	14	ENSG00000284874	22	22	100	100	63.63636363636363	63.63636363636363	no	0	0	19720114	19724772	chr22	+	-550	73	-2	-1646
