#feature_id	ENCFF166IXJ.sorted	ENCFF169CBQ.sorted	ENCFF708JUG.sorted
ENST00000003583.12	5.000788	10.351781	4.105527
ENST00000003912.7	2.308056	6.901187	1.642211
ENST00000040877.1	26.927318	12.652176	16.422107
ENST00000054650.8	12.309631	18.403166	12.042878
ENST00000054666.10	50.007877	56.359695	40.507863
ENST00000060969.5	2.308056	2.300396	6.568843
ENST00000072644.6	10.001575	20.933601	11.440734
ENST00000078527.8	3.846760	3.738143	7.625332
ENST00000164247.5	0.707804	3.255060	1.094807
ENST00000194214.9	16.410277	46.387479	21.896142
ENST00000196061.4	93.860938	96.237054	81.305850
ENST00000207457.7	0.769352	0.000000	1.642211
ENST00000209884.4	13.078983	6.901187	14.232492
ENST00000212355.8	5.385464	3.071028	5.293392
ENST00000234626.10	138.921881	81.836577	111.194084
ENST00000234677.6	243.884568	283.178711	204.947891
ENST00000234827.5	2.308056	1.150198	8.758457
ENST00000234831.9	2.308056	1.150198	46.972699
ENST00000234875.8	67.702971	116.169983	208.013351
ENST00000235090.9	3.077408	0.000000	78.278708
ENST00000235307.6	7.693519	4.600791	17.516914
ENST00000235310.7	68.841612	112.316820	45.516606
ENST00000235329.9	181.497818	74.279777	109.360282
ENST00000235332.5	78.473899	125.429076	81.382487
ENST00000235345.5	4.616112	2.300396	7.663650
ENST00000235382.6	6.154816	12.652176	5.474036
ENST00000235521.4	26.288756	13.319291	21.031245
ENST00000235532.9	1.538704	3.450594	0.547404
ENST00000235835.7	46.930469	83.964443	50.634829
ENST00000236040.8	2.354217	0.000000	1.160496
ENST00000236051.2	10.770927	6.901187	85.121253
ENST00000236067.8	8.939870	4.669803	4.559872
ENST00000236273.8	40.775653	50.608705	53.645548
ENST00000240185.7	2.308056	2.300396	193.233455
ENST00000241337.8	9.232223	18.403166	11.495475
ENST00000242719.3	12.309631	12.652176	108.933307
ENST00000243167.8	32.266621	40.509968	19.722950
ENST00000243189.11	3.331294	5.750989	2.282673
ENST00000243440.1	3.077408	8.051385	5.474036
ENST00000245564.6	27.950556	26.454551	27.173112
ENST00000246151.8	92.514572	114.732236	91.142692
ENST00000246337.8	145.469066	169.366633	119.377767
ENST00000247986.2	7.078038	5.981029	2.463316
ENST00000251195.9	4.616112	0.000000	2.189614
ENST00000251296.3	54.623988	88.220175	49.923204
ENST00000251546.8	0.330821	2.058854	0.843001
ENST00000251547.9	1.023238	0.379565	7.209305
ENST00000252992.8	33.559132	24.729254	49.058307
ENST00000253063.3	96.168994	51.758903	58.024777
ENST00000254090.8	0.769352	2.300396	0.547404
ENST00000254101.3	35.713317	13.422809	16.717705
ENST00000254231.4	23.080558	13.802374	17.735875
ENST00000254821.10	155.386013	135.148247	118.332226
ENST00000255108.7	114.848859	76.269619	105.730997
ENST00000255380.8	1.538704	2.300396	4.379228
ENST00000256578.7	12.371179	5.394428	7.176461
ENST00000256637.7	174.896778	37.185896	143.835758
ENST00000256644.8	73.988577	153.746947	68.058684
ENST00000256646.6	3.077408	0.000000	22.443546
ENST00000256649.8	21.541855	17.252968	16.876452
ENST00000256658.8	0.769352	0.000000	5.337185
ENST00000257075.9	61.778961	32.332062	39.998778
ENST00000257181.9	26.927318	10.351781	59.666987
ENST00000258229.13	8.462871	5.750989	8.758457
ENST00000258243.6	11.540279	2.300396	14.232492
ENST00000258281.6	7.693519	0.000000	4.379228
ENST00000258301.5	11.540279	12.077077	96.698838
ENST00000258341.4	320.819762	154.126512	223.888054
ENST00000259154.8	106.939921	67.861673	120.428782
ENST00000260502.10	22.311206	19.553363	12.590282
ENST00000260505.12	3.077408	0.000000	4.926632
ENST00000260506.12	146.776965	64.031514	88.673902
ENST00000260508.8	4.616112	8.051385	2.737018
ENST00000260526.10	0.769352	0.000000	4.926632
ENST00000260563.4	0.769352	2.300396	1.231658
ENST00000261396.5	3.077408	3.450594	80.468323
ENST00000261441.9	32.312782	7.476286	32.844213
ENST00000261443.9	29.243068	16.413323	17.549758
ENST00000261461.6	40.775653	43.707518	42.697477
ENST00000261464.9	4.923852	4.600791	15.475098
ENST00000262345.5	0.000000	0.000000	0.547404
ENST00000262346.6	0.769352	0.000000	1.231658
ENST00000262348.8	0.000000	2.300396	4.379228
ENST00000262741.9	32.312782	9.201583	19.432826
ENST00000262746.5	8.255146	24.993799	12.989886
ENST00000263168.3	233.113640	225.438779	243.047178
ENST00000263440.5	36.159542	49.458508	40.414804
ENST00000263688.3	14.102221	4.359250	11.550215
ENST00000263694.8	34.620838	34.505936	170.789909
ENST00000263697.5	9.232223	17.252968	235.914510
ENST00000263702.10	32.312782	86.264839	36.128635
ENST00000263726.3	5.000788	1.725297	4.926632
ENST00000263733.4	36.928894	18.403166	20.801335
ENST00000263741.11	2.769667	4.370752	3.065460
ENST00000263826.9	12.309631	4.600791	17.516914
ENST00000263893.10	3.462084	2.300396	3.010720
ENST00000263932.6	23.403686	9.627156	16.000606
ENST00000263974.4	1.538704	2.300396	0.547404
ENST00000263980.7	13.078983	9.201583	13.685089
ENST00000264126.8	30.004726	37.956529	25.290044
ENST00000264144.4	4.616112	5.750989	1.642211
ENST00000264187.6	105.270427	25.108819	39.686758
ENST00000264198.4	86.036628	84.919107	80.835083
ENST00000264515.10	22.349674	11.041899	19.624417
ENST00000270708.11	21.049469	29.134512	16.011554
ENST00000270747.7	47.699821	50.608705	50.952323
ENST00000270776.12	348.516432	384.166082	324.610308
ENST00000270812.6	0.000000	0.000000	1.642211
ENST00000271002.14	20.772503	45.237281	21.348739
ENST00000271064.11	15.387039	24.441704	19.159124
ENST00000271227.10	0.769352	1.150198	0.547404
ENST00000271277.10	18.464447	3.450594	48.718916
ENST00000271375.6	12.309631	14.952572	25.727967
ENST00000271411.8	2.308056	1.150198	2.189614
ENST00000271417.7	1.538704	0.000000	1.642211
ENST00000271450.10	0.769352	0.000000	0.000000
ENST00000271452.7	31.612672	58.292027	27.682198
ENST00000271469.7	46.930469	37.381430	52.687592
ENST00000271526.8	383.906622	312.163697	314.806310
ENST00000271588.8	3.846760	4.600791	3.284421
ENST00000271620.7	22.511238	18.069608	20.905342
ENST00000271636.11	230.751730	69.471950	135.301737
ENST00000271638.2	140.022055	440.525777	166.958084
ENST00000271640.9	17.695095	8.971543	12.152359
ENST00000271643.8	6.924168	2.875495	1.915912
ENST00000271651.7	16.925743	8.051385	12.042878
ENST00000271688.10	4.154501	6.786167	2.260777
ENST00000271690.12	16.156391	13.802374	54.373595
ENST00000271715.6	30.197064	16.677869	20.264880
ENST00000271732.7	8.462871	6.901187	7.663650
ENST00000271764.6	49.430863	67.367088	39.719602
ENST00000271836.10	11.540279	6.901187	8.758457
ENST00000271843.8	7.693519	16.102770	39.686758
ENST00000271877.11	4.077565	1.725297	1.702425
ENST00000271889.8	1.669494	8.051385	2.468790
ENST00000272091.7	51.546581	36.806331	38.865652
ENST00000272102.9	586.923214	666.700682	562.243665
ENST00000272133.3	5.385464	4.600791	5.474036
ENST00000272134.5	95.399642	62.110684	88.131972
ENST00000272139.4	43.083709	64.411080	54.192952
ENST00000272163.8	249.485450	147.478368	195.089153
ENST00000272167.9	74.627139	60.189853	49.720665
ENST00000272217.6	94.114824	109.648361	74.080123
ENST00000281701.10	67.341376	45.432815	59.409708
ENST00000282670.6	0.000000	0.000000	1.094807
ENST00000282841.9	14.617687	23.003957	39.139354
ENST00000284031.12	103.924061	44.282617	65.644634
ENST00000284376.7	13.078983	10.547314	12.042878
ENST00000284476.7	2.308056	3.450594	4.926632
ENST00000284551.10	41.160329	34.505936	28.191283
ENST00000286692.8	2.308056	1.150198	3.919409
ENST00000287482.5	28.335232	22.888937	24.266400
ENST00000287713.6	12.309631	10.351781	13.685089
ENST00000287727.7	0.000000	1.150198	1.642211
ENST00000287859.10	32.835941	24.901783	27.786204
ENST00000288774.7	0.769352	2.300396	2.299095
ENST00000289166.5	500.848118	400.268852	360.191539
ENST00000289703.8	10.770927	3.450594	7.116246
ENST00000289865.12	32.366636	34.586449	32.247543
ENST00000289893.8	58.470748	52.334002	49.857516
ENST00000290039.5	12.886645	4.163716	6.820648
ENST00000290541.6	101.169781	165.824024	116.142612
ENST00000290551.4	17.695095	21.853759	14.779896
ENST00000290583.8	0.000000	0.000000	0.547404
ENST00000290597.9	0.769352	4.025692	1.094807
ENST00000290663.10	1.538704	1.150198	2.189614
ENST00000290795.7	37.313569	35.276568	51.833643
ENST00000291358.10	8.078195	6.901187	9.579562
ENST00000291386.3	282.352165	449.727359	268.227742
ENST00000292169.5	0.000000	0.000000	0.547404
ENST00000292180.7	11.409489	2.679961	9.240172
ENST00000292211.4	25.388614	16.102770	38.865652
ENST00000292254.8	4.008324	1.460751	2.704174
ENST00000294339.3	0.769352	1.150198	0.000000
ENST00000294353.6	39.236949	13.802374	25.180564
ENST00000294360.4	22.311206	29.905144	24.085756
ENST00000294401.11	2.308056	0.000000	1.686003
ENST00000294409.2	3.077408	2.300396	1.735269
ENST00000294428.7	4.485322	2.104862	2.643959
ENST00000294435.7	1.538704	5.750989	1.642211
ENST00000294489.10	74.242463	61.915150	88.312616
ENST00000294507.3	0.769352	0.000000	0.000000
ENST00000294613.9	15.387039	34.505936	16.011554
ENST00000294661.8	6.154816	11.501979	33.939020
ENST00000294724.8	7.347311	5.520950	5.802478
ENST00000294732.11	8.078195	2.875495	6.021439
ENST00000294740.3	136.175295	80.513850	135.756082
ENST00000294785.9	157.847939	108.153104	121.397686
ENST00000294811.2	6.154816	1.150198	8.211053
ENST00000294889.5	63.086860	41.407123	42.697477
ENST00000295006.5	3.077408	2.300396	44.246629
ENST00000295008.8	4.700740	13.480319	6.065231
ENST00000295033.7	0.769352	0.000000	0.000000
ENST00000295050.11	10.001575	2.300396	11.495475
ENST00000295530.6	0.000000	0.000000	0.728047
ENST00000295566.8	5.331609	0.678617	2.928609
ENST00000295598.9	1306.521172	719.333735	942.262161
ENST00000295640.8	181.251625	178.763750	143.715329
ENST00000295682.4	33.851486	142.429000	56.700060
ENST00000295688.7	1198.042547	1097.530291	1085.791373
ENST00000295694.9	5.639350	5.750989	2.370257
ENST00000296214.9	23.080558	29.905144	37.497144
ENST00000296215.7	1.923380	3.450594	4.105527
ENST00000296218.7	12.309631	10.351781	10.948071
ENST00000296380.8	0.000000	0.000000	0.547404
ENST00000296388.9	170.957696	148.375523	117.445433
ENST00000302118.5	127.327747	88.760768	99.260687
ENST00000302271.10	20.587858	15.504667	15.130234
ENST00000302550.15	377.751807	227.739174	288.481673
ENST00000302631.7	65.010240	89.232349	80.194621
ENST00000302692.6	3.077408	2.300396	19.159124
ENST00000303343.12	3.077408	7.016207	2.851973
ENST00000303721.11	0.961690	1.380237	0.136851
ENST00000304457.11	5.423931	1.426245	2.189614
ENST00000304786.11	867.367386	1211.158336	944.599574
ENST00000304952.10	1.538704	3.450594	1.822854
ENST00000304979.7	23.080558	60.385387	22.717248
ENST00000305352.6	6.924168	4.600791	7.663650
ENST00000305943.7	347.747081	315.154211	276.165093
ENST00000306052.10	6.924168	4.600791	13.137685
ENST00000306121.7	41.545005	83.044285	49.266320
ENST00000306562.7	90.783530	59.810288	72.804673
ENST00000306601.8	15.494748	26.868622	17.084465
ENST00000307546.13	3.077408	3.450594	3.831825
ENST00000308271.13	13.078983	10.351781	48.899560
ENST00000308302.3	2.308056	4.600791	1.642211
ENST00000308647.7	74.850251	26.696092	52.342728
ENST00000308987.5	202.339562	511.838043	253.404054
ENST00000309048.7	6.924168	4.600791	4.926632
ENST00000309212.10	15.387039	8.626484	7.116246
ENST00000309276.10	44.330059	74.015232	43.305095
ENST00000309519.8	2.461926	3.554111	1.592944
ENST00000309777.10	0.253886	6.130555	3.831825
ENST00000310256.6	18.656785	22.313838	16.969510
ENST00000310392.4	18.464447	16.677869	19.159124
ENST00000310483.10	19.818506	18.426170	19.859801
ENST00000310611.8	2.308056	3.450594	4.379228
ENST00000310833.11	1.538704	1.150198	1.094807
ENST00000310955.10	483.730037	550.519197	440.616069
ENST00000310991.7	1.538704	1.150198	1.094807
ENST00000311223.9	5.385464	3.450594	8.501177
ENST00000311672.9	227.920515	494.009977	254.268951
ENST00000311772.9	1.538704	2.300396	2.189614
ENST00000312239.9	19.387669	8.522966	18.715728
ENST00000312263.10	28.466022	27.604748	21.896142
ENST00000312726.8	44.237737	82.262150	47.574843
ENST00000313146.10	62.009767	37.266410	57.586854
ENST00000313695.11	3.246665	2.461423	2.370257
ENST00000313835.13	0.769352	0.000000	21.075037
ENST00000313961.9	8.078195	2.875495	42.697477
ENST00000314163.11	16.156391	10.731346	14.002583
ENST00000314340.9	73.342321	142.244968	58.205420
ENST00000314485.11	120.080452	118.895952	104.871573
ENST00000314607.10	18.464447	17.252968	16.635594
ENST00000314754.12	0.000000	1.150198	0.547404
ENST00000315144.14	89.114036	77.442821	72.191581
ENST00000315554.12	0.000000	1.150198	0.547404
ENST00000315732.2	33.851486	44.857716	36.676038
ENST00000315913.9	34.890111	27.765776	32.493875
ENST00000316891.9	19.403056	30.813800	33.085071
ENST00000317538.9	3.462084	1.150198	1.915912
ENST00000317868.8	1.538704	1.150198	16.969510
ENST00000318074.9	1.538704	3.450594	0.000000
ENST00000318130.12	31.543430	5.750989	16.931192
ENST00000318289.14	1.538704	7.361266	3.941306
ENST00000318803.6	1.538704	5.750989	2.189614
ENST00000318967.6	6.154816	1.150198	22.996423
ENST00000319223.8	28.081346	31.434907	23.237281
ENST00000319248.12	382.160193	690.670805	489.367830
ENST00000319394.7	46.161117	17.252968	21.321368
ENST00000319637.6	0.000000	0.000000	1.094807
ENST00000319769.9	28.650667	37.024869	30.791450
ENST00000319928.7	8.462871	8.051385	7.116246
ENST00000319942.7	3.077408	12.652176	14.051849
