Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version
ENSG00000276876	ENSG00000276876.4	ENST00000613234	ENST00000613234.3
ENSG00000276876	ENSG00000276876.4	ENST00000613234	ENST00000613234.3
ENSG00000276876	ENSG00000276876.4	ENST00000613234	ENST00000613234.3
ENSG00000276876	ENSG00000276876.4	ENST00000616648	ENST00000616648.2
ENSG00000276876	ENSG00000276876.4	ENST00000616648	ENST00000616648.2
ENSG00000276876	ENSG00000276876.4	ENST00000616648	ENST00000616648.2
ENSG00000275018	ENSG00000275018.6	ENST00000625658	ENST00000625658.1
ENSG00000274746	ENSG00000274746.4	ENST00000614218	ENST00000614218.4
ENSG00000274382	ENSG00000274382.2	ENST00000614006	ENST00000614006.2
ENSG00000278091	ENSG00000278091.4	ENST00000615882	ENST00000615882.4
ENSG00000278091	ENSG00000278091.4	ENST00000615882	ENST00000615882.4
ENSG00000278091	ENSG00000278091.4	ENST00000615320	ENST00000615320.4
ENSG00000278091	ENSG00000278091.4	ENST00000615320	ENST00000615320.4
ENSG00000278091	ENSG00000278091.4	ENST00000613159	ENST00000613159.2
ENSG00000278091	ENSG00000278091.4	ENST00000613159	ENST00000613159.2
ENSG00000280635	ENSG00000280635.1	ENST00000629850	ENST00000629850.1
ENSG00000276561	ENSG00000276561.4	ENST00000631879	ENST00000631879.1
ENSG00000276561	ENSG00000276561.4	ENST00000633943	ENST00000633943.1
ENSG00000276561	ENSG00000276561.4	ENST00000633943	ENST00000633943.1
ENSG00000276561	ENSG00000276561.4	ENST00000633943	ENST00000633943.1
ENSG00000276561	ENSG00000276561.4	ENST00000633943	ENST00000633943.1
ENSG00000276561	ENSG00000276561.4	ENST00000621391	ENST00000621391.4
ENSG00000276561	ENSG00000276561.4	ENST00000621391	ENST00000621391.4
ENSG00000276561	ENSG00000276561.4	ENST00000621391	ENST00000621391.4
ENSG00000276561	ENSG00000276561.4	ENST00000621391	ENST00000621391.4
ENSG00000276561	ENSG00000276561.4	ENST00000633274	ENST00000633274.1
ENSG00000276561	ENSG00000276561.4	ENST00000633274	ENST00000633274.1
ENSG00000276561	ENSG00000276561.4	ENST00000633274	ENST00000633274.1
ENSG00000276561	ENSG00000276561.4	ENST00000633274	ENST00000633274.1
ENSG00000276561	ENSG00000276561.4	ENST00000634105	ENST00000634105.1
ENSG00000276561	ENSG00000276561.4	ENST00000634105	ENST00000634105.1
ENSG00000276561	ENSG00000276561.4	ENST00000634105	ENST00000634105.1
ENSG00000276561	ENSG00000276561.4	ENST00000634105	ENST00000634105.1
ENSG00000276561	ENSG00000276561.4	ENST00000632827	ENST00000632827.1
ENSG00000276561	ENSG00000276561.4	ENST00000632827	ENST00000632827.1
ENSG00000276561	ENSG00000276561.4	ENST00000632827	ENST00000632827.1
ENSG00000276561	ENSG00000276561.4	ENST00000632827	ENST00000632827.1
ENSG00000276561	ENSG00000276561.4	ENST00000632194	ENST00000632194.1
ENSG00000276561	ENSG00000276561.4	ENST00000612534	ENST00000612534.4
ENSG00000276561	ENSG00000276561.4	ENST00000612534	ENST00000612534.4
ENSG00000276561	ENSG00000276561.4	ENST00000612534	ENST00000612534.4
ENSG00000276561	ENSG00000276561.4	ENST00000612534	ENST00000612534.4
ENSG00000276561	ENSG00000276561.4	ENST00000617397	ENST00000617397.1
